TITLE = "Decane T rho" 

  VARIABLES = T	rho_NIST_0.1Mpa	rho_Soave_0.1Mpa	rho_new_0.1Mpa	rho_NIST_1Mpa	rho_Soave_1Mpa	rho_new_1Mpa	rho_NIST_2Mpa	rho_Soave_2Mpa	rho_new_2Mpa	rho_NIST_3Mpa	rho_Soave_3Mpa	rho_new_3Mpa	rho_NIST_5Mpa	rho_Soave_5Mpa	rho_new_5Mpa	rho_NIST_10Mpa	rho_Soave_10Mpa	rho_new_10Mpa
300	725.09	670.2809191	729.1906947	725.82	670.9794719	729.254602	726.63	671.7380293	729.3252135	727.43	672.4787862	729.3954114	729.01	673.9097345	729.5345813	732.8	677.2211583	729.8755302
310	717.32	665.6151582	724.7659414	718.1	666.3842736	724.8518624	718.96	667.2184655	724.9467117	719.8	668.0321081	725.0409168	721.47	669.6011998	725.2274225	725.48	673.219543	725.6828919
320	709.53	660.7508846	719.5292114	710.36	661.5976565	719.6454508	711.27	662.5149002	719.7736285	712.17	663.4083961	719.9007905	713.94	665.128361	720.1521192	718.18	669.0797525	720.7635495
330	701.72	655.6770304	713.3897807	702.61	656.6094194	713.5475478	703.58	657.6180046	713.7212874	704.53	658.5991098	713.8934119	706.4	660.4840394	714.2329137	710.89	664.7970783	715.0550622
340	693.88	650.3814767	706.2896416	694.82	651.4084463	706.5036546	695.85	652.5176668	706.7389567	696.87	653.5950387	706.971684	698.86	655.6605676	707.4295996	703.6	660.3666016	708.5324525
350	685.99	644.8509087	698.2290504	686.99	645.9825904	698.5178689	688.09	647.2029004	698.8348115	689.17	648.3862308	699.1476665	691.28	650.6497475	699.761465	696.31	655.7831883	701.2302949
360	678.04	639.0706435	689.2933832	679.11	640.3185353	689.6791161	680.28	641.6617369	690.1014629	681.43	642.96191	690.5174017	683.68	645.4428032	691.3307102	689	651.0414845	693.2626865
370	670.01	633.0244224	679.672034	671.16	634.4016315	680.1790243	672.42	635.8811	680.7327188	673.64	637.3103809	681.2765824	676.04	640.0303287	682.3360062	681.68	646.1359132	684.8320146
380	661.91	626.6941587	669.6567999	663.14	628.2156993	670.3090846	664.48	629.8466581	671.0194416	665.79	631.4189178	671.7151722	668.35	634.4022287	673.0648274	674.34	641.0606713	676.2165981
390	653.7	620.0596286	659.6096767	655.02	621.742792	660.4275338	656.46	623.5426474	661.3155194	657.87	625.2736355	662.1825655	660.6	628.5476527	663.857269	666.97	635.8097299	667.7325149
400	645.38	613.0980889	649.9008803	646.81	614.9629061	650.8974738	648.35	616.9516618	651.9761972	649.86	618.8593374	653.0262263	652.78	622.4549201	655.045546	659.56	630.3768357	659.6762554
410	636.93	605.7837971	640.8335221	638.47	607.8536258	642.0130528	640.13	610.0543984	643.2859618	641.76	612.1593362	644.5212988	644.89	616.1114361	646.8870741	652.11	624.7555157	652.2662504
420	628.32	598.087404	632.5813241	629.99	600.3896806	633.9397157	631.79	602.8293487	635.4015167	633.54	605.1552398	636.8162052	636.9	609.503597	639.5150068	644.62	618.9390859	645.6040269
430	619.54	589.9751705	625.16117	621.36	592.542388	626.6892425	623.31	595.2524184	628.3293934	625.2	597.8266955	629.9126414	628.82	602.6166818	632.9224844	637.06	612.9206649	639.6666073
440	610.56	581.4079439	618.4453118	612.54	584.2789427	620.1333503	614.67	587.2964556	621.9409073	616.72	590.1510802	623.6817041	620.62	595.4347308	626.9806393	629.45	606.693193	634.3272356
450	4.0508	4.010176976	4.057109269	603.52	575.5614968	614.0431312	605.84	578.9306578	616.0114771	608.07	582.1031229	617.9029937	612.3	587.9404065	621.4770418	621.77	600.2494593	629.3914352
460	3.9401	3.908806863	3.953068716	594.27	566.3459471	608.135418	596.81	570.119817	610.2659504	599.25	573.6544398	612.3088878	603.84	580.1148359	616.1578772	614.01	593.582139	624.6342479
470	3.8369	3.812972202	3.854916398	584.74	556.5803078	602.1114818	587.55	560.823344	604.4161415	590.22	564.7729561	606.6209414	595.22	571.9374313	610.7621611	606.17	586.6838411	619.8296293
480	3.7403	3.722192357	3.761763317	574.9	546.202477	595.6819277	578.01	550.9939868	598.1850186	580.96	555.4221776	600.5733547	586.43	563.3856872	605.0437875	598.25	579.5471719	614.769285
490	3.6495	3.636044347	3.672993277	564.69	535.1370912	588.5784631	568.17	540.5761147	591.3184337	571.43	545.5602623	593.9245758	577.44	554.4349496	598.7827153	590.23	572.1648161	609.2725038
500	3.5639	3.554154055	3.58818464	554.05	523.2909644	580.5563592	557.96	529.5033727	583.5882242	561.61	535.1388191	586.460833	568.24	545.0581573	591.7889583	582.1	564.5296394	603.1902088
510	3.483	3.476189055	3.507049816	542.88	510.5462327	571.3916941	547.34	517.6953931	574.7907587	551.43	524.1013294	577.9955961	558.79	535.2255527	583.9031445	573.87	556.6348185	596.4063364
520	3.4063	3.401852707	3.429388793	531.08	496.7496012	560.8763223	536.21	505.0530527	564.7439633	540.86	512.3810347	568.3679826	549.07	524.904366	574.9964744	565.52	548.4740023	588.8387759
530	3.3334	3.330879253	3.355054185	518.49	481.6945604	548.8119486	524.48	491.451394	553.2845287	529.81	499.8980541	557.4419022	539.05	514.0584783	564.971771	557.04	540.0415118	580.4410473
540	3.2641	3.263029732	3.283925882	504.88	465.0899241	535.0030242	512.03	476.7286208	540.2657361	518.22	486.5553579	545.1066235	528.68	502.6480813	553.7662776	548.44	531.3325851	571.2049226
550	3.198	3.198088543	3.215893568	489.92	446.4990018	519.2461759	498.65	460.6681092	525.5551357	505.97	472.2329991	531.2784999	517.94	490.6293686	541.3559755	539.7	522.3436736	561.1633464
560	3.1349	3.13586054	3.150845575	473.03	425.2065221	501.3107011	484.11	442.967083	509.0299609	492.92	456.7795961	515.9027148	506.75	477.9543245	527.7603958	530.82	513.0727984	550.3923045
570	3.0745	3.076168563	3.088662676	43.456	42.46538159	48.76510448	468	423.1773913	490.5662792	478.89	439.999323	498.9530475	495.08	464.5707328	513.0461977	521.79	503.5199711	539.0098335
580	3.0167	3.018851332	3.029215549	40.818	40.3472337	44.34981509	449.68	400.5802155	470.014667	463.63	421.6312364	480.4268061	482.86	450.4226282	497.3272823	512.62	493.6876836	527.1703513
590	2.9612	2.963761636	2.972364888	38.719	38.55277922	41.3055161	427.97	373.8735119	447.1483721	446.78	401.3149202	460.3312696	470.01	435.4515858	480.7591509	503.3	483.5814661	515.053142
600	2.908	2.910764771	2.917963252	36.976	36.99753799	38.99169552	400.15	340.1472282	421.5516767	427.82	378.5305417	438.657112	456.47	419.5995454	463.5258557	493.83	473.2105061	502.8452048
610	2.8568	2.859737192	2.865857975	35.487	35.62671259	37.13761933	355.73	288.6655559	392.3544046	405.91	352.4895817	415.3327917	442.14	402.8143585	445.8193907	484.21	462.5883109	490.72048
