TITLE = "oxygen alpha" 

  VARIABLES = temp	PR_liq_alpha_01MPa	PR_liq_alpha_1MPa	PR_liq_alpha_2MPa	PR_liq_alpha_4MPa	PR_liq_alpha_5MPa	PR_liq_alpha_7MPa	PR_liq_alpha_8MPa	PR_liq_alpha_10MPa
113	1.089723183	0.984197178	0.975997484	0.959997021	0.952060285	0.936573077	0.928884849	0.913931518
114	1.084200447	0.987071934	0.978867503	0.962699913	0.954806062	0.939220162	0.931497366	0.916372183
115	1.077041558	0.989909657	0.981688778	0.965442646	0.957476615	0.941777553	0.934013236	0.918831283
116	1.071943278	0.992715474	0.984466225	0.968122261	0.960076387	0.944249449	0.93655415	0.921184188
117	1.065747152	0.995557073	0.987176748	0.970743347	0.962609831	0.946752646	0.939003821	0.923558085
118	1.060520062	0.998322069	0.989881885	0.973310502	0.965185036	0.949175875	0.941366287	0.925952936
119	1.054716705	1.001053177	0.992549071	0.975897061	0.967699761	0.95163306	0.943759084	0.928247906
120	1.048576072	1.083612523	0.99519266	0.978427022	0.970198676	0.954015724	0.946069961	0.930446758
121	1.044374437	1.076357026	0.997791728	0.980924466	0.972644738	0.956402846	0.948413672	0.932671444
122	1.038401446	1.069374318	1.000361404	0.983384188	0.97506188	0.95873222	0.950702545	0.93492184
123	1.032917956	1.062736814	1.002891278	0.98580164	0.977434403	0.961017915	0.952950497	0.9370937
124	1.028236723	1.056382688	1.005388669	0.988190965	0.979776179	0.963263144	0.955160214	0.939224613
125	1.022452666	1.050218536	1.007845129	0.990539127	0.982072602	0.965471112	0.957323829	0.941316678
126	1.018041211	1.044255022	1.010253797	0.99284312	0.984328587	0.967645006	0.959454795	0.94337197
127	1.013019873	1.038347063	1.01262455	0.995109157	0.986549066	0.969768325	0.961545482	0.945392536
128	1.007602333	1.0327604	1.014952731	0.997335155	0.988721371	0.971864487	0.963598913	0.947369462
129	1.004486707	1.027327803	1.017228298	0.999511606	0.990860082	0.973917546	0.965608109	0.949305121
130	0.999038912	1.021842883	1.019457755	1.001646444	0.992945243	0.975922114	0.967576472	0.95120186
131	0.993928588	1.016560323	1.021628556	1.003732066	0.994992159	0.977882638	0.969507384	0.953061999
132	0.989431506	1.011419337	1.023751471	1.005762412	0.996982953	0.979803564	0.971385086	0.954877395
133	0.985839608	1.00634113	1.039414826	1.007747902	0.998925751	0.981671418	0.973223191	0.956650686
134	0.98068073	1.001414328	1.032451698	1.009670107	1.000813169	0.983491539	0.975016168	0.958374298
135	0.976930394	0.996347712	1.025911955	1.011527961	1.002646934	0.985260616	0.976749903	0.960061241
136	0.972016072	0.991601559	1.01973933	1.013329082	1.004422163	0.986984455	0.978447382	0.961694198
137	0.966092998	0.986869458	1.013821783	1.015055587	1.006128316	0.988643835	0.980086182	0.963286234
138	0.962375395	0.982222774	1.008141874	1.016706987	1.007771386	0.990254169	0.981671707	0.96483052
139	0.958133027	0.977737728	1.002669109	1.018273419	1.00933774	0.99179815	0.983192233	0.966311142
140	0.953559787	0.973040912	0.997332668	1.01975009	1.01083048	0.99327614	0.984662434	0.967750848
141	0.952119327	0.968644116	0.992192225	1.021120382	1.012228788	0.994689194	0.986071592	0.969134141
142	0.947587595	0.96439584	0.98715197	1.022370997	1.013542274	0.996031524	0.987410166	0.970455659
143	0.943382279	0.960119968	0.982267891	1.023488852	1.014740575	0.99729873	0.988677773	0.971719533
144	0.939747714	0.95587124	0.977470156	1.024450019	1.015831107	0.998480632	0.989882436	0.972929834
145	0.933389224	0.951708013	0.972786814	1.025214738	1.01678143	0.999576231	0.991001557	0.974064209
146	0.931605733	0.947420445	0.968194609	1.025743256	1.017582728	1.000572349	0.9920375	0.975145048
147	0.927498829	0.943330359	0.963700565	1.025960116	1.01820802	1.001472139	0.992993249	0.976142457
148	0.924915617	0.939506698	0.959254708	1.025741271	1.018626567	1.00225447	0.993850886	0.977078899
149	0.920301511	0.935430897	0.954939697	1.005325122	1.018782601	1.002909193	0.994602062	0.977926062
150	0.917681978	0.931434112	0.950635383	0.998008892	1.018619193	1.003436366	0.995247221	0.978698279
151	0.913365591	0.927882888	0.946465339	0.99146365	1.018018693	1.003810059	0.995774742	0.979385167
152	0.907452832	0.923898878	0.942341091	0.985452918	1.016792023	1.004012026	0.996175631	0.979985076
153	0.904244929	0.920149836	0.938270535	0.9797974	1.014485704	1.004021116	0.996437198	0.980488892
154	0.904113643	0.916361723	0.934257317	0.974419093	1.009336541	1.003815794	0.99654391	0.980888264
155	0.898719688	0.912921031	0.930300478	0.969304758	0.99476656	1.003361773	0.996478238	0.981175543
156	0.89684308	0.909187056	0.926459178	0.964294029	0.987556019	1.002618309	0.996227246	0.981358453
157	0.894356431	0.905542413	0.922594275	0.959492237	0.981251829	1.001531205	0.99576558	0.981415233
158	0.886790456	0.902034744	0.918821357	0.954864	0.975462451	1.000038682	0.995074082	0.981339765
159	0.883478339	0.898714143	0.915124486	0.950343779	0.970010702	0.998057674	0.994123395	0.981133157
160	0.884868686	0.895241719	0.911407277	0.945856827	0.964813424	0.995489334	0.992880469	0.980775374
161	0.88162019	0.892045157	0.907787368	0.941515359	0.959848356	0.992240717	0.991317641	0.980260573
162	0.878647224	0.888360856	0.904236504	0.937333605	0.955050391	0.988251755	0.989394162	0.979582225
163	0.871063054	0.885030752	0.900637927	0.933194547	0.950387278	0.983579261	0.987086798	0.978726068
164	0.86917118	0.882116421	0.897193738	0.929130878	0.945862183	0.978475514	0.984367725	0.977682871
165	0.868199612	0.878802462	0.893695694	0.925050635	0.941457289	0.973273416	0.981235659	0.976440703
166	0.862998793	0.875545215	0.890352986	0.921174477	0.937131214	0.96818233	0.977704751	0.974996415
167	0.85899922	0.872382804	0.886939185	0.917261063	0.932898949	0.963248698	0.973819541	0.973341126
