TITLE = "oxygen alpha" 

  VARIABLES = temp	soave	Gasem
60	1.33777721	1.344500346
61	1.332813617	1.339080741
62	1.327899658	1.33373821
63	1.323034138	1.328470052
64	1.318215906	1.323273702
65	1.313443859	1.318146721
66	1.308716935	1.313086788
67	1.304034112	1.308091693
68	1.299394407	1.303159329
69	1.294796872	1.298287689
70	1.290240594	1.293474856
71	1.285724691	1.288719
72	1.281248313	1.284018373
73	1.27681064	1.279371305
74	1.272410879	1.274776196
75	1.268048264	1.270231517
76	1.263722055	1.265735803
77	1.259431535	1.26128765
78	1.255176012	1.256885713
79	1.250954814	1.2525287
80	1.246767292	1.248215374
81	1.242612816	1.243944546
82	1.238490777	1.239715074
83	1.234400582	1.235525859
84	1.230341658	1.231375847
85	1.226313448	1.227264024
86	1.222315411	1.223189412
87	1.218347024	1.219151072
88	1.214407775	1.215148099
89	1.21049717	1.21117962
90	1.206614728	1.207244794
91	1.20275998	1.203342812
92	1.19893247	1.199472892
93	1.195131757	1.19563428
94	1.191357409	1.191826247
95	1.187609006	1.188048091
96	1.18388614	1.184299133
97	1.180188413	1.180578717
98	1.176515437	1.176886209
99	1.172866834	1.173220997
100	1.169242236	1.169582487
101	1.165641283	1.165970106
102	1.162063626	1.1623833
103	1.158508922	1.15882153
104	1.154976838	1.155284278
105	1.151467049	1.151771039
106	1.147979237	1.148281325
107	1.144513091	1.144814664
108	1.141068309	1.141370596
109	1.137644594	1.137948678
110	1.134241657	1.134548479
111	1.130859216	1.131169579
112	1.127496994	1.127811575
113	1.124154721	1.124474071
114	1.120832133	1.121156685
115	1.117528971	1.117859047
116	1.114244983	1.114580796
117	1.11097992	1.111321581
118	1.107733542	1.108081063
119	1.10450561	1.10485891
120	1.101295893	1.101654801
121	1.098104164	1.098468424
122	1.0949302	1.095299475
123	1.091773783	1.092147657
124	1.0886347	1.089012684
125	1.085512741	1.085894275
126	1.082407701	1.082792158
127	1.07931938	1.079706068
128	1.076247579	1.076635747
129	1.073192107	1.073580943
130	1.070152772	1.070541411
131	1.067129391	1.067516914
132	1.064121779	1.064507217
133	1.061129759	1.061512096
134	1.058153155	1.058531329
135	1.055191794	1.055564701
136	1.052245508	1.052612002
137	1.04931413	1.049673028
138	1.046397498	1.046747578
139	1.043495452	1.04383546
140	1.040607834	1.040936482
141	1.03773449	1.038050459
142	1.034875269	1.035177211
143	1.032030022	1.032316561
144	1.029198602	1.029468337
145	1.026380865	1.02663237
146	1.023576671	1.023808497
147	1.02078588	1.020996557
148	1.018008356	1.018196393
149	1.015243965	1.015407852
150	1.012492574	1.012630785
151	1.009754054	1.009865045
152	1.007028277	1.00711049
153	1.004315118	1.004366981
154	1.001614453	1.00163438
155	0.99892616	0.998912554
156	0.996250121	0.996201374
157	0.993586216	0.993500711
158	0.990934332	0.990810441
159	0.988294353	0.988130441
160	0.985666168	0.985460593
161	0.983049667	0.982800779
162	0.980444739	0.980150886
163	0.977851279	0.977510801
164	0.975269182	0.974880415
165	0.972698343	0.972259621
166	0.970138659	0.969648314
167	0.967590032	0.967046392
168	0.965052361	0.964453753
169	0.962525548	0.9618703
170	0.960009498	0.959295936
171	0.957504116	0.956730566
172	0.955009308	0.954174099
173	0.952524981	0.951626443
174	0.950051047	0.949087509
175	0.947587414	0.946557211
176	0.945133995	0.944035464
177	0.942690702	0.941522183
178	0.940257451	0.939017287
179	0.937834156	0.936520696
180	0.935420735	0.93403233
181	0.933017105	0.931552113
182	0.930623185	0.929079969
183	0.928238895	0.926615824
184	0.925864156	0.924159605
185	0.923498891	0.92171124
186	0.921143023	0.91927066
187	0.918796475	0.916837796
188	0.916459175	0.91441258
189	0.914131047	0.911994946
190	0.91181202	0.90958483
191	0.90950202	0.907182167
192	0.907200979	0.904786895
193	0.904908825	0.902398953
194	0.90262549	0.90001828
195	0.900350905	0.897644818
196	0.898085004	0.895278508
197	0.895827719	0.892919293
198	0.893578987	0.890567118
199	0.891338741	0.888221927
200	0.889106917	0.885883666
201	0.886883454	0.883552282
202	0.884668288	0.881227723
203	0.882461358	0.878909938
204	0.880262603	0.876598877
205	0.878071964	0.87429449
206	0.87588938	0.871996728
207	0.873714793	0.869705545
208	0.871548146	0.867420892
209	0.869389381	0.865142724
210	0.867238441	0.862870996
211	0.865095271	0.860605663
212	0.862959816	0.858346681
213	0.860832021	0.856094007
214	0.858711833	0.853847599
215	0.856599197	0.851607415
216	0.854494062	0.849373414
217	0.852396374	0.847145557
218	0.850306084	0.844923802
219	0.84822314	0.842708112
220	0.846147492	0.840498448
221	0.84407909	0.838294772
222	0.842017885	0.836097048
223	0.839963828	0.833905238
224	0.837916872	0.831719307
225	0.835876968	0.829539219
226	0.833844071	0.82736494
227	0.831818133	0.825196436
228	0.829799108	0.823033672
229	0.827786952	0.820876615
230	0.825781619	0.818725233
231	0.823783064	0.816579494
232	0.821791244	0.814439366
233	0.819806116	0.812304818
234	0.817827635	0.810175818
235	0.815855761	0.808052338
236	0.81389045	0.805934346
237	0.81193166	0.803821814
238	0.809979352	0.801714713
239	0.808033483	0.799613014
240	0.806094013	0.797516689
241	0.804160904	0.795425711
242	0.802234114	0.793340051
243	0.800313604	0.791259685
244	0.798399337	0.789184584
245	0.796491274	0.787114723
246	0.794589377	0.785050077
247	0.792693607	0.782990619
248	0.790803929	0.780936325
249	0.788920305	0.778887171
250	0.787042699	0.776843131
251	0.785171075	0.774804183
252	0.783305396	0.772770302
253	0.781445629	0.770741465
254	0.779591737	0.768717649
255	0.777743686	0.766698832
256	0.775901442	0.764684991
257	0.77406497	0.762676104
258	0.772234238	0.76067215
259	0.770409211	0.758673107
260	0.768589857	0.756678953
261	0.766776143	0.754689669
262	0.764968036	0.752705233
263	0.763165505	0.750725625
264	0.761368518	0.748750824
265	0.759577043	0.746780813
266	0.757791049	0.744815569
267	0.756010506	0.742855075
268	0.754235382	0.740899311
269	0.752465647	0.738948259
270	0.750701272	0.7370019
271	0.748942227	0.735060215
272	0.747188481	0.733123186
273	0.745440006	0.731190796
274	0.743696774	0.729263027
275	0.741958754	0.727339862
276	0.74022592	0.725421282
277	0.738498242	0.723507272
278	0.736775693	0.721597814
279	0.735058246	0.719692891
280	0.733345872	0.717792488
281	0.731638544	0.715896588
282	0.729936237	0.714005175
283	0.728238922	0.712118234
284	0.726546574	0.710235747
285	0.724859167	0.708357701
286	0.723176674	0.706484079
287	0.721499069	0.704614867
288	0.719826328	0.70275005
289	0.718158424	0.700889612
290	0.716495333	0.69903354
291	0.71483703	0.697181818
292	0.713183491	0.695334433
293	0.71153469	0.69349137
294	0.709890603	0.691652615
295	0.708251207	0.689818154
296	0.706616478	0.687987975
297	0.704986391	0.686162062
298	0.703360925	0.684340403
299	0.701740054	0.682522985
300	0.700123757	0.680709794
301	0.69851201	0.678900817
302	0.696904792	0.677096042
303	0.695302078	0.675295456
304	0.693703848	0.673499046
305	0.692110078	0.6717068
306	0.690520748	0.669918705
307	0.688935835	0.668134749
308	0.687355317	0.666354921
309	0.685779174	0.664579207
310	0.684207384	0.662807597
311	0.682639926	0.661040078
312	0.68107678	0.659276639
313	0.679517924	0.657517269
314	0.677963337	0.655761955
315	0.676413001	0.654010687
316	0.674866893	0.652263454
317	0.673324995	0.650520243
318	0.671787286	0.648781045
319	0.670253747	0.647045849
320	0.668724358	0.645314643
321	0.6671991	0.643587417
322	0.665677953	0.64186416
323	0.664160898	0.640144862
324	0.662647916	0.638429513
325	0.661138988	0.636718102
326	0.659634096	0.635010618
327	0.658133222	0.633307052
328	0.656636346	0.631607394
329	0.65514345	0.629911633
330	0.653654517	0.62821976
331	0.652169528	0.626531765
332	0.650688465	0.624847638
333	0.649211311	0.623167369
334	0.647738048	0.621490949
335	0.646268659	0.619818369
336	0.644803126	0.618149619
337	0.643341432	0.61648469
338	0.64188356	0.614823571
339	0.640429493	0.613166255
340	0.638979215	0.611512732
341	0.637532708	0.609862993
342	0.636089956	0.608217029
343	0.634650942	0.60657483
344	0.633215651	0.604936389
345	0.631784065	0.603301696
346	0.63035617	0.601670743
347	0.628931948	0.600043521
348	0.627511384	0.598420021
349	0.626094463	0.596800234
350	0.624681168	0.595184153
351	0.623271484	0.593571769
352	0.621865396	0.591963073
353	0.620462888	0.590358057
354	0.619063946	0.588756713
355	0.617668553	0.587159033
356	0.616276696	0.585565008
357	0.614888358	0.58397463
358	0.613503526	0.582387892
359	0.612122185	0.580804785
360	0.61074432	0.579225301
361	0.609369916	0.577649433
362	0.60799896	0.576077173
363	0.606631437	0.574508512
364	0.605267332	0.572943443
365	0.603906633	0.571381959
366	0.602549324	0.569824052
367	0.601195392	0.568269713
368	0.599844823	0.566718936
369	0.598497603	0.565171713
370	0.59715372	0.563628037
371	0.595813158	0.562087899
372	0.594475906	0.560551293
373	0.593141948	0.559018212
374	0.591811274	0.557488647
375	0.590483868	0.555962593
376	0.589159718	0.55444004
377	0.587838812	0.552920983
378	0.586521135	0.551405414
379	0.585206676	0.549893326
380	0.583895422	0.548384712
381	0.582587359	0.546879565
382	0.581282476	0.545377878
383	0.57998076	0.543879644
384	0.578682199	0.542384855
385	0.57738678	0.540893505
386	0.57609449	0.539405588
387	0.574805319	0.537921096
388	0.573519253	0.536440022
389	0.572236282	0.53496236
390	0.570956392	0.533488104
391	0.569679572	0.532017245
392	0.56840581	0.530549778
393	0.567135095	0.529085695
394	0.565867415	0.527624991
395	0.564602758	0.526167659
396	0.563341113	0.524713692
397	0.562082469	0.523263083
398	0.560826814	0.521815826
399	0.559574136	0.520371915
400	0.558324426	0.518931343
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
