TITLE = "Decane T rho" 

  VARIABLES = T	Soave_error_01Mpa	new_error_01Mpa	Soave_error_1Mpa	new_error_1Mpa	Soave_error_2Mpa	new_error_2Mpa	Soave_error_3Mpa	new_error_3Mpa	Soave_error_5Mpa	new_error_5Mpa	Soave_error_10Mpa	new_error_10Mpa
700	0.10345595	0.251170715	0.989769273	2.970291275	1.586606099	7.885186203	0.494493665	16.82492756	14.38212987	3.230171614	8.295389793	0.507180117
710	0.098626129	0.241924811	0.964143622	2.837535341	1.580535612	7.229277601	0.777835084	14.08150675	12.60550107	4.66502491	8.755050666	0.81929845
720	0.093376085	0.230295025	0.928811752	2.675641446	1.553600083	6.584344636	0.956459514	11.96238744	10.52463043	5.684946515	9.187329752	1.261151576
730	0.089788441	0.21840506	0.894008253	2.496311793	1.513142673	5.946000696	1.072457314	10.22015806	8.545462143	6.038181205	9.575430616	1.833970612
740	0.085908479	0.204525838	0.852607679	2.295928356	1.460773186	5.314986908	1.136291016	8.72160695	6.870661967	5.779969633	9.910360959	2.53040783
750	0.079795049	0.187082629	0.810649174	2.085710662	1.403133067	4.703025769	1.16550649	7.410859273	5.526903539	5.126596208	10.17928785	3.321253841
760	0.073931126	0.169017025	0.767614709	1.870873077	1.337508093	4.114459738	1.169321901	6.256810473	4.460449936	4.296735739	10.37340002	4.166161164
770	0.071049792	0.153555129	0.719810306	1.653418083	1.271798297	3.56472087	1.155573308	5.243588653	3.624402658	3.422911533	10.48856641	5.019095993
780	0.065071865	0.135091964	0.677087347	1.448485074	1.201930212	3.05574729	1.128864408	4.35992231	2.966974645	2.591469506	10.52309581	5.832270153
790	0.058869689	0.116932132	0.633331189	1.254178655	1.131803539	2.595745324	1.090512678	3.594633249	2.444551726	1.85033088	10.47199869	6.556567805
800	0.055562329	0.102546372	0.587138528	1.072240875	1.06066099	2.185949905	1.045947413	2.941892594	2.021392069	1.223509661	10.34129038	7.161614598
810	0.049097104	0.086131156	0.546630067	0.912752157	0.990429317	1.828091516	0.995679257	2.390779613	1.686890748	0.701446559	10.13999325	7.630044096
820	0.047495529	0.075857746	0.502699273	0.767279727	0.921081724	1.519878292	0.94233306	1.932046531	1.414206954	0.288065897	9.873696992	7.951623036
830	0.039950996	0.060959198	0.460057104	0.640176637	0.852233769	1.256945676	0.885184503	1.552521372	1.199668189	0.037621009	9.553553995	8.131692881
840	0.039622265	0.054547883	0.419419422	0.530869875	0.785036171	1.035165799	0.827365376	1.242595911	1.022222318	0.278807184	9.196798205	8.189788198
850	0.035655385	0.045643238	0.377144663	0.433747112	0.719742451	0.84866477	0.768064287	0.988720775	0.875579037	0.452717158	8.805758802	8.136259251
860	0.026738182	0.032757096	0.339390841	0.352585239	0.657743122	0.692352473	0.708997894	0.780374088	0.763897432	0.585319415	8.401961038	8.004615532
870	0.026756315	0.029572702	0.303154658	0.281841467	0.596728958	0.557567363	0.651096431	0.607219466	0.669860935	0.678698047	7.986840281	7.809826768
880	0.019569663	0.019744734	0.265531232	0.216184513	0.535067221	0.436913416	0.592457639	0.457552832	0.588207149	0.74415856	7.569649449	7.574648516
890	0.019427497	0.0173413	0.233772583	0.160775488	0.479092962	0.331930184	0.534141187	0.324524162	0.528199033	0.804079247	7.16039216	7.320899625
900	0.015084565	0.010979376	0.20043552	0.106618161	0.42372986	0.23404376	0.478567997	0.204860362	0.48809068	0.866039721	6.765489714	7.063885421
910	0.010728433	0.00476821	0.168214995	0.055517558	0.369184546	0.141456249	0.422833631	0.092398277	0.444774768	0.912404629	6.382699042	6.806471904
920	0.005426701	0.002233348	0.134900875	0.005123503	0.316164068	0.054456844	0.36812464	0.012471998	0.419627893	0.965924906	6.017624872	6.555057031
930	0.003668521	0.005472055	0.103633757	0.040809721	0.268438828	0.022049121	0.316522183	0.106110703	0.394815619	1.006640822	5.671114886	6.306907348
940	0.000772885	0.011038945	0.077863014	0.077507521	0.219855212	0.091626871	0.265770866	0.187092162	0.384865478	1.043567653	5.343283359	6.054456242
950	0.003284767	0.014124046	0.050499171	0.110104299	0.174912399	0.146023579	0.21759421	0.248297495	0.37561015	1.054598227	5.03828797	5.790629639
960	0.004611287	0.015224832	0.025208443	0.132525281	0.130563637	0.183617485	0.169036818	0.285995597	0.370587086	1.033332365	4.750042991	5.495469685
970	0.005494252	0.014804781	0.000402506	0.143648619	0.08933834	0.1966836	0.122853792	0.290007656	0.368485143	0.96741049	4.481263014	5.155940843
980	0.012386611	0.019026632	0.025471782	0.142218765	0.048609832	0.182460848	0.078734168	0.252958672	0.369287723	0.845351315	4.229077941	4.752578999
990	0.014658483	0.016981656	0.048261144	0.12138113	0.011441486	0.132701629	0.036726517	0.167365	0.373396785	0.656367178	3.995024317	4.270287754
1000	0.01869972	0.014810745	0.069267863	0.08002169	0.027252504	0.047827248	0.00278118	0.026112633	0.378423234	0.38777416	3.774796506	3.688929836

