Tr,Pr,alpha
0.822021766,0.677754734,1.097592371
0.838462201,0.677754734,1.094482337
0.854902636,0.677754734,1.091260613
0.871343072,0.677754734,1.087831901
0.887783507,0.677754734,1.08406996
0.904223942,0.677754734,1.07978813
0.920664378,0.677754734,1.074674247
0.937104813,0.677754734,1.068112353
0.953545248,0.677754734,1.023010353
0.969985684,0.677754734,1.003116078
0.986426119,0.677754734,0.985264969
1.002866554,0.677754734,0.968772974
1.01930699,0.677754734,0.953306622
1.035747425,0.677754734,0.938670233
1.05218786,0.677754734,0.924734684
1.068628296,0.677754734,0.911407591
1.085068731,0.677754734,0.898619239
1.101509166,0.677754734,0.886315069
1.117949602,0.677754734,0.874451114
1.134390037,0.677754734,0.862990962
1.150830472,0.677754734,0.85190372
1.167270907,0.677754734,0.841162644
1.183711343,0.677754734,0.83074421
1.200151778,0.677754734,0.820627487
1.216592213,0.677754734,0.810793679
1.233032649,0.677754734,0.801225785
1.249473084,0.677754734,0.791908335
1.265913519,0.677754734,0.782827187
1.282353955,0.677754734,0.773969353
1.29879439,0.677754734,0.765322867
1.315234825,0.677754734,0.756876669
1.331675261,0.677754734,0.748620509
1.348115696,0.677754734,0.740544865
1.364556131,0.677754734,0.732640876
1.380996567,0.677754734,0.724900277
1.397437002,0.677754734,0.717315347
1.413877437,0.677754734,0.709878864
1.430317873,0.677754734,0.702584063
1.446758308,0.677754734,0.695424595
1.463198743,0.677754734,0.688394499
1.479639178,0.677754734,0.68148817
1.496079614,0.677754734,0.674700331
1.512520049,0.677754734,0.66802601
1.528960484,0.677754734,0.661460518
1.54540092,0.677754734,0.654999428
1.561841355,0.677754734,0.648638556
1.57828179,0.677754734,0.642373946
1.594722226,0.677754734,0.636201854
1.611162661,0.677754734,0.630118734
1.627603096,0.677754734,0.624121223
1.644043532,0.677754734,0.618206131
1.660483967,0.677754734,0.612370431
1.676924402,0.677754734,0.606611247
1.693364838,0.677754734,0.600925843
1.709805273,0.677754734,0.595311619
1.726245708,0.677754734,0.5897661
1.742686144,0.677754734,0.584286926
1.759126579,0.677754734,0.578871851
1.775567014,0.677754734,0.573518733
1.792007449,0.677754734,0.568225525
1.808447885,0.677754734,0.562990278
1.82488832,0.677754734,0.557811127
1.841328755,0.677754734,0.552686291
1.857769191,0.677754734,0.547614065
1.874209626,0.677754734,0.542592821
1.890650061,0.677754734,0.537621
1.907090497,0.677754734,0.532697108
1.923530932,0.677754734,0.527819714
1.939971367,0.677754734,0.522987448
1.956411803,0.677754734,0.518198995
1.972852238,0.677754734,0.513453093
1.989292673,0.677754734,0.508748533
2.005733109,0.677754734,0.504084152
2.022173544,0.677754734,0.499458834
2.038613979,0.677754734,0.494871507
2.055054415,0.677754734,0.490321139
2.07149485,0.677754734,0.485806739
2.087935285,0.677754734,0.481327353
2.104375721,0.677754734,0.476882063
2.120816156,0.677754734,0.472469985
2.137256591,0.677754734,0.468090269
2.153697026,0.677754734,0.463742093
2.170137462,0.677754734,0.459424668
2.186577897,0.677754734,0.455137232
2.203018332,0.677754734,0.450879049
2.219458768,0.677754734,0.44664941
2.235899203,0.677754734,0.442447632
2.252339638,0.677754734,0.438273053
2.268780074,0.677754734,0.434125035
2.285220509,0.677754734,0.430002963
2.301660944,0.677754734,0.425906241
2.31810138,0.677754734,0.421834292
2.334541815,0.677754734,0.417786561
2.35098225,0.677754734,0.413762509
2.367422686,0.677754734,0.409761615
2.383863121,0.677754734,0.405783376
2.400303556,0.677754734,0.401827302
2.416743992,0.677754734,0.397892923
2.433184427,0.677754734,0.39397978
2.449624862,0.677754734,0.39008743
2.466065297,0.677754734,0.386215443
2.482505733,0.677754734,0.382363404
2.498946168,0.677754734,0.378530908
2.515386603,0.677754734,0.374717564
2.531827039,0.677754734,0.370922993
2.548267474,0.677754734,0.367146824
