T,P,NIST,PR,New,PR_rate,New_rate,PR_rate,New_rate,,
220,100000,2.439412032,2.437993622,2.443,-0.058145543,0.147083326,0.058145543,0.147083326,0.015712101,0.031988909
225,100000,2.382765249,2.381908828,2.3868,-0.035942307,0.16933063,0.035942307,0.16933063,,
230,100000,2.328819688,2.328405163,2.3332,-0.017799775,0.188091504,0.017799775,0.188091504,,
235,100000,2.277373063,2.277304533,2.282,-0.003009168,0.203169914,0.003009168,0.203169914,,
240,100000,2.228244504,2.22844519,2.233,0.009006437,0.213418935,0.009006437,0.213418935,,
245,100000,2.181271556,2.181679867,2.186,0.018718943,0.216774678,0.018718943,0.216774678,,
250,100000,2.136307699,2.136874164,2.1413,0.026516091,0.233688294,0.026516091,0.233688294,,
255,100000,2.093220297,2.093905152,2.0982,0.032717772,0.237896765,0.032717772,0.237896765,,
260,100000,2.051888866,2.052660148,2.0569,0.037588883,0.244220532,0.037588883,0.244220532,,
265,100000,2.012203624,2.01303566,2.0172,0.041349511,0.248303703,0.041349511,0.248303703,,
270,100000,1.974064247,1.974936449,1.979,0.044183073,0.250029999,0.044183073,0.250029999,,
275,100000,1.937378814,1.938274713,1.9423,0.04624284,0.254012575,0.04624284,0.254012575,,
280,100000,1.902062893,1.902969363,1.9069,0.047657215,0.254308494,0.047657215,0.254308494,,
285,100000,1.868038751,1.868945384,1.869229598,0.048533986,0.063748562,0.048533986,0.063748562,,
290,100000,1.835234673,1.836133273,1.836426577,0.048963793,0.064945592,0.048963793,0.064945592,,
295,100000,1.80358436,1.804468531,1.804700868,0.049022949,0.061904948,0.049022949,0.061904948,,
300,100000,1.773026407,1.773891215,1.774010216,0.048775796,0.055487516,0.048775796,0.055487516,,
305,100000,1.743503836,1.744345542,1.744330212,0.048276676,0.047397426,0.048276676,0.047397426,,
310,100000,1.71496369,1.715779525,1.715642022,0.047571563,0.039553771,0.047571563,0.039553771,,
315,100000,1.687356669,1.688144654,1.687920089,0.046699398,0.033390705,0.046699398,0.033390705,,
320,100000,1.660636812,1.661395609,1.661125631,0.045693162,0.029435668,0.045693162,0.029435668,,
325,100000,1.634761205,1.635489994,1.635208072,0.044580767,0.02733529,0.044580767,0.02733529,,
330,100000,1.609689731,1.610388108,1.610112196,0.043385817,0.026245125,0.043385817,0.026245125,,
335,100000,1.585384832,1.586052727,1.585786382,0.042128254,0.025328267,0.042128254,0.025328267,,
340,100000,1.561811307,1.562448915,1.562187764,0.040824914,0.024103842,0.040824914,0.024103842,,
345,100000,1.538936124,1.53954385,1.539282714,0.039490001,0.022521443,0.039490001,0.022521443,,
350,100000,1.516728249,1.517306661,1.517043846,0.03813548,0.02080776,0.03813548,0.02080776,,
355,100000,1.495158496,1.495708287,1.495446076,0.036771406,0.019234076,0.036771406,0.019234076,,
360,100000,1.474199387,1.474721345,1.47446398,0.035406208,0.017948277,0.035406208,0.017948277,,
365,100000,1.453825025,1.454320008,1.454071232,0.034046922,0.016935113,0.034046922,0.016935113,,
370,100000,1.434010983,1.434479896,1.434241566,0.032699392,0.016079531,0.032699392,0.016079531,,
375,100000,1.414734195,1.415177976,1.414950109,0.03136845,0.015261801,0.03136845,0.015261801,,
380,100000,1.395972864,1.396392466,1.396174179,0.030058054,0.01442117,0.030058054,0.01442117,,
385,100000,1.377706371,1.378102756,1.37789325,0.02877142,0.013564483,0.02877142,0.013564483,,
390,100000,1.359915198,1.360289326,1.360088382,0.02751113,0.012734873,0.02751113,0.012734873,,
395,100000,1.342580855,1.342933675,1.342741591,0.026279222,0.011972173,0.026279222,0.011972173,,
400,100000,1.325685808,1.326018253,1.325835476,0.025077271,0.011289865,0.025077271,0.011289865,,
405,100000,1.30921342,1.309526406,1.309353181,0.023906458,0.010675252,0.023906458,0.010675252,,
410,100000,1.293147893,1.293442312,1.293278556,0.02276763,0.010104272,0.02276763,0.010104272,,
415,100000,1.277474216,1.277750934,1.27759631,0.021661345,0.009557392,0.021661345,0.009557392,,
420,100000,1.262178115,1.262437971,1.262292056,0.020587923,0.009027348,0.020587923,0.009027348,,
425,100000,1.247246006,1.247489812,1.247352239,0.019547478,0.008517397,0.019547478,0.008517397,,
430,100000,1.232664958,1.232893493,1.232763996,0.018539954,0.008034479,0.018539954,0.008034479,,
435,100000,1.218422647,1.218636665,1.218515039,0.017565147,0.007582927,0.017565147,0.007582927,,
440,100000,1.204507327,1.204707549,1.204593594,0.016622738,0.007162003,0.016622738,0.007162003,,
445,100000,1.190907794,1.191094913,1.190988385,0.015712304,0.006767224,0.015712304,0.006767224,,
450,100000,1.177613351,1.17778803,1.17768864,0.014833343,0.006393362,0.014833343,0.006393362,,
455,100000,1.164613786,1.16477666,1.164684091,0.013985285,0.006036841,0.013985285,0.006036841,,
460,100000,1.151899338,1.152051014,1.151964955,0.013167508,0.005696403,0.013167508,0.005696403,,
465,100000,1.139460678,1.139601736,1.139521893,0.012379346,0.005372308,0.012379346,0.005372308,,
470,100000,1.12728888,1.127419872,1.127345978,0.011620103,0.005065022,0.011620103,0.005065022,,
475,100000,1.115375404,1.115496858,1.115428656,0.010889056,0.004774314,0.010889056,0.004774314,,
480,100000,1.103712071,1.103824489,1.103761728,0.010185467,0.004499108,0.010185467,0.004499108,,
485,100000,1.092291047,1.092394908,1.092337337,0.009508587,0.004237891,0.009508587,0.004237891,,
490,100000,1.081104822,1.081200582,1.08114795,0.008857661,0.003989258,0.008857661,0.003989258,,
495,100000,1.070146197,1.070234291,1.070186351,0.008231931,0.003752227,0.008231931,0.003752227,,
500,100000,1.059408265,1.059489105,1.059445623,0.007630642,0.003526239,0.007630642,0.003526239,,
505,100000,1.048884398,1.048958376,1.048919126,0.007053045,0.003310947,0.007053045,0.003310947,,
510,100000,1.03856823,1.038635721,1.038600488,0.0064984,0.003105989,0.0064984,0.003105989,,
515,100000,1.02845365,1.028515007,1.028483587,0.005965973,0.002910871,0.005965973,0.002910871,,
520,100000,1.018534781,1.018590342,1.018562536,0.005455047,0.002724987,0.005455047,0.002724987,,
525,100000,1.008805977,1.008856063,1.008831678,0.004964913,0.002547716,0.004964913,0.002547716,,
530,100000,0.999261806,0.999306722,0.999285574,0.004494881,0.002378508,0.004494881,0.002378508,,
535,100000,0.989897043,0.989937078,0.989918989,0.004044273,0.002216919,0.004044273,0.002216919,,
540,100000,0.98070666,0.980742087,0.980726888,0.003612429,0.002062588,0.003612429,0.002062588,,
545,100000,0.971685813,0.971716895,0.971704423,0.003198706,0.001915192,0.003198706,0.001915192,,
550,100000,0.96282984,0.962856823,0.962846925,0.002802475,0.001774406,0.002802475,0.001774406,,
555,100000,0.954134246,0.954157366,0.954149893,0.002423127,0.001639892,0.002423127,0.001639892,,
560,100000,0.945594701,0.945614181,0.945608992,0.00206007,0.001511305,0.00206007,0.001511305,,
565,100000,0.937207029,0.937223081,0.93722004,0.001712727,0.001388324,0.001712727,0.001388324,,
570,100000,0.928967202,0.928980026,0.928979006,0.001380541,0.001270657,0.001380541,0.001270657,,
575,100000,0.920871333,0.920881122,0.920881997,0.00106297,0.001158052,0.00106297,0.001158052,,
580,100000,0.912915673,0.912922606,0.912925261,0.000759491,0.001050281,0.000759491,0.001050281,,
585,100000,0.9050966,0.90510085,0.905105172,0.000469597,0.000947125,0.000469597,0.000947125,,
590,100000,0.897410618,0.897412348,0.897418231,0.000192795,0.000848359,0.000192795,0.000848359,,
595,100000,0.889854348,0.889853712,0.889861055,-7.13885E-05,0.000753754,7.13885E-05,0.000753754,,
600,100000,0.882424525,0.882421671,0.882430377,-0.000323413,0.000663084,0.000323413,0.000663084,,
605,100000,0.875117995,0.875113062,0.875123037,-0.000563722,0.000576151,0.000563722,0.000576151,,
610,100000,0.867931707,0.867924826,0.867935984,-0.000792745,0.000492795,0.000792745,0.000492795,,
615,100000,0.860862708,0.860854006,0.860866263,-0.001010896,0.000412891,0.001010896,0.000412891,,
620,100000,0.853908146,0.85389774,0.853911017,-0.001218573,0.000336326,0.001218573,0.000336326,,
625,100000,0.847065255,0.84705326,0.847067483,-0.001416164,0.000262957,0.001416164,0.000262957,,
630,100000,0.840331364,0.840317885,0.840332982,-0.001604041,0.000192597,0.001604041,0.000192597,,
635,100000,0.833703881,0.83368902,0.833704924,-0.001782562,0.000125019,0.001782562,0.000125019,,
640,100000,0.8271803,0.827164153,0.827180797,-0.001952075,6.0017E-05,0.001952075,6.0017E-05,,
645,100000,0.820758191,0.820740849,0.820758171,-0.002112914,-2.52529E-06,0.002112914,2.52529E-06,,
650,100000,0.8144352,0.81441675,0.814434691,-0.002265402,-6.26042E-05,0.002265402,6.26042E-05,,
655,100000,0.808209046,0.808189569,0.808208075,-0.002409849,-0.00012014,0.002409849,0.00012014,,
660,100000,0.802077516,0.80205709,0.802076111,-0.002546556,-0.000175104,0.002546556,0.000175104,,
665,100000,0.796038465,0.796017165,0.796036653,-0.00267581,-0.000227649,0.00267581,0.000227649,,
670,100000,0.790089814,0.790067708,0.790087616,-0.002797892,-0.000278153,0.002797892,0.000278153,,
675,100000,0.784229543,0.784206698,0.784226978,-0.00291307,-0.000327088,0.00291307,0.000327088,,
680,100000,0.778455695,0.778432173,0.778452777,-0.003021602,-0.000374752,0.003021602,0.000374752,,
685,100000,0.772766367,0.772742228,0.772763114,-0.003123739,-0.000421018,0.003123739,0.000421018,,
690,100000,0.767159715,0.767135015,0.767156146,-0.00321972,-0.000465312,0.00321972,0.000465312,,
695,100000,0.761633947,0.761608738,0.761630086,-0.003309777,-0.000506946,0.003309777,0.000506946,,
700,100000,0.756187321,0.756161655,0.756183194,-0.003394135,-0.000545697,0.003394135,0.000545697,,
705,100000,0.750818147,0.750792071,0.750813775,-0.003473007,-0.000582257,0.003473007,0.000582257,,
710,100000,0.745524782,0.745498341,0.745520174,-0.003546602,-0.000618135,0.003546602,0.000618135,,
715,100000,0.740305629,0.740278866,0.740300781,-0.00361512,-0.000654852,0.00361512,0.000654852,,
720,100000,0.735159136,0.735132091,0.735154043,-0.003678752,-0.00069274,0.003678752,0.00069274,,
725,100000,0.730083794,0.730056506,0.730078463,-0.003737686,-0.000730189,0.003737686,0.000730189,,
730,100000,0.725078135,0.725050639,0.725072595,-0.003792099,-0.000764114,0.003792099,0.000764114,,
735,100000,0.720140732,0.720113063,0.72013503,-0.003842164,-0.000791851,0.003842164,0.000791851,,
740,100000,0.715270197,0.715242387,0.715264378,-0.003888047,-0.000813566,0.003888047,0.000813566,,
745,100000,0.710465178,0.710437257,0.710459256,-0.003929909,-0.000833468,0.003929909,0.000833468,,
750,100000,0.70572436,0.705696358,0.705718303,-0.003967903,-0.000858325,0.003967903,0.000858325,,
755,100000,0.701046464,0.701018407,0.701040202,-0.004002179,-0.000893212,0.004002179,0.000893212,,
760,100000,0.696430243,0.696402157,0.69642372,-0.004032879,-0.000936596,0.004032879,0.000936596,,
765,100000,0.691874484,0.691846393,0.691867716,-0.004060142,-0.000978253,0.004060142,0.000978253,,
770,100000,0.687378006,0.687349933,0.687371112,-0.0040841,-0.001002983,0.0040841,0.001002983,,
775,100000,0.682939657,0.682911623,0.682932826,-0.004104883,-0.001000238,0.004104883,0.001000238,,
780,100000,0.678558317,0.678530342,0.678551694,-0.004122613,-0.000976,0.004122613,0.000976,,
785,100000,0.674232892,0.674204996,0.674226414,-0.00413741,-0.000960707,0.00413741,0.000960707,,
790,100000,0.669962317,0.669934518,0.669955566,-0.004149388,-0.0010077,0.004149388,0.0010077,,
795,100000,0.665745555,0.665717869,0.665737695,-0.004158659,-0.001180653,0.004158659,0.001180653,,
800,100000,0.661581594,0.661554037,0.661571446,-0.004165329,-0.001533865,0.004165329,0.001533865,,
220,1000000,1167.03286,1220.61,1157.79,4.590885285,-0.791996564,4.590885285,0.791996564,0.260351483,0.14737811
