T,P,NIST,PR,New,PR_rate,New_rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,2759520,39.70570428,40.90113465,41.12245321,3.010727028,3.568124414,185,4599200,267.6208661,259.9086786,266.0755151,2.881758657,0.577440392,185,9198400,304.2674899,317.0334985,319.7512381,4.195653179,5.088860533,185,13797600,322.1521399,344.2722073,346.2594094,6.866341918,7.483193971,40.16956238,185,264.4251244,185,304.234359,185,322.0895419
190,2759520,37.13150893,38.24857003,38.24038376,3.008391349,2.986344659,190,4599200,218.073063,196.0115252,194.8434691,10.11658089,10.65220691,190,9198400,290.7980618,298.8073407,298.6596675,2.75424081,2.703458754,190,13797600,312.1592737,330.837831,330.734435,5.983662456,5.950539633,37.41907722,190,204.6003825,190,290.9088516,190,312.0829595
195,2759520,35.03752227,36.06728048,35.76333487,2.939015494,2.071529471,195,4599200,84.92449535,89.12329976,84.82541053,4.944161741,0.116674022,195,9198400,275.695078,279.0153629,271.189486,1.204332298,1.634266381,195,13797600,301.6449057,316.8836383,311.6734306,5.051878003,3.324612725,35.1816499,195,87.45201581,195,275.8520511,195,301.5796296
200,2759520,33.27390432,34.21924597,33.70797913,2.841090243,1.304550266,200,4599200,72.99665446,76.48826363,72.23997307,4.783245478,1.036597355,200,9198400,258.4531434,257.54988,239.7401663,0.349488268,7.240375098,200,13797600,290.5598067,302.4473293,291.0618992,4.091248097,0.172801766,33.32815648,200,73.99591832,200,258.4597046,200,290.5132191
205,2759520,31.75269196,32.61991468,32.02794876,2.731178582,0.866877064,205,4599200,65.91496364,68.89749492,65.10615155,4.524816692,1.227053835,205,9198400,238.4924268,234.5479572,209.0786725,1.65391817,12.33320266,205,13797600,278.8649061,287.6027415,271.2809268,3.133357828,2.719589024,31.76399959,205,66.16423452,205,238.2322998,205,278.8243439
210,2759520,30.4173595,31.21350181,30.63108478,2.617394523,0.702642418,210,4599200,60.85721162,63.4570824,60.27365056,4.272083305,0.958902069,210,9198400,215.625548,210.7320728,183.1964859,2.269431991,15.03952681,210,13797600,266.5452503,272.4719332,253.453124,2.223518467,4.911783761,30.41704116,210,60.76939885,210,215.2625715,210,266.4889771
215,2759520,29.22925712,29.96116558,29.42161101,2.504026898,0.658086836,215,4599200,56.93059865,59.22883301,56.58574638,4.036905315,0.60574151,215,9198400,191.1999013,187.6694314,162.6166069,1.846481035,14.94942949,215,13797600,253.6333299,257.2342701,237.1465651,1.419742489,6.500235932,29.23269633,215,56.7455892,215,191.0079225,215,253.5495327
220,2759520,28.16072454,28.83472896,28.33334621,2.393420029,0.612987299,220,4599200,53.73025301,55.78264395,53.52197773,3.819805085,0.387631298,220,9198400,168.2982208,167.211994,146.1324969,0.645417876,13.17050404,220,13797600,240.2429852,242.1256043,221.5742938,0.783631268,7.770754006,28.17135745,220,53.57139533,220,168.3001924,220,240.1413856
225,2759520,27.191257,27.81307953,27.33668037,2.28684731,0.534816626,225,4599200,51.03658092,52.88382733,50.87301954,3.619455635,0.320478725,225,9198400,149.3568538,150.3096091,132.8488445,0.637905335,11.05272964,225,13797600,226.6007537,227.4200384,206.6464444,0.36155429,8.805932437,27.20602054,225,50.94667775,225,149.394647,225,226.503545
230,2759520,26.30521962,26.87997832,26.42346623,2.184960651,0.449517678,230,4599200,48.71666636,50.38975326,48.5633737,3.434321412,0.31466164,230,9198400,134.6077851,136.7686469,122.2309453,1.605302237,9.194742899,230,13797600,213.039505,213.3926279,192.8758391,0.165754657,9.464754411,26.31938653,230,48.69004058,230,134.5919197,230,212.9599331
235,2759520,25.49041123,26.02266121,25.58872672,2.088039975,0.385695984,235,4599200,46.68380491,48.20708226,46.5454727,3.26296742,0.296317344,235,9198400,123.15953,125.9127191,113.7447989,2.235465721,7.644338307,235,13797600,199.931739,200.2734295,180.6796452,0.170903586,9.629333471,25.50062286,235,46.69430988,235,123.0978751,235,199.8660505
240,2759520,24.73712324,25.23091072,24.82295497,1.99613947,0.346975409,240,4599200,44.87826092,46.2713289,44.76496684,3.104104196,0.252447569,240,9198400,114.088129,117.0770559,106.8307282,2.619840362,6.361223442,240,13797600,187.5984757,188.2120858,170.0423423,0.327086944,9.358356087,24.74240603,240,44.89946286,240,114.0160953,240,187.5368752
