T,P,NIST,New,PR,New_rate,PR_rate
265,5000000,41.89189852,41.88637155,42.98511439,-0.0131934,2.609611665
270,5000000,40.68924505,40.68757822,41.70623517,-0.00409648,2.499407712
275,5000000,39.57271001,39.57494222,40.52093933,0.005640788,2.396169808
280,5000000,38.53188331,38.5365159,39.41785691,0.012022754,2.299325983
285,5000000,37.55811068,37.56340929,38.38752936,0.014107768,2.208361025
290,5000000,36.64412092,36.64894889,37.42200609,0.013175278,2.122810296
295,5000000,35.78374693,35.78777176,36.514542,0.011247634,2.042254189
300,5000000,34.97171363,34.97517123,35.65936705,0.009886828,1.96631319
305,5000000,34.20347441,34.20678913,34.85150831,0.009691189,1.894643492
310,5000000,33.47508336,33.47857498,34.08665075,0.010430505,1.826933116
315,5000000,32.78309433,32.78686401,33.361027,0.011498844,1.762898472
320,5000000,32.12448028,32.1284479,32.67132931,0.012350753,1.702281337
325,5000000,31.49656827,31.50057816,32.01463837,0.012731186,1.644846174
330,5000000,30.89698657,30.90090372,31.38836537,0.012678124,1.590377767
335,5000000,30.32362124,30.32737822,30.79020448,0.012389598,1.538679142
340,5000000,29.77458034,29.77817431,30.21809347,0.012070593,1.489569712
345,5000000,29.248164,29.25162671,29.67018098,0.011839042,1.442883653
350,5000000,28.74283951,28.74620519,29.14479905,0.011709636,1.398468446
355,5000000,28.25722017,28.26050688,28.64043996,0.011631393,1.356183601
360,5000000,27.7900475,27.7932545,28.1557366,0.011540078,1.315899509
365,5000000,27.34017601,27.34329144,27.68944579,0.011395054,1.277496427
370,5000000,26.90656016,26.90957093,27.24043386,0.011189722,1.24086357
375,5000000,26.48824316,26.49114152,26.80766444,0.010942047,1.205898304
380,5000000,26.0843473,26.0871323,26.39018769,0.010676891,1.172505416
385,5000000,25.69406555,25.69674097,25.98713116,0.010412608,1.140596468
390,5000000,25.31665423,25.31922539,25.59769168,0.010155989,1.110089214
395,5000000,24.95142663,24.95389796,25.22112836,0.009904573,1.08090707
400,5000000,24.59774737,24.60012162,24.8567564,0.009652313,1.05297865
405,5000000,24.25502752,24.25730614,24.50394167,0.009394428,1.026237331
410,5000000,23.92272017,23.92490424,24.1620959,0.009129704,1.000620875
415,5000000,23.60031661,23.60240757,23.83067247,0.00885991,0.976071074
420,5000000,23.28734288,23.28934286,23.50916261,0.008588236,0.95253344
425,5000000,22.98335675,22.98526836,23.19709207,0.008317328,0.929956912
430,5000000,22.68794494,22.68977103,22.89401809,0.008048709,0.908293599
435,5000000,22.40072071,22.40246405,22.59952678,0.007782539,0.887498541
440,5000000,22.12132165,22.12298482,22.31323064,0.007518389,0.867529494
445,5000000,21.84940775,21.85099308,22.03476648,0.007255723,0.848346729
450,5000000,21.58465956,21.58616929,21.76379342,0.006994463,0.829912854
455,5000000,21.32677665,21.32821303,21.49999116,0.006735118,0.812192647
460,5000000,21.07547611,21.07684149,21.24305837,0.006478534,0.795152905
465,5000000,20.83049126,20.83178809,20.99271128,0.006225641,0.778762306
470,5000000,20.59157045,20.5928012,20.74868234,0.005976979,0.762991277
475,5000000,20.35847596,20.35964299,20.51071906,0.005732406,0.747811881
480,5000000,20.13098301,20.13208844,20.27858291,0.005491206,0.733197705
485,5000000,19.90887887,19.90992457,20.05204835,0.005252393,0.719123763
490,5000000,19.69196203,19.69294966,19.8309019,0.005015402,0.705566403
495,5000000,19.48004141,19.48097269,19.61494133,0.004780674,0.692503219
500,5000000,19.27293571,19.27381258,19.4039749,0.004549746,0.679912975
505,5000000,19.07047271,19.07129743,19.19782067,0.004324563,0.667775534
510,5000000,18.87248876,18.87326375,18.99630584,0.004106431,0.656071784
