T,P,NIST,PR,New,PR_rate,New_rate
400,1090200,670.794471,618.0188497,672.0579259,7.867629139,0.188352017
405,1090200,666.9414253,615.240233,668.3693906,7.751983961,0.214106555
410,1090200,663.0647711,612.4002318,664.526849,7.640963829,0.220503034
415,1090200,659.1628987,609.4969053,660.581946,7.534707044,0.215280213
420,1090200,655.2341438,606.5282122,656.5801781,7.433362875,0.205427983
425,1090200,651.2767816,603.492003,652.5556736,7.337092304,0.196366903
430,1090200,647.2890195,600.3860114,648.5269931,7.246068861,0.191255152
435,1090200,643.2689903,597.2078458,644.4975122,7.160479554,0.190981048
440,1090200,639.2147437,593.9549781,640.4580897,7.080525911,0.194511479
445,1090200,635.1242372,590.6247329,636.3922988,7.006425149,0.199655686
450,1090200,630.9953268,587.2142746,632.2824018,6.938411489,0.203975367
455,1090200,626.8257556,583.720593,628.1136878,6.87673763,0.205468934
460,1090200,622.6131415,580.1404877,623.8786512,6.821676419,0.203257778
465,1090200,618.354964,576.4705499,619.5769004,6.773522741,0.197610832
470,1090200,614.0485482,572.7071423,615.213885,6.732595663,0.189779257
475,1090200,609.691048,568.8463761,610.7977993,6.699240879,0.181526574
480,1090200,605.2794263,564.8840851,606.335855,6.673833507,0.174535712
485,1090200,600.8104324,560.8157959,601.8305725,6.656781297,0.16979401
490,1090200,596.2805768,556.6366936,597.2789938,6.648528344,0.167440815
495,1090200,591.6861017,552.3415831,592.6717416,6.649559372,0.166581551
500,1090200,587.0229474,547.9248431,587.9967777,6.660404742,0.165893065
505,1090200,582.2867125,543.3803739,583.2412556,6.681646308,0.163930076
510,1090200,577.4726091,538.7015352,578.3940758,6.713924314,0.159568899
515,1090200,572.5754081,533.8810736,573.4519882,6.75794558,0.153094258
520,1090200,567.5893768,528.911037,568.414493,6.814493264,0.145372019
525,1090200,562.5082034,523.7826714,563.2860835,6.884438605,0.13828778
530,1090200,557.3249069,518.4862987,558.070832,6.968755153,0.133840263
535,1090200,552.0317292,513.0111667,552.7679809,7.068536172,0.13337127
540,1090200,546.6200032,507.3452679,547.3697393,7.185016111,0.137158554
545,1090200,541.0799911,501.4751142,541.8567496,7.319597377,0.14355707
