T,P,NIST,PR,New,PR_rate,New_rate
100.0,2037480.0,697.036859520526,768.6861853323182,667.0895215742796,10.27913012535348,4.296377951496917
105.0,2037480.0,665.294186474869,722.9155271087841,635.7427854121901,8.661031736836275,4.441854695779036
110.0,2037480.0,628.206082917214,667.9706076742995,595.5446242047146,6.3298535048292,5.199163077318293
115.0,2037480.0,580.7250058968924,596.0775771845678,533.8292468540781,2.643690409708514,8.075381388198855
120.0,2037480.0,81.9509670488867,450.3129085905729,83.19510611170018,449.4906586299892,1.5181505571146154
125.0,2037480.0,73.287013909724,75.66646214825882,75.38015236054709,3.246752885123494,2.856083689535296
130.0,2037480.0,67.11416563536747,69.1774509580784,69.145904368236,3.0742918475971126,3.0272874789310613
135.0,2037480.0,62.31887533414678,64.10470768405477,64.02742027550505,2.865636358699607,2.7416170978652037
140.0,2037480.0,58.40835509350931,59.96096990835232,59.749437705335545,2.6582067109360303,2.2960458476860395
145.0,2037480.0,55.11703394003908,56.47466910821953,56.12779093085925,2.4631861896948233,1.8338377785708782
150.0,2037480.0,52.284222132289884,53.47821755720924,53.02862280733621,2.2836629794325,1.4237577699116213
155.0,2037480.0,49.8048814198297,50.860672541341934,50.34934475538608,2.1198547038240214,1.0931927153220822
160.0,2037480.0,47.60642053280398,48.54470121064617,48.00892792513903,1.9709120478731417,0.8454897214078337
165.0,2037480.0,45.63650647338056,46.47421876635294,45.94255258005914,1.835618801060102,0.670616859897242
170.0,2037480.0,43.85613349526293,44.607249838648855,44.09838560874514,1.712682545229517,0.5523790954083438
175.0,2037480.0,42.23543429303051,42.911563397321274,42.43538246325515,1.6008574686358499,0.4734133164995978
180.0,2037480.0,40.75102279823542,41.361877960889025,40.92154137103031,1.4989934502455184,0.41843998281749595
185.0,2037480.0,39.384240483306925,39.938003174062,39.53232549722351,1.4060514661690249,0.3760006847900274
190.0,2037480.0,38.11996006547149,38.623564192057216,38.24915339996382,1.3211034999007913,0.33891256515074214
