T,P,NIST,PR,New,PR_rate,New_rate
430,3634000,651.4509296,605.4792658,651.4901233,7.056811451,0.006016377
435,3634000,647.5819258,602.5463763,647.6180394,6.954417301,0.005576688
440,3634000,643.6865407,599.5522866,643.7471949,6.856482352,0.009422953
445,3634000,639.7633089,596.4952693,639.8699959,6.7631324,0.016676007
450,3634000,635.8107186,593.3735226,635.9736821,6.674501514,0.025630806
455,3634000,631.8272071,590.1851661,632.044652,6.590732484,0.034415244
460,3634000,627.8111559,586.9282359,628.0710991,6.511977308,0.041404679
465,3634000,623.7608862,583.6006795,624.0449465,6.43839773,0.045539934
470,3634000,619.674653,580.20035,619.9629247,6.370165827,0.046519849
475,3634000,615.5506398,576.7250008,615.8261702,6.307464648,0.044761618
480,3634000,611.386952,573.1722783,611.6406205,6.250488918,0.041490658
485,3634000,607.1816104,569.5397155,607.4128447,6.199445809,0.038083212
490,3634000,602.9325438,565.824724,603.1499387,6.154555788,0.036056265
495,3634000,598.6375808,562.0245858,598.8569479,6.116053546,0.03664439
500,3634000,594.2944415,558.1364444,594.5327013,6.084189024,0.040091194
505,3634000,589.900728,554.1572947,590.1753159,6.059228545,0.046548157
510,3634000,585.4539137,550.0839727,585.7758886,6.041456064,0.054995768
515,3634000,580.9513322,545.9131433,581.324192,6.031174549,0.064180906
520,3634000,576.3901651,541.6412878,576.807191,6.028707523,0.072351324
525,3634000,571.7674279,537.2646899,572.2145007,6.03440076,0.078191372
530,3634000,567.0799553,532.7794199,567.5384438,6.048624192,0.08085077
535,3634000,562.3243844,528.1813185,562.7717293,6.071774026,0.079552819
540,3634000,557.4971366,523.4659776,557.9159946,6.104275104,0.075131867
545,3634000,552.594397,518.6287207,552.9745565,6.146583563,0.068795395
550,3634000,547.6120925,513.6645796,547.9522148,6.199189795,0.062110077
555,3634000,542.5458662,508.5682706,542.8584297,6.262621777,0.05761053
560,3634000,537.3910498,503.3341671,537.6960514,6.33744881,0.056755986
565,3634000,532.142633,497.9562699,532.4674436,6.424285701,0.061038263
570,3634000,526.7952282,492.4281746,527.1672622,6.523797454,0.070622113
575,3634000,521.3430321,486.7430356,521.7856087,6.636704495,0.084891633
580,3634000,515.7797812,480.8935278,516.3048928,6.763788472,0.101809271
585,3634000,510.0987027,474.8718033,510.7086539,6.905898635,0.119575142
590,3634000,504.2924577,468.6694466,504.9719823,7.063958743,0.134748111
595,3634000,498.3530766,462.2774249,499.0744769,7.23897441,0.14475687
600,3634000,492.271884,455.6860377,492.9958775,7.432040621,0.147071869
605,3634000,486.0394123,448.8848634,486.7280015,7.644349001,0.141673533
610,3634000,479.6452987,441.8627076,480.259262,7.877194081,0.12800361
615,3634000,473.0781637,434.6075548,473.5875324,8.131977304,0.10767116
620,3634000,466.3254642,427.1065283,466.7219348,8.410206797,0.085020148
625,3634000,459.3733146,419.345868,459.6648952,8.713489731,0.063473561
630,3634000,452.2062661,411.3109363,452.4219632,9.043512397,0.047698842
635,3634000,444.8070315,402.9862725,444.9906123,9.402000429,0.041272016
640,3634000,437.1561407,394.3557228,437.3622208,9.79064775,0.047141078
645,3634000,429.2315068,385.4026907,429.5131493,10.21099696,0.065615521
650,3634000,421.0078833,376.1105691,421.4082138,10.66424549,0.095088581
655,3634000,412.4561925,366.4634498,412.9940738,11.15094003,0.130409304
660,3634000,403.5427174,356.4472423,404.2096719,11.67050554,0.165274814
665,3634000,394.2281807,346.0513864,394.9802878,12.22053539,0.19077964
670,3634000,384.4668046,335.2713952,385.2340464,12.79574954,0.199559977
675,3634000,374.2056035,324.1124955,374.8971634,13.38652001,0.18480748
680,3634000,363.3844718,312.5945851,363.905662,13.97690067,0.143426667
685,3634000,351.9382244,300.7584913,352.2112756,14.54224904,0.077584974
690,3634000,339.8027613,288.6729265,339.7991071,15.04691563,0.001075397
695,3634000,326.9289219,276.4404816,326.6804809,15.44324681,0.07599234
700,3634000,313.3084638,264.1996485,312.9245519,15.67427023,0.122534806
705,3634000,299.013881,252.1191253,298.6512426,15.68313669,0.121278083
710,3634000,284.2422138,240.3820688,284.0599254,15.43055282,0.06413136
715,3634000,269.333126,229.1623582,269.4230669,14.91490053,0.03339391
720,3634000,254.7251685,218.6001854,255.0658667,14.18194492,0.133751281
725,3634000,240.8511524,208.7858916,241.3233994,13.3133101,0.196074229
