T,P,NIST,PR,New,PR_rate,New_rate,
100,2037480,697.0368595,768.6861853,702.4900056,10.27913013,0.782332525,
105,2037480,665.2941865,722.9155271,672.9326015,8.661031737,1.148125929,
110,2037480,628.2060829,667.9706077,632.3039223,6.329853505,0.652308134,
115,2037480,580.7250059,596.0775772,564.5745436,2.64369041,2.78108608,
120,2037480,81.95096705,450.3129086,82.96931182,449.4906586,1.242626917,
125,2037480,73.28701391,75.66646215,74.09611671,3.246752885,1.104019337,
130,2037480,67.11416564,69.17745096,67.48471638,3.074291848,0.552120023,
135,2037480,62.31887533,64.10470768,62.38867223,2.865636359,0.111999615,
140,2037480,58.40835509,59.96096991,58.34840536,2.658206711,0.102638975,
145,2037480,55.11703394,56.47466911,55.04318093,2.46318619,0.133993072,
150,2037480,52.28422213,53.47821756,52.24527994,2.283662979,0.074481728,
155,2037480,49.80488142,50.86067254,49.80182497,2.119854704,0.006136845,
160,2037480,47.60642053,48.54470121,47.61989703,1.970912048,0.02830815,
165,2037480,45.63650647,46.47421877,45.64822398,1.835618801,0.02567572,
170,2037480,43.8561335,44.60724984,43.85813351,1.712682545,0.00456039,
175,2037480,42.23543429,42.9115634,42.22913192,1.600857469,0.014921992,
180,2037480,40.7510228,41.36187796,40.74175418,1.49899345,0.022744512,
185,2037480,39.38424048,39.93800317,39.37642507,1.406051466,0.019844012,
190,2037480,38.11996007,38.62356419,38.11513894,1.3211035,0.012647246,
195,2037480,36.94574622,37.40510213,36.94314653,1.243325588,0.007036503,
200,2037480,35.85125235,36.2714248,35.84934976,1.171988203,0.005306905,
205,2037480,34.82777783,35.21312839,34.82551813,1.106446029,0.006488195,
210,2037480,33.86793694,34.22223895,33.8651032,1.046128106,0.00836702,
215,2037480,32.96540724,33.29193909,32.96233739,0.990528769,0.009312336,
220,2037480,32.11473553,32.41635698,32.11186035,0.939199543,0.008952825,
225,2037480,31.31118615,31.59040114,31.30873446,0.891741986,0.007830064,
230,2037480,30.55062113,30.80962974,30.54857998,0.84780144,0.006681212,
235,2037480,29.8294043,30.07014597,29.82763596,0.807061589,0.005928193,
240,2037480,29.14432395,29.36851367,29.1426989,0.769239744,0.005575863,
245,2037480,28.49252979,28.70168853,28.49099211,0.734082749,0.005396765,
250,2037480,27.87148125,28.06696163,27.8700408,0.70136344,0.005168187,
255,2037480,27.27890465,27.4619127,27.27759505,0.670877573,0.004800748,
260,2037480,26.71275753,26.88437127,26.71160041,0.64244115,0.004331713,
265,2037480,26.17119875,26.33238405,26.1701919,0.615888106,0.003847139,
270,2037480,25.65256323,25.80418739,25.65168849,0.591068278,0.003409916,
275,2037480,25.15534054,25.29818404,25.15457751,0.567845651,0.003033266,
280,2037480,24.67815665,24.81292327,24.67749152,0.546096804,0.002695217,
285,2037480,24.21975824,24.34708382,24.2191849,0.525709565,0.002367242,
290,2037480,23.77899925,23.89945934,23.77851558,0.50658182,0.002034031,
295,2037480,23.35482919,23.46894566,23.35443296,0.488620468,0.001696556,
300,2037480,22.94628302,23.05452993,22.94596999,0.471740501,0.001364146,
305,2037480,22.55247233,22.65528097,22.55223662,0.455864185,0.001045138,
310,2037480,22.1725776,22.27034101,22.17241302,0.440920344,0.000742298,
315,2037480,21.80584145,21.89891831,21.80574254,0.426843715,0.0004536,
320,2037480,21.45156261,21.54028078,21.45152498,0.413574385,0.000175417,
325,2037480,21.10909068,21.19375022,21.10911071,0.401057278,9.49E-05,
330,2037480,20.77782144,20.85869739,20.77789587,0.38924171,0.000358214,
335,2037480,20.45719272,20.53453747,20.45731837,0.378080979,0.000614217,
340,2037480,20.14668064,20.22072614,20.14685432,0.367532008,0.000862099,
345,2037480,19.84579634,19.91675598,19.84601485,0.357555018,0.001101051,
350,2037480,19.55408302,19.62215337,19.55434318,0.348113237,0.0013305,
355,2037480,19.27111325,19.33647559,19.27141205,0.339172641,0.001550539,
360,2037480,18.9964866,19.05930831,18.99682141,0.330701715,0.001762458,
365,2037480,18.72982749,18.79026326,18.73019621,0.322671241,0.001968603,
370,2037480,18.47078322,18.52897618,18.47118424,0.315054106,0.002171108,
