exp_Tr,P(MPa),exp_alpha_7MPa,P(MPa),exp_alpha_7.5MPa,P(MPa),exp_alpha_6.5MPa,,,exp_Tr,exp_alpha_7MPa,exp_alpha_7.5MPa,exp_alpha_6.5MPa
1.249588951,7,0.804630941,7.5,0.807805745,6.5,0.801552906,,,1.249588951,0.804630941,0.807805745,0.801552906
1.282472871,7,0.786174432,7.5,0.788914998,6.5,0.782986378,,,1.282472871,0.786174432,0.788914998,0.782986378
1.315356791,7,0.768353172,7.5,0.771055508,6.5,0.765528517,,,1.315356791,0.768353172,0.771055508,0.765528517
1.34824071,7,0.751388738,7.5,0.753966881,6.5,0.748776795,,,1.34824071,0.751388738,0.753966881,0.748776795
1.38112463,7,0.73523031,7.5,0.737647487,6.5,0.732689731,,,1.38112463,0.73523031,0.737647487,0.732689731
1.41400855,7,0.719671859,7.5,0.721953383,6.5,0.717285189,,,1.41400855,0.719671859,0.721953383,0.717285189
1.44689247,7,0.70475092,7.5,0.706986671,6.5,0.702463514,,,1.44689247,0.70475092,0.706986671,0.702463514
1.479776389,7,0.690345686,7.5,0.692469534,6.5,0.688158086,,,1.479776389,0.690345686,0.692469534,0.688158086
1.512660309,7,0.676437845,7.5,0.678479822,6.5,0.674357089,,,1.512660309,0.676437845,0.678479822,0.674357089
1.545544229,7,0.662980177,7.5,0.664898364,6.5,0.661018067,,,1.545544229,0.662980177,0.664898364,0.661018067
1.578428149,7,0.649962438,7.5,0.651783555,6.5,0.648050485,,,1.578428149,0.649962438,0.651783555,0.648050485
1.611312068,7,0.637281669,7.5,0.63903967,6.5,0.635522351,,,1.611312068,0.637281669,0.63903967,0.635522351
1.644195988,7,0.625060146,7.5,0.62666268,6.5,0.623333634,,,1.644195988,0.625060146,0.62666268,0.623333634
1.677079908,7,0.61304193,7.5,0.614686506,6.5,0.611470024,,,1.677079908,0.61304193,0.614686506,0.611470024
1.709963828,7,0.601446987,7.5,0.602924013,6.5,0.599972464,,,1.709963828,0.601446987,0.602924013,0.599972464
1.742847747,7,0.590052371,7.5,0.59149072,6.5,0.588652231,,,1.742847747,0.590052371,0.59149072,0.588652231
1.775731667,7,0.579060185,7.5,0.58042039,6.5,0.577622026,,,1.775731667,0.579060185,0.58042039,0.577622026
1.808615587,7,0.568190266,7.5,0.56945775,6.5,0.566924894,,,1.808615587,0.568190266,0.56945775,0.566924894
1.841499507,7,0.557568546,7.5,0.55888845,6.5,0.556384664,,,1.841499507,0.557568546,0.55888845,0.556384664
1.874383427,7,0.547272666,7.5,0.548452916,6.5,0.546121293,,,1.874383427,0.547272666,0.548452916,0.546121293
1.907267346,7,0.537058159,7.5,0.538200779,6.5,0.536056835,,,1.907267346,0.537058159,0.538200779,0.536056835
1.940151266,7,0.527104119,7.5,0.528126121,6.5,0.526020984,,,1.940151266,0.527104119,0.528126121,0.526020984
1.973035186,7,0.517423325,7.5,0.518286568,6.5,0.516421881,,,1.973035186,0.517423325,0.518286568,0.516421881
2.005919106,7,0.50781312,7.5,0.508694159,6.5,0.506801571,,,2.005919106,0.50781312,0.508694159,0.506801571
2.038803025,7,0.498297561,7.5,0.499162944,6.5,0.497490886,,,2.038803025,0.498297561,0.499162944,0.497490886
2.071686945,7,0.489032012,7.5,0.489870192,6.5,0.488242131,,,2.071686945,0.489032012,0.489870192,0.488242131
