TITLE = "Decane T rho" 

  VARIABLES = T	Soave_error_01Mpa	new_error_01Mpa	Soave_error_1Mpa	new_error_1Mpa	Soave_error_2Mpa	new_error_2Mpa	Soave_error_3Mpa	new_error_3Mpa	Soave_error_5Mpa	new_error_5Mpa	Soave_error_10Mpa	new_error_10Mpa
350	5.997039508	0.219157893	5.969142144	0.13453311	5.942115066	0.041353905	5.917809716	0.049706798	5.877539131	0.226869689	5.820225436	0.64690526
360	5.747353623	0.417315403	5.712103295	0.333137653	5.676818832	0.241290597	5.645200527	0.151261103	5.592849991	0.024701817	5.509218498	0.437570093
370	5.52015307	0.536764456	5.476841366	0.454238248	5.433940095	0.363630259	5.393031746	0.277389578	5.326559278	0.106268116	5.214189476	0.292735337
380	5.320336798	0.607972783	5.266504909	0.529658595	5.212096966	0.444474319	5.162450953	0.361587899	5.07934036	0.198499183	4.935096346	0.18131227
390	5.146148288	0.669377938	5.080334645	0.596000195	5.014372941	0.51554166	4.954833711	0.436637911	4.852005342	0.283977084	4.671914792	0.073416781
400	5.002000544	0.743180422	4.923716999	0.673597662	4.842806855	0.599861909	4.770360169	0.526744499	4.645528342	0.38465246	4.424641325	0.05105572
410	4.89005116	0.837840759	4.795272163	0.773969622	4.698358397	0.705802788	4.612419566	0.637116822	4.462553903	0.505529439	4.194765351	0.196524285
420	4.811655836	0.948157264	4.698537972	0.889151046	4.583904664	0.825709452	4.480342234	0.763540319	4.301523479	0.642902488	3.983884157	0.355527805
430	4.772061453	1.058954821	4.637828639	1.004610456	4.501384798	0.947310216	4.378327653	0.891207988	4.167061831	0.781430294	3.789177638	0.520868826
440	4.774642312	1.161827897	4.613748864	1.114318947	4.453372447	1.062058532	4.308100889	1.012180343	4.058082107	0.915832371	3.615347849	0.681216349
450	1.002839531	0.015508296	4.632572774	1.217405627	4.441658231	1.172880083	4.270376295	1.129788061	3.978375549	1.045179396	3.461173854	0.839611071
460	0.794221898	0.098573592	4.698883154	1.325504522	4.472140717	1.288346934	4.271265784	1.251060559	3.929048112	1.179831492	3.326959009	1.004410201
470	0.623623189	0.170757953	4.815762933	1.455461732	4.548830903	1.421945606	4.311450629	1.391177668	3.911590448	1.331474732	3.214635983	1.183152458
480	0.484122743	0.233240424	4.991741703	1.612552568	4.673969863	1.582787878	4.395797023	1.5543942	3.929593092	1.502980173	3.126256267	1.377133827
490	0.368698547	0.286688289	5.233474798	1.793237338	4.85662483	1.761540743	4.52719278	1.735839034	3.983972422	1.6891942	3.060702429	1.581642296
500	0.273462934	0.329426182	5.551671437	1.983255091	5.100119598	1.947810695	4.713445432	1.917971579	4.079586573	1.873558739	3.018443672	1.784372754
510	0.195548223	0.361010162	5.955969519	2.177014754	5.416122865	2.127634216	4.9559637	2.094323383	4.217048863	2.047296444	3.003325061	1.972222113
520	0.130560809	0.385232862	6.464261276	2.385294854	5.810586772	2.31378168	5.265496671	2.266337807	4.401193654	2.212132568	3.014216604	2.148978456
530	0.075620896	0.406150045	7.096653676	2.654681672	6.297400477	2.539970026	5.645787348	2.467729547	4.63621588	2.390207871	3.051574066	2.331119234
540	0.032789062	0.422782563	7.881095691	3.062107274	6.894396648	2.859421354	6.110270177	2.738657944	4.923946191	2.617103524	3.119286508	2.537700331
550	0.002768705	0.439156492	8.862875213	3.693641625	7.616943914	3.329946724	6.667786814	3.116958592	5.272933432	2.908994886	3.215921146	2.78153257
560	0.030640207	0.451245284	10.11003062	4.637752418	8.498671166	3.962685586	7.331900489	3.596288279	5.6824224	3.251411887	3.343355865	3.040032788
570	0.054271038	0.456776494	2.279589491	12.01526842	9.577480484	4.724489393	8.12100419	4.10349017	6.162492363	3.558469376	3.501414147	3.250596032
580	0.071314098	0.447518043	1.153330142	9.873218603	10.91882773	5.540967837	9.058681193	4.499513877	6.71775915	3.693176466	3.693245755	3.312550978
590	0.086506693	0.424637357	0.429300292	8.106230981	12.64025239	6.382890501	10.1761672	4.605162068	7.352697645	3.487838224	3.917848982	3.120998063
600	0.095074669	0.383791828	0.058248561	6.496494997	14.99506979	7.560332066	11.52107388	4.242944236	8.077300719	2.782114328	4.175423507	2.598647438
610	0.102814063	0.335486653	0.393700774	5.061855389	18.85262534	11.76858482	13.16065588	3.310331067	8.89438674	1.494168797	4.465353682	1.737280915
620	0.109183808	0.286616	0.624748279	3.875304248	3.981780406	201.5811542	15.18611076	1.892669507	9.813565645	0.334030105	4.789996773	0.620103042
630	0.113934629	0.244541712	0.787158594	2.998919643	1.03330522	26.69462416	17.60355527	0.561977728	10.8328497	2.477444841	5.146616971	0.576737252
640	0.113415156	0.210813782	0.89328505	2.434045039	0.156005609	9.816648708	19.11358274	1.672904971	11.94084262	4.564434374	5.535099087	1.647085511
650	0.115259966	0.194309587	0.961248971	2.142724314	0.788437866	6.533294424	12.2760677	11.48317366	13.09878574	6.202176681	5.953839352	2.437040086
660	0.112627332	0.185438323	1.003591583	2.045714902	1.15616387	5.51194605	4.851424002	13.98691056	14.22008033	7.160836521	6.397396215	2.912715648
670	0.113945931	0.187337469	1.019208088	2.035831138	1.373271531	5.193601088	2.017383892	11.43225844	15.1472228	7.473547232	6.860549469	3.174291624
680	0.10874147	0.183833759	1.024205868	2.03536152	1.498220908	4.997512926	0.690678926	9.667960091	15.63985411	7.357611013	7.336229303	3.400212805
690	0.106039548	0.17985608	1.012718398	1.978402955	1.563471941	4.686788795	0.050283486	8.1764026	15.43777966	7.04173176	7.820185186	3.767402344
700	0.10345595	0.171555963	0.989769273	1.85275081	1.586606099	4.22250727	0.494493665	6.714431677	14.38212987	6.601997185	8.295389793	4.359914417
710	0.098626129	0.15759837	0.964143622	1.685081493	1.580535612	3.678423467	0.777835084	5.374347773	12.60550107	6.0172054	8.755050666	5.158385422
720	0.093376085	0.142257607	0.928811752	1.502667961	1.553600083	3.157601572	0.956459514	4.280022957	10.52463043	5.299938261	9.187329752	6.04366388
730	0.089788441	0.130090445	0.894008253	1.347109817	1.513142673	2.738288483	1.072457314	3.506866495	8.545462143	4.481722569	9.575430616	6.859528416
740	0.085908479	0.120577803	0.852607679	1.226986848	1.460773186	2.444986366	1.136291016	3.028723386	6.870661967	3.595428551	9.910360959	7.495858987
750	0.079795049	0.111814079	0.810649174	1.146074214	1.403133067	2.262850009	1.16550649	2.772739393	5.526903539	2.696112642	10.17928785	7.915500321
760	0.073931126	0.105248026	0.767614709	1.089179717	1.337508093	2.142525148	1.169321901	2.636905722	4.460449936	1.862651928	10.37340002	8.155559211
770	0.071049792	0.102224924	0.719810306	1.034857592	1.271798297	2.043849589	1.155573308	2.532156432	3.624402658	1.190671263	10.48856641	8.288967473
780	0.065071865	0.095618188	0.677087347	0.98035394	1.201930212	1.931087102	1.128864408	2.404505393	2.966974645	0.718875168	10.52309581	8.377158068
790	0.058869689	0.087965849	0.633331189	0.915805286	1.131803539	1.799653886	1.090512678	2.240316451	2.444551726	0.424687337	10.47199869	8.436346316
800	0.055562329	0.082711995	0.587138528	0.843804709	1.06066099	1.658529	1.045947413	2.061432962	2.021392069	0.242533127	10.34129038	8.451625846
810	0.049097104	0.074441487	0.546630067	0.779861556	0.990429317	1.526390073	0.995679257	1.895272671	1.686890748	0.116308729	10.13999325	8.389772243
820	0.047495529	0.071727173	0.502699273	0.720881363	0.921081724	1.416091042	0.94233306	1.763951436	1.414206954	0.012933208	9.873696992	8.219429841
830	0.039950996	0.063959382	0.460057104	0.67351545	0.852233769	1.330552519	0.885184503	1.670320821	1.199668189	0.153759035	9.553553995	7.93776185
840	0.039622265	0.064123635	0.419419422	0.636233544	0.785036171	1.265121105	0.827365376	1.606851437	1.022222318	0.309098253	9.196798205	7.57289241
850	0.035655385	0.060973097	0.377144663	0.600909773	0.719742451	1.209763642	0.768064287	1.555597026	0.875579037	0.456879441	8.805758802	7.152042394
860	0.026738182	0.052817375	0.339390841	0.569531563	0.657743122	1.156644442	0.708997894	1.503450327	0.763897432	0.568629162	8.401961038	6.721450367
870	0.026756315	0.053345688	0.303154658	0.536946639	0.596728958	1.09888073	0.651096431	1.444215456	0.669860935	0.650369425	7.986840281	6.295445043
880	0.019569663	0.046430966	0.265531232	0.500483622	0.535067221	1.035447237	0.592457639	1.377019624	0.588207149	0.709129166	7.569649449	5.882156733
890	0.019427497	0.046487662	0.233772583	0.469173974	0.479092962	0.976499133	0.534141187	1.308814842	0.528199033	0.744883381	7.16039216	5.481124289
900	0.015084565	0.042451969	0.20043552	0.437516917	0.42372986	0.921029795	0.478567997	1.248262477	0.48809068	0.769164532	6.765489714	5.086843267
910	0.010728433	0.038622741	0.168214995	0.409347119	0.369184546	0.871528236	0.422833631	1.195785816	0.444774768	0.810480616	6.382699042	4.689923765
920	0.005426701	0.034069702	0.134900875	0.382433885	0.316164068	0.828572551	0.36812464	1.152234162	0.419627893	0.846440969	6.017624872	4.295987263
930	0.003668521	0.033205163	0.103633757	0.359076443	0.268438828	0.794121305	0.316522183	1.116821416	0.394815619	0.890419282	5.671114886	3.910991629
940	0.000772885	0.029696717	0.077863014	0.341637643	0.219855212	0.759696449	0.265770866	1.083755222	0.384865478	0.922088939	5.343283359	3.541753797
950	0.003284767	0.028074593	0.050499171	0.322140565	0.174912399	0.728034952	0.21759421	1.052069163	0.37561015	0.951526197	5.03828797	3.197885475
960	0.004611287	0.027547881	0.025208443	0.303790002	0.130563637	0.695126483	0.169036818	1.017369302	0.370587086	0.972926722	4.750042991	2.876133484
970	0.005494252	0.02735933	0.000402506	0.284849712	0.08933834	0.663243125	0.122853792	0.982042452	0.368485143	0.98700778	4.481263014	2.580194548
980	0.012386611	0.02105924	0.025471782	0.263829807	0.048609832	0.629899864	0.078734168	0.946022703	0.369287723	0.994170225	4.229077941	2.306755538
990	0.014658483	0.019307316	0.048261144	0.245173733	0.011441486	0.598752808	0.036726517	0.910222498	0.373396785	0.995340199	3.995024317	2.0556841
