TITLE = "Decane T rho sat" 

 VARIABLES = T_sat	 v_liq_sat	v_vap_sat
300	0.0013793	84.602
305	0.0013867	61.479
310	0.0013943	45.258
315	0.0014019	33.728
320	0.0014096	25.428
325	0.0014174	19.383
330	0.0014253	14.93
335	0.0014333	11.614
340	0.0014414	9.119
345	0.0014496	7.2241
350	0.001458	                5.7715
355	0.0014665	4.648
360	0.0014751	3.7718
365	0.0014839	3.083
370	0.0014928	2.5372
375	0.0015018	2.1018
380	0.0015111	1.7518
385	0.0015205	1.4688
390	0.00153	1.2384
395	0.0015398	1.0496
400	0.0015498	0.8942
405	0.0015599	0.76543
410	0.0015703	0.65819
415	0.0015809	0.56844
420	0.0015918	0.49294
425	0.0016029	0.42915
430	0.0016143	0.375
435	0.001626	0.32883
440	0.0016379	0.28932
445	0.0016502	0.25535
450	0.0016629	0.22606
455	0.0016759	0.20069
460	0.0016892	0.17864
465	0.001703	0.15942
470	0.0017173	0.14261
475	0.001732	0.12785
480	0.0017472	0.11487
485	0.001763	0.1034
490	0.0017794	0.093249
495	0.0017964	0.084237
500	0.0018141	0.076214
505	0.0018326	0.069054
510	0.0018519	0.062646
515	0.0018721	0.056898
520	0.0018934	0.051729
525	0.0019157	0.047069
530	0.0019394	0.042858
535	0.0019644	0.039044
540	0.001991	0.03558
545	0.0020194	0.032427
550	0.0020499	0.02955
555	0.0020827	0.026918
560	0.0021184	0.024504
565	0.0021574	0.022282
570	0.0022003	0.02023
575	0.002248	0.01833
580	0.0023017	0.016561
585	0.0023631	0.014907
590	0.0024344	0.013349
595	0.0025195	0.011869
600	0.0026246	0.010446
605	0.0027616	0.0090499
610	0.0029588	0.0076276
615	0.0033279	0.0060133
