Tr,Pr,PR_liq_alpha
0.388148532,0.991448637,0.762403097
0.420494242,0.991448637,0.785341042
0.452839953,0.991448637,0.806586852
0.485185664,0.991448637,0.826632127
0.517531375,0.991448637,0.845879717
0.549877086,0.991448637,0.864198679
0.582222797,0.991448637,0.881639955
0.614568508,0.991448637,0.898398237
0.646914219,0.991448637,0.914385451
0.67925993,0.991448637,0.929432345
0.711605641,0.991448637,0.943905139
0.743951352,0.991448637,0.957476615
0.776297063,0.991448637,0.970198676
0.808642774,0.991448637,0.982072602
0.840988485,0.991448637,0.992945243
0.873334196,0.991448637,1.002646934
0.905679907,0.991448637,1.01083048
0.938025618,0.991448637,1.01678143
0.970371329,0.991448637,1.018619193
1.00271704,0.991448637,0.99476656
1.035062751,0.991448637,0.964813424
1.067408462,0.991448637,0.941457289
1.099754173,0.991448637,0.920748416
1.132099884,0.991448637,0.901817216
1.164445595,0.991448637,0.884257547
1.196791305,0.991448637,0.867751088
1.229137016,0.991448637,0.852130377
1.261482727,0.991448637,0.83729604
1.293828438,0.991448637,0.823221487
1.326174149,0.991448637,0.809561415
1.35851986,0.991448637,0.796380555
1.390865571,0.991448637,0.783945697
1.423211282,0.991448637,0.771748189
1.455556993,0.991448637,0.759967001
1.487902704,0.991448637,0.748554048
1.520248415,0.991448637,0.737393885
1.552594126,0.991448637,0.726580127
1.584939837,0.991448637,0.716005223
1.617285548,0.991448637,0.70569674
1.649631259,0.991448637,0.695653299
1.68197697,0.991448637,0.685791141
1.714322681,0.991448637,0.676102393
1.746668392,0.991448637,0.666629289
1.779014103,0.991448637,0.657411236
1.811359814,0.991448637,0.648302047
1.843705525,0.991448637,0.639340133
1.876051236,0.991448637,0.63060847
1.908396947,0.991448637,0.621901841
1.940742658,0.991448637,0.613399222
1.973088368,0.991448637,0.605132042
2.005434079,0.991448637,0.596939695
2.03777979,0.991448637,0.588719434
2.070125501,0.991448637,0.580771417
2.102471212,0.991448637,0.572922158
2.134816923,0.991448637,0.565090393
2.167162634,0.991448637,0.557506899
2.199508345,0.991448637,0.550028559
2.231854056,0.991448637,0.542446304
2.264199767,0.991448637,0.535115641
2.296545478,0.991448637,0.52776546
2.328891189,0.991448637,0.520741297
2.3612369,0.991448637,0.513695532
2.393582611,0.991448637,0.506697417
2.425928322,0.991448637,0.499539818
2.458274033,0.991448637,0.492789937
2.490619744,0.991448637,0.485935363
2.522965455,0.991448637,0.479256462
2.555311166,0.991448637,0.472748331
2.587656877,0.991448637,0.466057458
