TITLE = "Trho sat" 

  VARIABLES = T_sat	v_liq_sat	v_vap_sat

60	0.00078003	21.462
62	0.00078546	13.552
64	0.00079102	8.8392
66	0.00079671	5.9367
68	0.00080251	4.0944
70	0.00080844	2.8925
72	0.00081449	2.0885
74	0.00082066	1.5383
76	0.00082697	1.1537
78	0.00083341	0.87971
80	0.00084001	0.68099
82	0.00084676	0.5345
84	0.00085369	0.42487
86	0.00086079	0.34167
88	0.00086808	0.2777
90	0.00087558	0.22794
92	0.00088329	0.18879
94	0.00089124	0.15766
96	0.00089945	0.13268
98	0.00090792	0.11245
100	0.00091668	0.095925
102	0.00092576	0.08232
104	0.00093518	0.071036
106	0.00094496	0.061613
108	0.00095513	0.053691
110	0.00096574	0.04699
112	0.00097682	0.041288
114	0.00098842	0.036411
116	0.0010006	0.032216
118	0.0010134	0.028589
120	0.0010268	0.02544
122	0.0010411	0.022692
124	0.0010562	0.020284
126	0.0010723	0.018164
128	0.0010896	0.01629
130	0.0011081	0.014626
132	0.0011281	0.013144
134	0.0011498	0.011816
136	0.0011737	0.010623
138	0.0012001	0.0095445
140	0.0012297	0.0085649
142	0.0012633	0.0076696
144	0.0013022	0.0068451
146	0.0013485	0.0060781
148	0.0014056	0.0053537
150	0.0014804	0.0046525
152	0.0015903	0.0039375
154	0.001828	0.0030599

