Tr,Pr,bias uncorrected model,bias corrected model,bias,upper,lower,Nist,PR_alpha,,,,
1.908384601,0.9,0.639091297,0.619736034,-0.019355264,0.62859781,0.610874257,0.619726908,0.712482947,0.619736034,0.712482947,0.619736034,0.712482947
1.940730103,0.9,0.632293156,0.611321272,-0.020971885,0.620183048,0.602459495,0.611310015,0.704461282,0.611321272,0.704461282,0.611321272,0.704461282
1.973075604,0.9,0.625495015,0.603038447,-0.022456568,0.611900223,0.59417667,0.603025763,0.696551039,0.603038447,0.696551039,0.603038447,0.696551039
2.005421106,0.9,0.618696874,0.594882213,-0.023814661,0.603743989,0.586020437,0.594868371,0.68874949,0.594882213,0.68874949,0.594882213,0.68874949
2.037766608,0.9,0.611898732,0.58684854,-0.025050193,0.595710316,0.577986763,0.586832471,0.681054014,0.58684854,0.681054014,0.58684854,0.681054014
2.07011211,0.9,0.605100591,0.578931063,-0.026169528,0.58779284,0.570069287,0.578913062,0.673462098,0.578931063,0.673462098,0.578931063,0.673462098
2.102457611,0.9,0.59830245,0.571122534,-0.027179916,0.579984311,0.562260758,0.571105478,0.665971321,0.571122534,0.665971321,0.571122534,0.665971321
2.134803113,0.9,0.591504309,0.563421078,-0.028083231,0.572282854,0.554559301,0.563405353,0.65857936,0.563421078,0.65857936,0.563421078,0.65857936
2.167148615,0.9,0.584706167,0.555828229,-0.028877938,0.564690006,0.546966453,0.555808598,0.651283977,0.555828229,0.651283977,0.555828229,0.651283977
2.199494116,0.9,0.577908026,0.548336564,-0.029571462,0.55719834,0.539474787,0.548311369,0.644083017,0.548336564,0.644083017,0.548336564,0.644083017
2.231839618,0.9,0.571109885,0.540930507,-0.030179378,0.549792284,0.532068731,0.540910051,0.636974406,0.540930507,0.636974406,0.540930507,0.636974406
2.26418512,0.9,0.564311743,0.533610506,-0.030701237,0.542472283,0.52474873,0.533601237,0.629956142,0.533610506,0.629956142,0.533610506,0.629956142
2.296530621,0.9,0.557513602,0.52639784,-0.031115762,0.535259616,0.517536063,0.526381712,0.623026296,0.52639784,0.623026296,0.52639784,0.623026296
2.328876123,0.9,0.550715461,0.519288763,-0.031426698,0.52815054,0.510426987,0.519248433,0.616183007,0.519288763,0.616183007,0.519288763,0.616183007
2.361221625,0.9,0.54391732,0.512232112,-0.031685207,0.521093889,0.503370336,0.512198524,0.609424478,0.512232112,0.609424478,0.512232112,0.609424478
2.393567127,0.9,0.537119178,0.505212465,-0.031906713,0.514074242,0.496350689,0.505229252,0.602748973,0.505212465,0.602748973,0.505212465,0.602748973
2.425912628,0.9,0.530321037,0.498319536,-0.032001501,0.507181313,0.48945776,0.498338029,0.596154815,0.498319536,0.596154815,0.498319536,0.596154815
2.45825813,0.9,0.523522896,0.491605712,-0.031917184,0.500467488,0.482743936,0.49152239,0.589640381,0.491605712,0.589640381,0.491605712,0.589640381
2.490603632,0.9,0.516724755,0.484893213,-0.031831542,0.493754989,0.476031437,0.484779992,0.583204104,0.484893213,0.583204104,0.484893213,0.583204104
2.522949133,0.9,0.509926613,0.477992495,-0.031934118,0.486854271,0.469130718,0.478108602,0.576844465,0.477992495,0.576844465,0.477992495,0.576844465
2.555294635,0.9,0.503128472,0.471293263,-0.031835209,0.48015504,0.462431487,0.471506091,0.570559997,0.471293263,0.570559997,0.471293263,0.570559997
