Tr,Pr,bias corrected model,Nist,bias uncorrected model, upper,lower,bias,PR_alpha,,,,
0.723379154,0.013555095,1.242761608,1.267730986,1.054055512,1.25996705,1.225556165,0.188706095,1.222365456,1.135820883,1.222365456,1.115125043,1.222365456
0.73996255,0.013555095,1.229172937,1.235772065,1.047167955,1.24637838,1.211967494,0.182004982,1.207269026,1.140844585,1.207269026,1.114012458,1.207269026
0.756545945,0.013555095,1.209169934,1.205983776,1.040280398,1.226375377,1.191964492,0.168889537,1.192433074,1.145618228,1.192433074,1.111879218,1.192433074
0.773129341,0.013555095,1.184721433,1.178136462,1.03339284,1.201926875,1.16751599,0.151328593,1.177849079,1.148254847,1.177849079,1.108553405,1.177849079
0.789712736,0.013555095,1.157971821,1.152031713,1.026505283,1.175177263,1.140766378,0.131466538,1.163508978,1.146700075,1.163508978,1.104215797,1.163508978
0.806296132,0.013555095,1.130853173,1.127497178,1.019617725,1.148058616,1.113647731,0.111235448,1.149405127,1.139399203,1.149405127,1.099468908,1.149405127
0.822879528,0.013555095,1.104834105,1.104382382,1.012730168,1.122039547,1.087628662,0.092103936,1.135530274,1.125868859,1.135530274,1.095200656,1.135530274
0.839462923,0.013555095,1.080814735,1.082555329,1.005842611,1.098020178,1.063609293,0.074972124,1.12187753,1.10691673,1.12187753,1.092214261,1.12187753
0.856046319,0.013555095,1.059137469,1.061899727,0.998955053,1.076342912,1.041932027,0.060182416,1.108440345,1.084403529,1.108440345,1.090736541,1.108440345
0.872629715,0.013555095,1.039677797,1.042312713,0.992067496,1.05688324,1.022472355,0.047610302,1.095212485,1.060647727,1.095212485,1.090040061,1.095212485
0.88921311,0.013555095,1.021990057,1.023702961,0.985179939,1.0391955,1.004784615,0.036810119,1.08218801,1.037726927,1.08218801,1.088428538,1.08218801
0.905796506,0.013555095,1.005487162,1.005989103,0.978292381,1.022692604,0.988281719,0.027194781,1.069361258,1.016954537,1.069361258,1.0836964,1.069361258
0.922379901,0.013555095,0.989623361,0.989098407,0.971404824,1.006828804,0.972417919,0.018218537,1.056726821,0.998704664,1.056726821,1.073933292,1.056726821
0.938963297,0.013555095,0.974036914,0.97296567,0.964517266,0.991242357,0.956831471,0.009519648,1.044279536,0.982588224,1.044279536,1.058332932,1.044279536
0.955546693,0.013555095,0.95861282,0.957532316,0.957629709,0.975818263,0.941407378,0.000983111,1.032014466,0.967839302,1.032014466,1.037617342,1.032014466
0.972130088,0.013555095,0.943451226,0.942745621,0.950742152,0.960656669,0.926245784,-0.007290926,1.019926889,0.953715647,1.019926889,1.013850483,1.019926889
0.988713484,0.013555095,0.928764031,0.928558007,0.943854594,0.945969474,0.911558589,-0.015090563,1.008012281,0.939758496,1.008012281,0.989710962,1.008012281
1.00529688,0.013555095,0.914750165,0.914926387,0.936967037,0.931955608,0.897544723,-0.022216871,0.996266308,0.925854613,0.996266308,0.967558223,0.996266308
1.021880275,0.013555095,0.90150339,0.901811587,0.93007948,0.918708832,0.884297947,-0.02857609,0.984684814,0.912139915,0.984684814,0.948712534,0.984684814
