Tr,Pr,bias uncorrected model,bias corrected model,bias,upper,lower,Nist,PR_alpha,,,,,
0.607810363,0.5,2.681712252,2.932063192,0.25035094,3.039067891,2.825058493,2.863174488,1.582826945,2.932063192,1.582826945,2.932063192,1.582826945,2.932063192
0.615407993,0.5,2.6606836,2.795278626,0.134595027,2.903712603,2.686844649,2.727036296,1.568544449,2.795278626,1.568544449,2.795278626,1.568544449,2.795278626
0.623005622,0.5,2.639654947,2.66898531,0.029330363,2.778844302,2.559126318,2.606787074,1.554413982,2.66898531,1.554413982,2.66898531,1.554413982,2.66898531
0.630603252,0.5,2.618626295,2.55408525,-0.064541045,2.665333204,2.442837296,2.499788459,1.540432772,2.55408525,1.540432772,2.55408525,1.540432772,2.55408525
0.638200881,0.5,2.597597642,2.450635744,-0.146961899,2.56320806,2.338063427,2.403954005,1.526598129,2.450635744,1.526598129,2.450635744,1.526598129,2.450635744
0.645798511,0.5,2.57656899,2.358016507,-0.218552483,2.471823323,2.244209691,2.317611975,1.512907443,2.358016507,1.512907443,2.358016507,1.512907443,2.358016507
0.65339614,0.5,2.555540337,2.275141103,-0.280399234,2.390071194,2.160211012,2.239407124,1.499358182,2.275141103,1.499358182,2.275141103,1.499358182,2.275141103
0.66099377,0.5,2.534511685,2.200680174,-0.333831511,2.316605556,2.084754791,2.168229117,1.485947886,2.200680174,1.485947886,2.200680174,1.485947886,2.200680174
0.668591399,0.5,2.513483033,2.133265565,-0.380217467,2.250046547,2.016484584,2.10315954,1.472674165,2.133265565,1.472674165,2.133265565,1.472674165,2.133265565
0.676189029,0.5,2.49245438,2.071650774,-0.420803606,2.189141069,1.954160478,2.043432079,1.459534698,2.071650774,1.459534698,2.071650774,1.459534698,2.071650774
0.683786659,0.5,2.471425728,2.014812887,-0.45661284,2.132864463,1.896761312,1.988402219,1.446527229,2.014812887,1.446527229,2.014812887,1.446527229,2.014812887
0.691384288,0.5,2.450397075,1.961992481,-0.488404594,2.080459881,1.843525082,1.9375239,1.433649564,1.961992481,1.433649564,1.961992481,1.433649564,1.961992481
0.698981918,0.5,2.429368423,1.912678634,-0.516689789,2.031422645,1.793934623,1.890331335,1.420899568,1.912678634,1.420899568,1.912678634,1.420899568,1.912678634
0.706579547,0.5,2.40833977,1.866554473,-0.541785297,1.985445055,1.747663891,1.846424703,1.408275166,1.866554473,1.408275166,1.866554473,1.408275166,1.866554473
0.714177177,0.5,2.387311118,1.823423116,-0.563888002,1.942341568,1.704504664,1.805458794,1.395774338,1.823423116,1.395774338,1.823423116,1.395774338,1.823423116
0.721774806,0.5,2.366282465,1.783133982,-0.583148484,1.90197436,1.664293603,1.767133903,1.383395117,1.783133982,1.383395117,1.783133982,1.383395117,1.783133982
0.729372436,0.5,2.345253813,1.745525668,-0.599728145,1.864195519,1.626855817,1.731188484,1.371135587,1.745525668,1.371135587,1.745525668,1.371135587,1.745525668
0.736970065,0.5,2.324225161,1.710394954,-0.613830207,1.828815445,1.591974462,1.697393165,1.358993883,1.710394954,1.358993883,1.710394954,1.358993883,1.710394954
0.744567695,0.5,2.303196508,1.677493755,-0.625702753,1.795599327,1.559388183,1.665545849,1.346968188,1.677493755,1.346968188,1.677493755,1.346968188,1.677493755
0.752165324,0.5,2.282167856,1.646548746,-0.635619109,1.764286399,1.528811094,1.63546766,1.335056731,1.646548746,1.335056731,1.646548746,1.335056731,1.646548746
0.759762954,0.5,2.261139203,1.617293417,-0.643845786,1.734621754,1.49996508,1.606999584,1.323257785,1.617293417,1.323257785,1.617293417,1.323257785,1.617293417
0.767360583,0.5,2.240110551,1.589500472,-0.650610079,1.706388591,1.472612353,1.579999656,1.311569666,1.589500472,1.311569666,1.589500472,1.311569666,1.589500472
0.774958213,0.5,2.219081898,1.563003927,-0.656077971,1.679430248,1.446577606,1.554340587,1.299990733,1.563003927,1.299990733,1.563003927,1.299990733,1.563003927
0.782555843,0.5,2.198053246,1.537704301,-0.660348945,1.653655394,1.421753209,1.52990776,1.288519384,1.537704301,1.288519384,1.537704301,1.288519384,1.537704301
0.790153472,0.5,2.177024594,1.513555845,-0.663468748,1.629025305,1.398086386,1.506597511,1.277154055,1.513555845,1.277154055,1.513555845,1.277154055,1.513555845
0.797751102,0.5,2.155995941,1.490540193,-0.665455748,1.605527605,1.375552781,1.48431566,1.265893222,1.490540193,1.265893222,1.490540193,1.265893222,1.490540193
0.805348731,0.5,2.134967289,1.46863478,-0.666332509,1.58314478,1.35412478,1.462976221,1.254735394,1.46863478,1.254735394,1.46863478,1.254735394,1.46863478
0.812946361,0.5,2.113938636,1.447785838,-0.666152799,1.561827275,1.3337444,1.442500283,1.243679119,1.447785838,1.243679119,1.447785838,1.243679119,1.447785838
0.82054399,0.5,2.092909984,1.42789438,-0.665015604,1.541479579,1.31430918,1.422815006,1.232722975,1.42789438,1.232722975,1.42789438,1.232722975,1.42789438
0.82814162,0.5,2.071881331,1.408819792,-0.66306154,1.521963894,1.295675689,1.403852716,1.221865574,1.408819792,1.221865574,1.408819792,1.221865574,1.408819792
0.835739249,0.5,2.050852679,1.390400433,-0.660452246,1.503120809,1.277680057,1.385550063,1.211105562,1.390400433,1.211105562,1.390400433,1.211105562,1.390400433
0.843336879,0.5,2.029824027,1.3724855,-0.657338527,1.484801214,1.260169786,1.367847225,1.200441613,1.3724855,1.200441613,1.3724855,1.200441613,1.3724855
0.850934508,0.5,2.008795374,1.35496869,-0.653826684,1.466900006,1.243037374,1.350687119,1.189872431,1.35496869,1.189872431,1.35496869,1.189872431,1.35496869
0.858532138,0.5,1.987766722,1.337813039,-0.649953682,1.449380949,1.226245129,1.334014583,1.179396751,1.337813039,1.179396751,1.337813039,1.179396751,1.337813039
0.866129768,0.5,1.966738069,1.321058076,-0.645679994,1.432283849,1.209832302,1.317775495,1.169013333,1.321058076,1.169013333,1.321058076,1.169013333,1.321058076
0.873727397,0.5,1.945709417,1.304804821,-0.640904596,1.41570957,1.193900073,1.301915749,1.158720968,1.304804821,1.158720968,1.304804821,1.158720968,1.304804821
0.881325027,0.5,1.924680764,1.289180084,-0.63550068,1.399784338,1.17857583,1.286379997,1.148518468,1.289180084,1.148518468,1.289180084,1.148518468,1.289180084
0.888922656,0.5,1.903652112,1.274287463,-0.629364649,1.384610774,1.163964151,1.271110008,1.138404676,1.274287463,1.138404676,1.274287463,1.138404676,1.274287463
0.896520286,0.5,1.882623459,1.260156882,-0.622466577,1.370217459,1.150096306,1.256042389,1.128378455,1.260156882,1.128378455,1.260156882,1.128378455,1.260156882
0.904117915,0.5,1.861594807,1.246706118,-0.614888689,1.356520499,1.136891738,1.2411052,1.118438696,1.246706118,1.118438696,1.246706118,1.118438696,1.246706118
0.911715545,0.5,1.840566155,1.233725941,-0.606840213,1.343308734,1.124143149,1.226212656,1.10858431,1.233725941,1.10858431,1.233725941,1.10858431,1.233725941
0.919313174,0.5,1.819537502,1.220895633,-0.59864187,1.330259318,1.111531947,1.21125619,1.098814232,1.220895633,1.098814232,1.220895633,1.098814232,1.220895633
0.926910804,0.5,1.79850885,1.20782859,-0.590680259,1.316983416,1.098673765,1.140342,1.089127421,1.20782859,1.089127421,1.20782859,1.089127421,1.20782859
0.934508433,0.5,1.777480197,1.194140369,-0.583339828,1.303094336,1.085186402,1.128885046,1.079522853,1.194140369,1.079522853,1.194140369,1.079522853,1.194140369
0.942106063,0.5,1.756451545,1.179525466,-0.576926079,1.28828442,1.070766511,1.117655538,1.069999527,1.179525466,1.069999527,1.179525466,1.069999527,1.179525466
0.949703692,0.5,1.735422892,1.163826139,-0.571596754,1.272393967,1.05525831,1.106647887,1.060556464,1.163826139,1.060556464,1.163826139,1.060556464,1.163826139
0.957301322,0.5,1.71439424,1.147077312,-0.567316928,1.255456235,1.038698388,1.095855371,1.051192702,1.147077312,1.051192702,1.147077312,1.051192702,1.147077312
