Tr,Pr,bias uncorrected model,bias corrected model,bias,upper,lower,Nist,PR_alpha,,,,,
0.930872592,0.5,1.267469645,1.154939505,-0.11253014,1.165569804,1.144309207,1.103284943,1.076233027,1.154939505,1.076233027,1.154939505,1.076233027,1.154939505
0.938967136,0.5,1.256056338,1.13781997,-0.118236368,1.148450269,1.127189672,1.088051472,1.067016615,1.13781997,1.067016615,1.13781997,1.067016615,1.13781997
0.94706168,0.5,1.244643031,1.120298528,-0.124344503,1.130928826,1.109668229,1.073328161,1.057879222,1.120298528,1.057879222,1.120298528,1.057879222,1.120298528
0.955156225,0.5,1.233229723,1.102534591,-0.130695132,1.113164889,1.091904292,1.059074848,1.048819836,1.102534591,1.048819836,1.102534591,1.048819836,1.102534591
0.963250769,0.5,1.221816416,1.084709122,-0.137107294,1.09533942,1.074078824,1.045258484,1.039837468,1.084709122,1.039837468,1.084709122,1.039837468,1.084709122
0.971345313,0.5,1.210403108,1.067013531,-0.143389577,1.07764383,1.056383233,1.031851099,1.030931149,1.067013531,1.030931149,1.067013531,1.030931149,1.067013531
0.979439858,0.5,1.198989801,1.049637666,-0.149352135,1.060267964,1.039007367,1.018828508,1.02209993,1.049637666,1.02209993,1.049637666,1.02209993,1.049637666
0.987534402,0.5,1.187576493,1.032757877,-0.154818616,1.043388175,1.022127578,1.006169445,1.013342883,1.032757877,1.013342883,1.032757877,1.013342883,1.032757877
0.995628946,0.5,1.176163186,1.016526159,-0.159637027,1.027156457,1.00589586,0.993854957,1.004659097,1.016526159,1.004659097,1.016526159,1.004659097,1.016526159
1.00372349,0.5,1.164749879,1.001061253,-0.163688625,1.011691552,0.990430955,0.981867968,0.996047681,1.001061253,0.996047681,1.001061253,0.996047681,1.001061253
1.011818035,0.5,1.153336571,0.986442453,-0.166894118,0.997072752,0.975812155,0.970192953,0.98750776,0.986442453,0.98750776,0.986442453,0.98750776,0.986442453
1.019912579,0.5,1.141923264,0.972706557,-0.169216707,0.983336856,0.962076259,0.958815694,0.979038479,0.972706557,0.979038479,0.972706557,0.979038479,0.972706557
1.028007123,0.5,1.130509956,0.959848165,-0.170661791,0.970478464,0.949217867,0.947723086,0.970638998,0.959848165,0.970638998,0.959848165,0.970638998,0.959848165
1.036101667,0.5,1.119096649,0.947823172,-0.171273477,0.95845347,0.937192873,0.936902988,0.962308495,0.947823172,0.962308495,0.947823172,0.962308495,0.947823172
1.044196212,0.5,1.107683341,0.936555035,-0.171128306,0.947185334,0.925924737,0.926344099,0.954046163,0.936555035,0.954046163,0.936555035,0.954046163,0.936555035
1.052290756,0.5,1.096270034,0.925943167,-0.170326867,0.936573466,0.915312869,0.916035861,0.94585121,0.925943167,0.94585121,0.925943167,0.94585121,0.925943167
1.0603853,0.5,1.084856727,0.915872604,-0.168984123,0.926502902,0.905242305,0.905968378,0.937722861,0.915872604,0.937722861,0.915872604,0.937722861,0.915872604
1.068479845,0.5,1.073443419,0.906224044,-0.167219375,0.916854342,0.895593745,0.896132344,0.929660355,0.906224044,0.929660355,0.906224044,0.929660355,0.906224044
1.076574389,0.5,1.062030112,0.896883358,-0.165146753,0.907513657,0.88625306,0.886518991,0.921662943,0.896883358,0.921662943,0.896883358,0.921662943,0.896883358
1.084668933,0.5,1.050616804,0.887749755,-0.162867049,0.898380054,0.877119457,0.877120035,0.913729895,0.887749755,0.913729895,0.887749755,0.913729895,0.887749755
1.092763477,0.5,1.039203497,0.878741975,-0.160461522,0.889372273,0.868111676,0.867927637,0.905860491,0.878741975,0.905860491,0.878741975,0.905860491,0.878741975
