Tr,Pr,bias corrected model,Nist,bias uncorrected model, upper,lower,bias,PR_alpha,,
1.714311591,0.019829467,0.647402233,0.647256647,0.692736314,0.670987906,0.62381656,-0.045334081,0.763121202,0.650843817,0.763121202
1.746657092,0.019829467,0.639067287,0.638927943,0.685421381,0.66265296,0.615481614,-0.046354094,0.754366665,0.642223069,0.754366665
1.779002594,0.019829467,0.630876888,0.630745248,0.678106449,0.654462561,0.607291214,-0.047229561,0.745742629,0.633752972,0.745742629
1.811348096,0.019829467,0.622824196,0.622701408,0.670791516,0.64640987,0.599238523,-0.04796732,0.737245553,0.6254263,0.737245553
1.843693598,0.019829467,0.614902915,0.614789842,0.663476584,0.638488588,0.591317242,-0.048573669,0.728872049,0.617236181,0.728872049
1.876039099,0.019829467,0.607106767,0.60700448,0.656161651,0.63069244,0.583521094,-0.049054884,0.72061888,0.609175939,0.72061888
1.908384601,0.019829467,0.599430248,0.599339716,0.648846719,0.623015921,0.575844575,-0.049416471,0.712482947,0.601239804,0.712482947
1.940730103,0.019829467,0.591868364,0.591790352,0.641531786,0.615454037,0.568282691,-0.049663422,0.704461282,0.593422505,0.704461282
1.973075604,0.019829467,0.584415962,0.584351562,0.634216854,0.608001635,0.560830289,-0.049800892,0.696551039,0.585718512,0.696551039
2.005421106,0.019829467,0.577068628,0.577018854,0.626901921,0.600654301,0.553482955,-0.049833293,0.68874949,0.57812314,0.68874949
2.037766608,0.019829467,0.569822933,0.569788038,0.619586989,0.593408606,0.54623726,-0.049764056,0.681054014,0.5706329,0.681054014
2.07011211,0.019829467,0.562674231,0.562655198,0.612272056,0.586259904,0.539088558,-0.049597825,0.673462098,0.563242825,0.673462098
2.102457611,0.019829467,0.555617869,0.555616667,0.604957124,0.579203542,0.532032196,-0.049339255,0.665971321,0.555947753,0.665971321
2.134803113,0.019829467,0.548652928,0.548669005,0.597642191,0.572238601,0.525067255,-0.048989263,0.65857936,0.548746974,0.65857936
2.167148615,0.019829467,0.541776447,0.541808977,0.590327259,0.56536212,0.518190774,-0.048550812,0.651283977,0.541637675,0.651283977
2.199494116,0.019829467,0.534979627,0.53503354,0.583012327,0.5585653,0.511393954,-0.048032699,0.644083017,0.534609829,0.644083017
2.231839618,0.019829467,0.528263606,0.528339822,0.575697394,0.55184928,0.504677933,-0.047433788,0.636974406,0.527664453,0.636974406
2.26418512,0.019829467,0.521635445,0.521725111,0.568382462,0.545221118,0.498049771,-0.046747017,0.629956142,0.520810585,0.629956142
2.296530621,0.019829467,0.515076012,0.515186844,0.561067529,0.538661685,0.491490339,-0.045991517,0.623026296,0.514027624,0.623026296
2.328876123,0.019829467,0.508573794,0.508722591,0.553752597,0.532159467,0.484988121,-0.045178803,0.616183007,0.507300799,0.616183007
2.361221625,0.019829467,0.502170861,0.502330048,0.546437664,0.525756534,0.478585187,-0.044266804,0.609424478,0.500675869,0.609424478
2.393567127,0.019829467,0.495852688,0.496007026,0.539122732,0.519438361,0.472267015,-0.043270044,0.602748973,0.49414009,0.602748973
2.425912628,0.019829467,0.489526157,0.489751447,0.531807799,0.51311183,0.465940484,-0.042281642,0.596154815,0.487593651,0.596154815
2.45825813,0.019829467,0.483281194,0.483561328,0.524492867,0.506866867,0.459695521,-0.041211673,0.589640381,0.481133794,0.589640381
2.490603632,0.019829467,0.477258134,0.477434783,0.517177934,0.500843807,0.453672461,-0.0399198,0.583204104,0.474907175,0.583204104
2.522949133,0.019829467,0.471132669,0.471370013,0.509863002,0.494718342,0.447546996,-0.038730333,0.576844465,0.468546359,0.576844465
2.555294635,0.019829467,0.464790157,0.465365296,0.502548069,0.48837583,0.441204484,-0.037757913,0.570559997,0.461921809,0.570559997
2.587640137,0.019829467,0.459705316,0.459418992,0.495233137,0.483290989,0.436119643,-0.035527821,0.564349275,0.456658107,0.564349275
