TITLE = "Decane T rho" 

  VARIABLES = T	rho_NIST_0.1Mpa	rho_Soave_0.1Mpa	rho_new_0.1Mpa	rho_NIST_1Mpa	rho_Soave_1Mpa	rho_new_1Mpa	rho_NIST_2Mpa	rho_Soave_2Mpa	rho_new_2Mpa	rho_NIST_3Mpa	rho_Soave_3Mpa	rho_new_3Mpa	rho_NIST_5Mpa	rho_Soave_5Mpa	rho_new_5Mpa	rho_NIST_10Mpa	rho_Soave_10Mpa	rho_new_10Mpa
520	3.4063	3.401852707	3.406119432	531.08	496.7496012	532.4840138	536.21	505.0530527	535.4505562	540.86	512.3810347	540.8359069	549.07	524.904366	549.0649593	565.52	548.4740023	565.5479879
530	3.3334	3.330879253	3.333141326	518.49	481.6945604	519.5607427	524.48	491.451394	524.3610862	529.81	499.8980541	529.7219595	539.05	514.0584783	539.1669034	557.04	540.0415118	557.1725205
540	3.2641	3.263029732	3.263831361	504.88	465.0899241	504.3610658	512.03	476.7286208	512.9174314	518.22	486.5553579	518.0338658	528.68	502.6480813	528.8871981	548.44	531.3325851	548.6141174
550	3.198	3.198088543	3.197839301	489.92	446.4990018	486.0583975	498.65	460.6681092	500.6908708	505.97	472.2329991	505.73362	517.94	490.6293686	518.1587651	539.7	522.3436736	539.8558545
560	3.1349	3.13586054	3.134842613	473.03	425.2065221	463.7000297	484.11	442.967083	487.0008897	492.92	456.7795961	492.7568818	506.75	477.9543245	506.9311453	530.82	513.0727984	530.907297
570	3.0745	3.076168563	3.074564674	43.456	42.46538159	43.99482551	468	423.1773913	470.9197075	478.89	439.999323	478.9510928	495.08	464.5707328	495.1680158	521.79	503.5199711	521.7965137
580	3.0167	3.018851332	3.016780799	40.818	40.3472337	41.08303019	449.68	400.5802155	451.2618689	463.63	421.6312364	464.0077788	482.86	450.4226282	482.8393594	512.62	493.6876836	512.5560427
590	2.9612	2.963761636	2.961313302	38.719	38.55277922	38.81480228	427.97	373.8735119	426.4747225	446.78	401.3149202	447.4053301	470.01	435.4515858	469.9118954	503.3	483.5814661	503.2089739
600	2.908	2.910764771	2.908019548	36.976	36.99753799	36.98277828	400.15	340.1472282	394.1832533	427.82	378.5305417	428.3664365	456.47	419.5995454	456.3408667	493.83	473.2105061	493.7608614
610	2.8568	2.859737192	2.856777948	35.487	35.62671259	35.46102793	355.73	288.6655559	349.1428739	405.91	352.4895817	405.8090349	442.14	402.8143585	442.0644848	484.21	462.5883109	484.2003864
620	2.8075	2.810565335	2.807476177	34.189	34.40259519	34.16391518	116.8	112.1492805	129.7050512	379.58	321.9365608	378.2266197	426.96	385.0600001	427.0004308	474.46	451.7333813	474.5078413
630	2.76	2.763144596	2.760004127	33.038	33.29806146	33.03032983	97.814	96.80328283	98.02630172	345.77	284.9021869	343.340174	410.84	366.3343203	411.0430926	464.58	440.6698469	464.6673281
640	2.7143	2.717378428	2.714252039	32.007	32.29291375	32.01681908	87.804	87.94097917	86.89705124	296.49	239.8201385	297.1820872	393.71	346.6977085	394.0618341	454.59	429.4279931	454.6774006
650	2.6701	2.673177556	2.670112538	31.073	31.37168889	31.0938143	81.017	81.65576871	80.07790332	221.91	194.6681782	234.7207023	375.5	326.3140595	375.9047908	444.51	418.0445887	444.5559342
660	2.6275	2.630459283	2.62748446	30.219	30.52227534	30.24261622	75.911	76.78865556	75.23389512	172	163.6555507	177.5064238	356.14	305.4966059	356.4192531	434.35	406.5629095	434.3376608
670	2.5862	2.58914687	2.586276331	29.435	29.7350039	29.45235636	71.839	72.82554454	71.47876156	147.22	144.2500074	147.8787919	335.56	284.7319792	335.5070746	424.13	395.0323515	424.0658272
680	2.5464	2.549168993	2.546408075	28.708	29.00202902	28.71697843	68.465	69.49075694	68.37125072	131.92	131.0088564	131.3102776	313.7	264.6377777	313.2357684	413.87	383.5075478	413.7816673
690	2.5078	2.51045926	2.507810519	28.033	28.31689535	28.03262349	65.593	66.61852815	65.67062184	121.15	121.2109184	120.4187929	290.71	245.8308307	290.0017907	403.61	372.0469506	403.5159247
700	2.4704	2.472955776	2.470423143	27.403	27.67422647	27.39577754	63.1	64.10114845	63.24824776	112.98	113.5386789	112.4729435	267.19	228.7623872	266.6549442	393.34	360.7109138	393.2854159
710	2.4342	2.436600757	2.434191069	26.811	27.06949655	26.80232173	60.902	61.8645778	61.0424335	106.46	107.2880832	106.2389833	244.44	213.6271132	244.3823759	383.1	349.5594009	383.0952808
720	2.3991	2.401340186	2.399062341	26.255	26.49885953	26.24738615	58.94	59.85569189	59.02818304	101.08	102.0467893	101.0789739	223.96	200.3890377	224.2746932	372.91	338.6495286	372.9452477
730	2.365	2.367123497	2.364986222	25.729	25.95901938	25.72574657	57.17	58.03506367	57.19565458	96.52	97.5551358	96.64295072	206.52	188.8719116	206.9053625	362.77	328.0332104	362.8369891
740	2.3319	2.3339033	2.33191275	25.232	25.44712997	25.23244557	55.561	56.37262019	55.53648358	92.588	93.64006913	92.73727934	192.04	178.8455808	192.2849398	352.71	317.7551659	352.7797753
750	2.2998	2.301635127	2.299793301	24.76	24.96071674	24.76335032	54.086	54.84489855	54.03722638	89.142	90.1809558	89.25522309	180.03	170.0799156	180.0904572	342.74	307.8515088	342.7928643
