TITLE = "Decane T rho" 

  VARIABLES = T	rho_NIST_0.1Mpa	rho_Soave_0.1Mpa	rho_new_0.1Mpa	rho_NIST_1Mpa	rho_Soave_1Mpa	rho_new_1Mpa	rho_NIST_2Mpa	rho_Soave_2Mpa	rho_new_2Mpa	rho_NIST_3Mpa	rho_Soave_3Mpa	rho_new_3Mpa	rho_NIST_5Mpa	rho_Soave_5Mpa	rho_new_5Mpa	rho_NIST_10Mpa	rho_Soave_10Mpa	rho_new_10Mpa
350	685.99	644.8509087	686.7865627	686.99	645.9825904	687.217105	688.09	647.2029004	687.6879491	689.17	648.3862308	688.1510775	691.28	650.6497475	689.0550405	696.31	655.7831883	691.1939932
360	678.04	639.0706435	680.2715929	679.11	640.3185353	680.7834122	680.28	641.6617369	681.3422266	681.43	642.96191	681.890964	683.68	645.4428032	682.9594436	689	651.0414845	685.4745379
370	670.01	633.0244224	673.3605146	671.16	634.4016315	673.9668768	672.42	635.8811	674.6277174	673.64	637.3103809	675.2754435	676.04	640.0303287	676.5333363	681.68	646.1359132	679.4775656
380	661.91	626.6941587	666.0918434	663.14	628.2156993	666.8071213	664.48	629.8466581	667.5851111	665.79	631.4189178	668.3461195	668.35	634.4022287	669.8197513	674.34	641.0606713	673.2479303
390	653.7	620.0596286	658.512174	655.02	621.742792	659.3516681	656.46	623.5426474	660.2627767	657.87	625.2736355	661.1520361	660.6	628.5476527	662.8686505	666.97	635.8097299	666.8360728
400	645.38	613.0980889	650.6721074	646.81	614.9629061	651.6518648	648.35	616.9516618	652.7126846	649.86	618.8593374	653.7455992	652.78	622.4549201	655.7328498	659.56	630.3768357	660.2940098
410	636.93	605.7837971	642.6209824	638.47	607.8536258	643.7576715	640.13	610.0543984	644.9852547	641.76	612.1593362	646.1774831	644.89	616.1114361	648.463046	652.11	624.7555157	653.6706854
420	628.32	598.087404	634.4009527	629.99	600.3896806	635.7118667	631.79	602.8293487	637.1236973	633.54	605.1552398	638.4911028	636.9	609.503597	641.1025376	644.62	618.9390859	647.007275
430	619.54	589.9751705	626.0410973	621.36	592.542388	627.544365	623.31	595.2524184	629.1585449	625.2	597.8266955	630.7173441	628.82	602.6166818	633.6823242	637.06	612.9206649	640.3330778
440	610.56	581.4079439	617.5522494	612.54	584.2789427	619.2673274	614.67	587.2964556	621.1030452	616.72	590.1510802	622.8702157	620.62	595.4347308	626.2172133	629.45	606.693193	633.6625316
450	4.0508	4.010176976	4.051435671	603.52	575.5614968	610.8715662	605.84	578.9306578	612.9499053	608.07	582.1031229	614.9438902	612.3	587.9404065	618.7033674	621.77	600.2494593	626.9936707
460	3.9401	3.908806863	3.944241264	594.27	566.3459471	602.324458	596.81	570.119817	604.6695886	599.25	573.6544398	606.9113264	603.84	580.1148359	611.1174406	614.01	593.582139	620.3080857
470	3.8369	3.812972202	3.843839151	584.74	556.5803078	593.5692546	587.55	560.823344	596.2100614	590.22	564.7729561	598.7243621	595.22	571.9374313	603.4171823	606.17	586.6838411	613.57221
480	3.7403	3.722192357	3.749387392	574.9	546.202477	584.5254047	578.01	550.9939868	587.4976297	580.96	555.4221776	590.3149377	586.43	563.3856872	595.5431783	598.25	579.5471719	606.7396046
490	3.6495	3.636044347	3.660199265	564.69	535.1370912	575.089309	568.17	540.5761147	578.4383558	571.43	545.5602623	581.5969804	577.44	554.4349496	587.4213049	590.23	572.1648161	599.7538632
500	3.5639	3.554154055	3.575711315	554.05	523.2909644	565.1348266	557.96	529.5033727	568.9194918	561.61	535.1388191	572.4684587	568.24	545.0581573	578.9654852	582.1	564.5296394	592.5517989
510	3.483	3.476189055	3.495458482	542.88	510.5462327	554.51278	547.34	517.6953931	558.8103758	551.43	524.1013294	562.8131702	558.79	535.2255527	570.0804204	573.87	556.6348185	585.0666674
520	3.4063	3.401852707	3.41905443	531.08	496.7496012	543.0485777	536.21	505.0530527	547.9622561	540.86	512.3810347	552.5019076	549.07	524.904366	560.6640952	565.52	548.4740023	577.2312943
530	3.3334	3.330879253	3.346175799	518.49	481.6945604	530.5367408	524.48	491.451394	536.2064514	529.81	499.8980541	541.3927108	539.05	514.0584783	550.6099801	557.04	540.0415118	568.9810782
540	3.2641	3.263029732	3.276549512	504.88	465.0899241	516.7303063	512.03	476.7286208	523.3500353	518.22	486.5553579	529.3299155	528.68	502.6480813	539.8089568	548.44	531.3325851	560.256908
550	3.198	3.198088543	3.209942499	489.92	446.4990018	501.3211883	498.65	460.6681092	509.1676796	505.97	472.2329991	516.1416015	517.94	490.6293686	528.1510727	539.7	522.3436736	551.0080718
560	3.1349	3.13586054	3.146153378	473.03	425.2065221	483.9030069	484.11	442.967083	493.3870564	492.92	456.7795961	501.6347751	506.75	477.9543245	515.5272828	530.82	513.0727984	541.1952208
570	3.0745	3.076168563	3.085005754	43.456	42.46538159	46.40776322	468	423.1773913	475.6624296	478.89	439.999323	485.5870598	495.08	464.5707328	501.8313876	521.79	503.5199711	530.7934085
580	3.0167	3.018851332	3.026342858	40.818	40.3472337	43.03888626	449.68	400.5802155	455.5243537	463.63	421.6312364	467.7325809	482.86	450.4226282	486.9624439	512.62	493.6876836	519.7951343
590	2.9612	2.963761636	2.9700233	38.719	38.55277922	40.45859894	427.97	373.8735119	432.27502	446.78	401.3149202	447.737522	470.01	435.4515858	470.8280587	503.3	483.5814661	508.2132044
600	2.908	2.910764771	2.915917765	36.976	36.99753799	38.36891254	400.15	340.1472282	404.7385266	427.82	378.5305417	425.1561117	456.47	419.5995454	453.3492618	493.83	473.2105061	496.0830829
610	2.8568	2.859737192	2.863906481	35.487	35.62671259	36.6180585	355.73	288.6655559	370.5144127	405.91	352.4895817	399.3469166	442.14	402.8143585	434.4682074	484.21	462.5883109	483.4642723
620	2.8075	2.810565335	2.813877329	34.189	34.40259519	35.11692824	116.8	112.1492805	322.4682462	379.58	321.9365608	369.3025027	426.96	385.0600001	414.1609627	474.46	451.7333813	470.4401765
630	2.76	2.763144596	2.765724485	33.038	33.29806146	33.80811198	97.814	96.80328283	111.0662359	345.77	284.9021869	333.2808621	410.84	366.3343203	392.4592161	464.58	440.6698469	457.1159151
640	2.7143	2.717378428	2.719347468	32.007	32.29291375	32.65208181	87.804	87.94097917	93.81491098	296.49	239.8201385	288.0962056	393.71	346.6977085	369.4863641	454.59	429.4279931	443.613741
650	2.6701	2.673177556	2.674650535	31.073	31.37168889	31.62022085	81.017	81.65576871	84.73488829	221.91	194.6681782	230.8443247	375.5	326.3140595	345.5123495	444.51	418.0445887	430.0660848
660	2.6275	2.630459283	2.631542314	30.219	30.52227534	30.69098428	75.911	76.78865556	78.53692341	172	163.6555507	179.8499366	356.14	305.4966059	321.0197868	434.35	406.5629095	416.6067708
670	2.5862	2.58914687	2.589935635	29.435	29.7350039	29.84764163	71.839	72.82554454	73.85685982	147.22	144.2500074	151.3262647	335.56	284.7319792	296.7401905	424.13	395.0323515	403.3614959
