 TITLE = "Density VS Temperature for Oxygen" 

  VARIABLES =  T	v_NIST_0.1Mpa	v_Soave_0.1Mpa	v_new_0.1Mpa	v_NIST_1Mpa	v_Soave_1Mpa	v_new_1Mpa	v_NIST_3Mpa	v_Soave_3Mpa	v_new_3Mpa	v_NIST_5Mpa	v_Soave_5Mpa	v_new_5Mpa	v_NIST_7Mpa	v_Soave_7Mpa	v_new_7Mpa	v_NIST_10Mpa	v_Soave_10Mpa	v_new_10Mpa
60	0.00077996	0.000721945	7.93E-04	0.0007793	0.00072113	0.000790238	0.00077785	0.000719377	0.000784411	0.00077643	0.000717699	0.000779109	0.00077503	0.00071609	0.000774251	0.00077297	0.000713795	0.000767665
65	0.00079377	0.000734674	8.10E-04	0.00079302	0.000733689	0.000806913	0.00079139	0.000731576	0.000800159	0.00078978	0.000729562	0.000794058	0.00078821	0.000727638	0.000788503	0.0007859	0.000724907	0.000781019
70	0.00080835	0.000748439	8.28E-04	0.0008075	0.000747248	0.000823903	0.00080564	0.000744704	0.000816125	0.00080383	0.000742289	0.000809155	0.00080205	0.000739993	0.000802849	0.00079944	0.00073675	0.000794409
75	0.0008237	0.000763394	8.46E-04	0.00082273	0.000761952	0.000841362	0.00082061	0.000758884	0.000832441	0.00081854	0.000755989	0.000824512	0.00081651	0.00075325	0.000817389	0.00081357	0.000749402	0.000807921
80	0.00083992	0.000779726	8.65E-04	0.0008388	0.000777975	0.000859521	0.00083636	0.000774267	0.000849296	0.00083399	0.00077079	0.000840295	0.00083168	0.000767519	0.000832268	0.00082833	0.000762954	0.000821678
85	0.00085715	0.000797675	8.85E-04	0.00085585	0.000795536	0.000878697	0.00085303	0.000791037	0.000866953	0.00085029	0.000786849	0.000856723	0.00084764	0.000782936	0.000847678	0.00084381	0.000777514	0.000835842
90	0.00087558	0.000817546	9.06E-04	0.00087405	0.000814916	0.00089932	0.00087076	0.000809422	0.000885753	0.00086759	0.000804356	0.000874083	0.00086453	0.000799659	0.000863864	0.00086013	0.000793207	0.000850615
95	0.24014	0.24117694	2.42E-01	0.00089364	0.000836476	0.000921971	0.00088977	0.000829715	0.000906147	0.00088606	0.000823548	0.00089274	0.0008825	0.000817884	0.000881132	0.00087742	0.000810181	0.000866243
100	0.25373	0.254517774	2.55E-01	0.0009149	0.000860699	0.000947453	0.0009103	0.00085229	0.000928726	0.00090592	0.000844723	0.000913157	0.00090175	0.000837852	0.000899863	0.00089583	0.000828615	0.000883024
105	0.26725	0.267822837	2.68E-01	0.00093822	0.00088825	0.000976916	0.00093267	0.000877645	0.000954289	0.00092744	0.000868263	0.000935936	0.0009225	0.000859861	0.000920533	0.00091555	0.000848726	0.000901319
110	0.2807	0.281097424	2.82E-01	0.00096411	0.000920084	0.001012113	0.0009573	0.000906459	0.00098396	0.00095097	0.000894669	0.000961878	0.00094504	0.000884294	0.000943754	0.00093682	0.000870776	0.000921572
115	0.29411	0.294345821	2.95E-01	0.00099332	0.000957647	0.001055959	0.00098478	0.000939694	0.001019404	0.00097697	0.000924617	0.000992087	0.00096977	0.000911645	0.000970328	0.00095991	0.000895093	0.000944336
120	0.30746	0.307571535	3.08E-01	0.026146	0.026528136	0.02698947	0.0010159	0.000978785	0.001063283	0.0010061	0.00095905	0.001028166	0.00099718	0.000942567	0.001001348	0.00098518	0.000922085	0.000970315
