TITLE = "decane alpha" 

VARIABLES = temp	PR_liq_alpha_01MPa	PR_liq_alpha_1MPa	PR_liq_alpha_2MPa	PR_liq_alpha_4MPa	PR_liq_alpha_5MPa	PR_liq_alpha_7MPa	PR_liq_alpha_8MPa	PR_liq_alpha_10MPa
350	2.31191276	2.329304466	2.349446202	2.391862032	2.413777154	2.460816144	2.485216416	2.536971442
351	2.294665588	2.311716501	2.331121665	2.37232826	2.394152176	2.439543881	2.463472207	2.51384245
352	2.277528678	2.294237284	2.313230127	2.353262306	2.374646527	2.41878878	2.442257127	2.49128481
353	2.261079649	2.277166694	2.295756975	2.334975089	2.355603334	2.398532634	2.421552489	2.469277956
354	2.244725831	2.260781196	2.278688248	2.316790709	2.33700681	2.379112176	2.400974449	2.447802296
355	2.229023158	2.244482133	2.2620106	2.299342557	2.318841874	2.359795567	2.381245391	2.426839156
356	2.213402205	2.228552869	2.245711268	2.281981801	2.30109412	2.340928395	2.361975501	2.40637073
357	2.198398497	2.212981508	2.229778039	2.265015647	2.283749778	2.322495543	2.343149294	2.386380025
358	2.183464401	2.197756659	2.214199221	2.248431252	2.266489063	2.304809792	2.324751976	2.366490181
359	2.168860068	2.182867411	2.198690861	2.232507548	2.249918326	2.28719666	2.30643784	2.347413966
360	2.154826747	2.168303308	2.183792686	2.216644946	2.233712987	2.269976574	2.288862722	2.328768721
361	2.140847099	2.154054327	2.169216565	2.201128929	2.217861497	2.253136883	2.271675685	2.310540295
362	2.127167827	2.14011085	2.154694356	2.185948685	2.20235279	2.236665473	2.254864342	2.29271515
363	2.113779878	2.12621808	2.140737693	2.17109385	2.186896698	2.22055074	2.238109182	2.275280325
364	2.100674558	2.112862555	2.12682526	2.156554483	2.17204709	2.204781561	2.222019645	2.258223411
365	2.087843518	2.099548697	2.113451212	2.142321044	2.157509576	2.189347274	2.206271506	2.241532519
366	2.075052406	2.08674661	2.100112676	2.128127593	2.143009665	2.174237649	2.190562821	2.224885947
367	2.062749969	2.073978042	2.087050559	2.114483273	2.129073132	2.15944287	2.175471601	2.208898843
368	2.050698562	2.061697542	2.074256794	2.101118357	2.115165416	2.144953515	2.16041007	2.193244798
369	2.038675863	2.049443206	2.061723631	2.088024728	2.101794788	2.130492388	2.145936684	2.177913758
370	2.026897253	2.037436901	2.049668696	2.074954642	2.088445068	2.11659157	2.131484212	2.162606767
371	2.015564041	2.025671619	2.037409564	2.062384381	2.07536439	2.102969945	2.117325199	2.147898021
372	2.004249856	2.014140616	2.025614583	2.049830607	2.062545046	2.08961948	2.103714044	2.133484307
373	1.993159962	2.002837399	2.014052024	2.037754393	2.050215307	2.076281605	2.090112239	2.119082033
374	1.982288209	1.991755714	2.002715485	2.025688298	2.037892877	2.06345459	2.077033771	2.105237505
375	1.971628676	1.980889534	1.991598799	2.014078966	2.025810454	2.050876307	2.063957917	2.091663176
376	1.961175652	1.970233052	1.980491615	2.002474003	2.013961414	2.038300833	2.051136036	2.07808953
377	1.950923631	1.959585777	1.96980015	1.991091945	2.002339377	2.026203308	2.038561057	2.065037155
378	1.940867304	1.949335047	1.95911309	1.979926767	1.990938195	2.014102851	2.026226164	2.051979164
379	1.930817971	1.93908873	1.948824423	1.968972661	1.979751939	2.002232049	2.014359902	2.039420052
380	1.921140581	1.92922261	1.938535547	1.958224024	1.968774891	1.990809263	2.002482132	2.026849653
381	1.911465855	1.919356561	1.928439449	1.947675453	1.958001536	1.979375953	1.990825545	2.014757177
382	1.901972564	1.90967469	1.918531132	1.937321731	1.947221592	1.968154402	1.979384256	2.002648307
383	1.892828958	1.90017228	1.908805768	1.927157822	1.936842839	1.957353705	1.968152584	1.990762798
384	1.883682253	1.890844771	1.899258696	1.917178863	1.926652283	1.946535977	1.957125048	1.979326147
385	1.874703591	1.88168776	1.88988541	1.907190034	1.916449008	1.935913928	1.946296356	1.967866358
386	1.865888783	1.87269699	1.88068156	1.89756975	1.906623425	1.925482535	1.935449645	1.95661283
387	1.857070633	1.863868346	1.871642937	1.888120728	1.896781514	1.915236949	1.925006503	1.945781727
388	1.848573822	1.85519785	1.862594452	1.878656583	1.887114879	1.905172482	1.914747317	1.934921722
389	1.840229064	1.846518338	1.853876588	1.869360445	1.877804379	1.895284603	1.904667478	1.924252582
390	1.831876311	1.837993937	1.845145797	1.860405257	1.868472762	1.885568933	1.894562479	1.913769489
391	1.823672723	1.829779686	1.836733246	1.851430399	1.859303805	1.876021235	1.884830862	1.903467791
392	1.815766813	1.821552171	1.82830499	1.842611581	1.850293555	1.866637411	1.875071015	1.893342987
393	1.807848863	1.813468903	1.820023719	1.833945049	1.841438186	1.857227206	1.865670692	1.883390723
394	1.800069735	1.80552647	1.811885946	1.82542717	1.832733993	1.84816185	1.85623937	1.873606789
395	1.792426184	1.797721573	1.803888296	1.817054428	1.824177392	1.839067467	1.847154497	1.863987109
396	1.78477101	1.790051014	1.796027499	1.808823415	1.815764909	1.830305491	1.838036126	1.854527739
397	1.777391174	1.782365282	1.788300387	1.800730831	1.807327013	1.821688679	1.829251852	1.845224858
398	1.769997463	1.774956108	1.780554644	1.792773479	1.799194929	1.813039351	1.82043183	1.836074769
399	1.762869364	1.767529614	1.773087715	1.784791312	1.791197135	1.804533033	1.811756951	1.827073888
400	1.755725344	1.760370016	1.765600094	1.777097219	1.783170748	1.796336237	1.803223846	1.818033156
401	1.748702863	1.75319115	1.758381642	1.76937634	1.775434456	1.788103925	1.794829248	1.809322731
402	1.7417992	1.746132853	1.75114063	1.76193368	1.7676677	1.780005024	1.78656999	1.800751362
403	1.735011719	1.73919244	1.744019718	1.754462451	1.760027382	1.77203651	1.778443001	1.792137241
404	1.72833786	1.732367306	1.737016242	1.747112833	1.752510671	1.764195452	1.770445302	1.783836798
405	1.721647014	1.725522892	1.730127619	1.739882129	1.745114822	1.756479006	1.762574003	1.775666163
406	1.715194615	1.718922448	1.723216602	1.732767727	1.737837168	1.748884412	1.754826302	1.767450305
407	1.708723626	1.712301119	1.716551882	1.725767086	1.730675123	1.741408992	1.747199475	1.759362736
408	1.702359803	1.70578853	1.709994672	1.718877743	1.723626175	1.734050144	1.739532468	1.751568593
409	1.696100848	1.699507957	1.703412823	1.711958832	1.716687887	1.726805344	1.732141423	1.743727126
410	1.68994453	1.693204366	1.696937092	1.705286623	1.709857888	1.719522034	1.724863517	1.736005694
411	1.683769777	1.687002726	1.69056522	1.698718702	1.702994369	1.7124998	1.717543476	1.728563782
412	1.677813722	1.680779778	1.684295012	1.692119279	1.696375742	1.705437833	1.710486427	1.721072776
413	1.671837907	1.67477711	1.678124336	1.68562295	1.689722407	1.698628766	1.703386107	1.713694243
414	1.665959165	1.668751871	1.67205112	1.679227551	1.683171666	1.691778869	1.696393044	1.706425791
415	1.660175481	1.662939961	1.666073348	1.673059939	1.67685448	1.685032516	1.689650882	1.699265098
416	1.6544849	1.657104337	1.660069642	1.666858663	1.670501023	1.678527507	1.682863964	1.692209903
417	1.648885518	1.651361302	1.654278313	1.660626194	1.664243933	1.671980235	1.676177749	1.685258011
418	1.643375487	1.645708969	1.648460009	1.65461406	1.658081237	1.665530234	1.669590161	1.678407286
419	1.637844962	1.640034029	1.642732273	1.648692908	1.652011017	1.659175517	1.66309918	1.67165565
420	1.632402742	1.634558927	1.637093276	1.642739121	1.645905663	1.652914149	1.656702842	1.665001082
421	1.627047056	1.629060223	1.631541242	1.636995841	1.640016237	1.646744249	1.650399235	1.658296893
422	1.621776179	1.623755315	1.626074441	1.631219086	1.634090842	1.6405331	1.644051581	1.651832175
423	1.616588434	1.618425907	1.620580992	1.62552888	1.628375036	1.634542107	1.637929358	1.645458755
424	1.611380231	1.61317926	1.615280872	1.619923509	1.622622516	1.628637208	1.631894406	1.639034711
425	1.606355043	1.607909677	1.609953286	1.614401306	1.616954548	1.622690015	1.625814391	1.632839969
426	1.601308531	1.60282489	1.604706813	1.608960647	1.611487176	1.616828281	1.619950252	1.626594038
427	1.596341085	1.597716341	1.599539876	1.603599948	1.605982121	1.611174333	1.614040473	1.62057099
428	1.591353752	1.592787181	1.594450941	1.598317672	1.600441595	1.605477222	1.608340536	1.614496262
429	1.58654098	1.587833517	1.589335419	1.593001996	1.595095685	1.599860695	1.602594454	1.608505353
430	1.581707528	1.582955633	1.58439915	1.587873261	1.589826458	1.594323204	1.596928522	1.60259664
431	1.576949354	1.578054735	1.579435617	1.582710539	1.584520866	1.58886324	1.591341205	1.596898765
432	1.572265032	1.573325185	1.574546474	1.577622703	1.579401835	1.583479331	1.585831008	1.591148426
433	1.567653169	1.568571935	1.569730315	1.572608338	1.574245924	1.578170044	1.580396473	1.585475685
434	1.563112409	1.563890956	1.564985774	1.56766607	1.569163321	1.572933982	1.575036178	1.57987908
435	1.558551284	1.559280896	1.560311518	1.562691005	1.564259706	1.567655626	1.569748738	1.574357181
436	1.554060604	1.554740439	1.555610634	1.557889998	1.559318551	1.562563094	1.564416216	1.568784746
437	1.549639064	1.550268303	1.551074079	1.553157142	1.554341828	1.557427896	1.559271612	1.56340933
438	1.545285392	1.545772973	1.546510366	1.548390788	1.549539089	1.552473631	1.554081595	1.558104526
439	1.540912037	1.541345397	1.542013853	1.543692158	1.544803138	1.547476378	1.549074604	1.552748773
440	1.536605946	1.536984334	1.537583317	1.539060018	1.540031004	1.542546762	1.544021921	1.547582499
441	1.532365892	1.532688581	1.53312683	1.534493163	1.53542603	1.537683555	1.539147575	1.542483036
442	1.528190681	1.528456958	1.528825626	1.529990419	1.530784528	1.532885558	1.534227302	1.537332318
443	1.524079149	1.524202699	1.524498006	1.525455185	1.526207084	1.528151603	1.529371986	1.53224824
444	1.519948343	1.520012076	1.520233554	1.52107819	1.521692553	1.523480549	1.524580467	1.52734427
445	1.515880686	1.515883951	1.516031143	1.516668353	1.517239818	1.518767809	1.51985161	1.522388831
446	1.511875056	1.511817218	1.511803483	1.512320018	1.512847788	1.514220213	1.515078496	1.517496539
