TITLE = "Decane T rho" 

  VARIABLES = T	Soave_error_01Mpa	new_error_01Mpa	Soave_error_1Mpa	new_error_1Mpa	Soave_error_2Mpa	new_error_2Mpa	Soave_error_3Mpa	new_error_3Mpa	Soave_error_5Mpa	new_error_5Mpa	Soave_error_10Mpa	new_error_10Mpa
700	0.10345595	0.172711539	0.989769273	1.868640011	1.586606099	4.2720072	0.494493665	6.836658832	14.38212987	6.466945989	8.295389793	4.303500358
710	0.098626129	0.165585516	0.964143622	1.792132899	1.580535612	3.994166566	0.777835084	6.086228522	12.60550107	5.083682033	8.755050666	4.745791864
720	0.093376085	0.159285191	0.928811752	1.725576454	1.553600083	3.785479314	0.956459514	5.601771308	10.52463043	3.365525306	9.187329752	5.119815438
730	0.089788441	0.155572018	0.894008253	1.673697085	1.513142673	3.62350838	1.072457314	5.275606117	8.545462143	1.715336059	9.575430616	5.417854463
740	0.085908479	0.152183718	0.852607679	1.624501751	1.460773186	3.488567443	1.136291016	5.031657869	6.870661967	0.338627512	9.910360959	5.642926542
750	0.079795049	0.146898431	0.810649174	1.580022029	1.403133067	3.371917755	1.16550649	4.834837701	5.526903539	0.732022556	10.17928785	5.795272217
760	0.073931126	0.141956725	0.767614709	1.536422353	1.337508093	3.259481198	1.169321901	4.660550771	4.460449936	1.542180144	10.37340002	5.879212098
770	0.071049792	0.139891154	0.719810306	1.487388015	1.271798297	3.151209396	1.155573308	4.494654559	3.624402658	2.128706414	10.48856641	5.902631484
780	0.065071865	0.134461417	0.677087347	1.440944099	1.201930212	3.037400783	1.128864408	4.327544171	2.966974645	2.535754473	10.52309581	5.873666707
790	0.058869689	0.128431783	0.633331189	1.389676297	1.131803539	2.918542789	1.090512678	4.151726089	2.444551726	2.802128822	10.47199869	5.794008798
800	0.055562329	0.124859628	0.587138528	1.331509888	1.06066099	2.792061409	1.045947413	3.96790492	2.021392069	2.961720643	10.34129038	5.673631732
810	0.049097104	0.117667578	0.546630067	1.274486361	0.990429317	2.659465175	0.995679257	3.774594179	1.686890748	3.024983454	10.13999325	5.522373929
820	0.047495529	0.114900989	0.502699273	1.209734184	0.921081724	2.521328585	0.94233306	3.574556254	1.414206954	3.021794873	9.873696992	5.343419514
830	0.039950996	0.105797208	0.460057104	1.14265359	0.852233769	2.378645209	0.885184503	3.368550577	1.199668189	2.959395593	9.553553995	5.143229942
840	0.039622265	0.103600989	0.419419422	1.074879583	0.785036171	2.23449815	0.827365376	3.162211219	1.022222318	2.864162824	9.196798205	4.932668915
850	0.035655385	0.097546957	0.377144663	1.003828998	0.719742451	2.091360835	0.768064287	2.95762414	0.875579037	2.74744629	8.805758802	4.705697717
860	0.026738182	0.086428768	0.339390841	0.936858686	0.657743122	1.952958423	0.708997894	2.759609988	0.763897432	2.609736483	8.401961038	4.475779914
870	0.026756315	0.084249786	0.303154658	0.872100286	0.596728958	1.819193847	0.651096431	2.572049441	0.669860935	2.473334242	7.986840281	4.235441477
880	0.019569663	0.074965594	0.265531232	0.807709365	0.535067221	1.690442256	0.592457639	2.395588044	0.588207149	2.347291473	7.569649449	3.986024742
890	0.019427497	0.072928099	0.233772583	0.751912921	0.479092962	1.574803168	0.534141187	2.233380835	0.528199033	2.224811779	7.16039216	3.730729195
900	0.015084565	0.066964323	0.20043552	0.69797263	0.42372986	1.468412334	0.478567997	2.089336068	0.48809068	2.109442319	6.765489714	3.470453034
910	0.010728433	0.061322179	0.168214995	0.649115459	0.369184546	1.372274224	0.422833631	1.961252114	0.444774768	2.025511263	6.382699042	3.19879022
920	0.005426701	0.055103296	0.134900875	0.603387358	0.316164068	1.287388793	0.36812464	1.850358811	0.419627893	1.95059005	6.017624872	2.919253249
930	0.003668521	0.052808216	0.103633757	0.563948693	0.268438828	1.217331049	0.316522183	1.758063119	0.394815619	1.901368178	5.671114886	2.632243002
940	0.000772885	0.04819042	0.077863014	0.534008946	0.219855212	1.155155658	0.265770866	1.680674383	0.384865478	1.860371899	5.343283359	2.33917255
950	0.003284767	0.04582316	0.050499171	0.505943665	0.174912399	1.104204159	0.21759421	1.617896356	0.37561015	1.838558753	5.03828797	2.047283314
960	0.004611287	0.044896871	0.025208443	0.482708849	0.130563637	1.059784108	0.169036818	1.564122025	0.370587086	1.827965286	4.750042991	1.754743838
970	0.005494252	0.04458387	0.000402506	0.461788476	0.08933834	1.022479281	0.122853792	1.519064242	0.368485143	1.824925568	4.481263014	1.470087158
980	0.012386611	0.038325542	0.025471782	0.440546236	0.048609832	0.987394309	0.078734168	1.47896763	0.369287723	1.823955759	4.229077941	1.197122984
990	0.014658483	0.036642025	0.048261144	0.421966635	0.011441486	0.955187685	0.036726517	1.44020564	0.373396785	1.818835282	3.995024317	0.944962582
1000	0.01869972	0.033017078	0.069267863	0.403487887	0.027252504	0.918194438	0.00278118	1.399391989	0.378423234	1.806086828	3.774796506	0.717136054
