TITLE = "oxygen alpha expdata" 

  VARIABLES = exp_Tr	exp_alpha_1.5MPa	exp_alpha_0.1MPa	exp_alpha_2MPa
0.566618099	2.522418006	2.534346714	2.548201383
0.577231968	2.387151981	2.397222887	2.408916957
0.587845837	2.271154824	2.279708789	2.28964069
0.598459706	2.170597656	2.177892992	2.186364219
0.609073575	2.082598988	2.088835502	2.096078954
0.619687444	2.004948506	2.010283559	2.016482442
0.630301313	1.935922141	1.940481672	1.945782442
0.640915182	1.874155046	1.878041326	1.882562778
0.651529051	1.818552387	1.821849583	1.825689374
0.66214292	1.768225409	1.771003665	1.774243084
0.672756789	1.72244481	1.724763293	1.727470814
0.683370658	1.680606178	1.682515389	1.684749363
0.693984527	1.642203991	1.643747549	1.64555828
0.704598396	1.606811797	1.608027843	1.609459217
0.715212265	1.574066911	1.574989236	1.576080013
0.725826134	1.543658466	1.544317426	1.545102304
0.736440003	1.515317963	1.515741261	1.516251751
0.747053872	1.488811723	1.489025078	1.489290262
0.757667741	1.463934784	1.463962539	1.464009738
0.76828161	1.440505898	1.440371592	1.440226982
0.778895479	1.418363375	1.418090309	1.417779519
0.789509348	1.397361557	1.396973397	1.396522111
0.800123217	1.377367771	1.376889211	1.376323821
0.810737086	1.358259597	1.35771714	1.35706548
0.821350955	1.339922329	1.339345253	1.338637467
0.831964824	1.322246479	1.321668082	1.320937702
0.842578693	1.305125158	1.304584422	1.303869759
0.853192562	1.288451098	1.287995025	1.287341013
0.863806431	1.272112987	1.271799969	1.271260723
0.8744203	1.255990537	1.255895439	1.255537898
0.885034169	1.239947269	1.240169461	1.240078778
0.895648038	1.22381903	1.224495769	1.224783612
0.906261907	1.207393975	1.208724292	1.209542273
0.916875776	1.190373761	1.192665094	1.194227803
0.927489645	1.109814234	1.176058521	1.178686235
0.938103514	1.089651661	1.158512463	1.162719115
0.948717383	1.070375643	1.139345709	1.146050454
0.959331252	1.051895907	1.11706988	1.128255716
0.969945121	1.034142147	1.050043753	1.108579181
0.98055899	1.017057092	1.032558102	1.085303341
0.991172859	1.000592573	1.015587857	1.051398412
1.001786728	0.984707114	0.999160848	1.006290196
1.012400597	0.969364354	0.98326738	0.993288727
1.023014466	0.954531969	0.967886829	0.979072514
1.033628335	0.940180909	0.95299563	0.964686748
1.044242203	0.926284831	0.938570073	0.950435276
1.054856072	0.912819676	0.924587322	0.93643643
1.065469941	0.899763345	0.911025768	0.922740815
1.07608381	0.887095434	0.897865113	0.909369245
1.086697679	0.874797033	0.885086335	0.896327908
1.097311548	0.862850549	0.872671621	0.88361532
1.107925417	0.851239573	0.860604278	0.871225814
1.118539286	0.839948757	0.848868642	0.859151425
1.129153155	0.828963712	0.837450002	0.847382958
1.139767024	0.818270927	0.826334515	0.83591061
1.150380893	0.80785769	0.815509146	0.82472435
1.160994762	0.797712023	0.804961598	0.813814152
1.171608631	0.787822627	0.794680262	0.803170136
1.1822225	0.778178827	0.784654161	0.792782656
1.192836369	0.768770526	0.774872908	0.782642353
1.203450238	0.759588166	0.765326666	0.772740185
1.214064107	0.750622693	0.756006106	0.763067442
1.224677976	0.741865517	0.746902377	0.753615748
1.235291845	0.733308485	0.738007074	0.744377064
1.245905714	0.724943854	0.729312209	0.735343681
1.256519583	0.716764263	0.720810184	0.726508209
1.267133452	0.708762709	0.712493771	0.717863567
1.277747321	0.70093253	0.704356086	0.709402978
1.28836119	0.693267377	0.69639057	0.701119947
1.298975059	0.685761204	0.688590969	0.693008258
1.309588928	0.678408243	0.68095132	0.685061959
1.320202797	0.671202993	0.673465929	0.677275348
1.330816666	0.664140205	0.666129363	0.669642964
1.341430535	0.657214865	0.658936429	0.662159577
1.352044404	0.650422183	0.651882164	0.654820173
1.362658273	0.643757582	0.644961825	0.647619951
1.373272142	0.637216684	0.638170873	0.640554304
1.383886011	0.630795302	0.631504964	0.633618817
1.39449988	0.624489428	0.62495994	0.626809257
1.405113749	0.618295226	0.618531818	0.62012156
1.415727618	0.612209021	0.612216783	0.613551828
1.426341487	0.606227291	0.606011177	0.60709632
1.436955356	0.600346662	0.599911493	0.600751443
1.447569225	0.594563898	0.593914367	0.594513745
1.458183094	0.588875895	0.588016572	0.588379913
1.468796963	0.583279673	0.582215008	0.582346762
1.479410832	0.577772374	0.576506701	0.576411228
1.490024701	0.572351253	0.570888793	0.570570369
1.50063857	0.567013673	0.565358539	0.564821353
1.511252439	0.561757099	0.559913299	0.559161457
1.521866308	0.556579097	0.554550536	0.55358806
1.532480177	0.551477325	0.549267809	0.548098638
1.543094046	0.546449531	0.544062772	0.542690763
1.553707915	0.541493549	0.538933164	0.537362096
1.564321783	0.536607294	0.533876812	0.532110383
1.574935652	0.53178876	0.528891619	0.526933453
1.585549521	0.527036014	0.523975571	0.521829213
1.59616339	0.522347195	0.519126723	0.516795645
1.606777259	0.517720509	0.514343203	0.511830804
1.617391128	0.513154229	0.509623204	0.506932813



		
