 TITLE = "Density VS Temperature for Oxygen" 

 VARIABLES =  T	rho_NIST_0.6	rho_Soave_0.6	rho_new_0.6	rho_NIST_1	rho_Soave_1	rho_new_1	rho_NIST_2	rho_Soave_2	rho_new_2 rho_NIST_3	rho_Soave_3	rho_new_3 rho_model3_0.6 rho_model3_1 rho_model3_2 rho_model3_3
100	440.9298183	497.137948	439.8236706	442.2674855	498.5840793	444.2450139	445.4761964	501.9647836	453.7583882	448.5124974	505.053359	461.6603006	441.731212	443.7297608	446.9362016	450.0722974
105	434.1250569	489.3220379	431.0813135	435.5771739	490.9693091	435.9581833	439.0443892	494.7992714	446.3416658	442.306464	498.2747586	454.8749465	433.7670422	435.5107388	439.0556745	442.3347595
110	427.1659749	481.1152482	423.9249903	428.7481848	482.9932053	429.1617653	432.506231	487.3325849	440.2209745	436.0191453	491.2407565	449.2373723	426.6875854	428.1365998	432.0419102	435.5350501
115	420.0300671	472.4821857	417.1604559	421.7611458	474.6263416	422.7476956	425.8480355	479.5459318	434.4532972	429.6405121	483.9392656	443.924184	420.0454753	421.2579976	425.4981464	429.2793103
120	412.6909976	463.3809396	409.9340071	414.5938028	465.8344693	415.9369363	419.0547501	471.4182645	428.3928079	423.1599877	476.3572115	438.3798348	413.3671377	414.4640059	419.0159039	423.1550862
125	405.1172522	453.761242	402.0094328	407.2200436	456.5773289	408.5253586	412.109478	462.9259106	421.8835968	416.5661736	468.4804601	432.4759322	406.308367	407.3862217	412.2979254	416.8556226
130	397.2703363	443.5618754	393.5772116	399.6086618	446.8070416	400.7004286	404.9929613	454.0421184	415.0951311	409.8466062	460.2937456	426.3634786	398.7414046	399.7629078	405.2104119	410.2337725
135	389.1022226	432.7069158	384.9068688	391.7216925	436.46588	392.7184958	397.6829715	444.7364945	408.2480136	402.9875166	451.7806011	420.2340562	390.7543188	391.4672114	397.7639934	403.2870208
140	380.5515621	421.1000936	376.0941046	383.5120678	425.4831024	384.6774201	390.1535539	434.974302	401.4299056	395.9735758	442.9233004	414.1638323	382.5594739	382.5148495	390.045531	396.0969296
145	371.5377938	408.6159733	366.9691316	374.9201858	413.7703158	376.4438887	382.3740572	424.7155798	394.5468191	388.7876139	433.7028221	408.0765316	374.3256044	373.0572197	382.1350109	388.755232
150	361.9514975	395.0854243	357.1261201	365.8686831	401.2144357	367.6955145	374.3078581	413.9140305	387.3701083	381.4103025	424.098854	401.7877327	365.9810528	363.3459519	374.0444299	381.3078678
155	351.6375285	380.2700766	346.0811808	356.2540938	387.6665172	358.0799764	365.9106483	402.515608	379.6730167	373.8197947	414.0898665	395.1217385	357.0596471	353.6410341	365.703096	373.735871
160	340.3629191	363.8133825	333.5606122	345.9327589	372.9230484	347.4820977	357.1280892	390.456723	371.4361399	365.9913203	403.6533004	388.0791217	346.6287873	344.0464661	356.9881345	365.9718727
165	327.7481803	345.1350525	319.6768411	334.6952166	356.6923704	336.174857	347.8925307	377.6619712	362.9375068	357.896741	392.7659349	380.9004075	333.2364288	334.3009831	347.774643	357.9343021
170	313.0925954	323.1592195	304.4316207	322.2149415	338.5286131	324.4326396	338.118317	364.0413077	354.4471545	349.5040842	381.4045452	373.8106405	314.6175566	323.5904418	337.971187	349.5573396
185	39.70570428	40.90113465	41.12245321	267.6208661	259.9086786	266.0755151	304.2674899	317.0334985	319.7512381	322.1521399	344.2722073	346.2594094	40.16956238	264.4251244	304.234359	322.0895419
190	37.13150893	38.24857003	38.24038376	218.073063	196.0115252	194.8434691	290.7980618	298.8073407	298.6596675	312.1592737	330.837831	330.734435	37.41907722	204.6003825	290.9088516	312.0829595
195	35.03752227	36.06728048	35.76333487	84.92449535	89.12329976	84.82541053	275.695078	279.0153629	271.189486	301.6449057	316.8836383	311.6734306	35.1816499	87.45201581	275.8520511	301.5796296
200	33.27390432	34.21924597	33.70797913	72.99665446	76.48826363	72.23997307	258.4531434	257.54988	239.7401663	290.5598067	302.4473293	291.0618992	33.32815648	73.99591832	258.4597046	290.5132191
205	31.75269196	32.61991468	32.02794876	65.91496364	68.89749492	65.10615155	238.4924268	234.5479572	209.0786725	278.8649061	287.6027415	271.2809268	31.76399959	66.16423452	238.2322998	278.8243439
210	30.4173595	31.21350181	30.63108478	60.85721162	63.4570824	60.27365056	215.625548	210.7320728	183.1964859	266.5452503	272.4719332	253.453124	30.41704116	60.76939885	215.2625715	266.4889771
215	29.22925712	29.96116558	29.42161101	56.93059865	59.22883301	56.58574638	191.1999013	187.6694314	162.6166069	253.6333299	257.2342701	237.1465651	29.23269633	56.7455892	191.0079225	253.5495327
220	28.16072454	28.83472896	28.33334621	53.73025301	55.78264395	53.52197773	168.2982208	167.211994	146.1324969	240.2429852	242.1256043	221.5742938	28.17135745	53.57139533	168.3001924	240.1413856
225	27.191257	27.81307953	27.33668037	51.03658092	52.88382733	50.87301954	149.3568538	150.3096091	132.8488445	226.6007537	227.4200384	206.6464444	27.20602054	50.94667775	149.394647	226.503545
230	26.30521962	26.87997832	26.42346623	48.71666636	50.38975326	48.5633737	134.6077851	136.7686469	122.2309453	213.039505	213.3926279	192.8758391	26.31938653	48.69004058	134.5919197	212.9599331
235	25.49041123	26.02266121	25.58872672	46.68380491	48.20708226	46.5454727	123.15953	125.9127191	113.7447989	199.931739	200.2734295	180.6796452	25.50062286	46.69430988	123.0978751	199.8660505
240	24.73712324	25.23091072	24.82295497	44.87826092	46.2713289	44.76496684	114.088129	117.0770559	106.8307282	187.5984757	188.2120858	170.0423423	24.74240603	44.89946286	114.0160953	187.5368752
