TITLE = "Decane T rho" 

  VARIABLES = T	rho_NIST_0.1Mpa	rho_Soave_0.1Mpa	rho_new_0.1Mpa	rho_NIST_1Mpa	rho_Soave_1Mpa	rho_new_1Mpa	rho_NIST_2Mpa	rho_Soave_2Mpa	rho_new_2Mpa	rho_NIST_3Mpa	rho_Soave_3Mpa	rho_new_3Mpa	rho_NIST_5Mpa	rho_Soave_5Mpa	rho_new_5Mpa	rho_NIST_10Mpa	rho_Soave_10Mpa	rho_new_10Mpa
360	678.0367871	641.4088824	683.8510994	679.1093721	640.3301972	679.2887377	680.2814267	641.6735904	680.4316748	681.4335731	642.9739458	681.5993941	683.6813251	645.4551775	683.9227861	689.0030834	651.0545824	689.2965235
365	674.0354479	638.4700118	679.9721345	675.1447991	637.4040311	675.3470524	676.3562018	638.8137898	676.5367505	677.5462139	640.1770826	677.7367149	679.865618	642.7749965	680.1729627	685.3462478	648.6224285	685.7397806
370	670.0146191	635.4637456	675.9515133	671.1625203	634.4126969	671.3208916	672.4151148	635.8923826	672.5619106	673.6447042	637.3218692	673.8013991	676.0388357	640.0421975	676.3422086	681.6844259	646.148588	682.0984545
375	665.9726104	632.3878352	671.8179455	667.1609744	631.3541224	667.2387533	668.4567321	632.9075367	668.5328107	669.7277236	634.4066814	669.8207717	672.1998482	637.2554964	672.4586121	678.0168148	643.6323281	678.4026597
380	661.9076655	629.2399052	667.6012054	663.1385464	628.2261252	663.1261402	664.4795778	629.8573304	664.4715369	665.7939196	631.4298228	665.8180447	668.347509	634.4135619	668.5469277	674.3426171	641.0729023	674.6806568
385	657.8179532	626.0174429	663.3300922	659.0935603	625.0264043	659.0037089	660.4821287	626.7397469	660.3956603	661.8419028	628.38952	661.8102451	664.4806518	631.5150131	664.6270622	670.6610394	638.4695497	670.9560257
390	653.7015576	622.7177863	659.0303455	655.0242717	621.7525308	654.8854721	656.4628071	623.5526667	656.3165917	657.870242	625.2839182	657.8080052	660.5980872	628.5584177	660.7134726	666.9712912	635.8214956	667.2465061
395	649.5564682	619.3381117	654.72276	650.9288588	618.4019371	650.7789511	652.4199751	620.2938605	652.2394155	653.8774592	622.1110751	653.8144163	656.6985993	625.5422888	656.8131845	663.2725839	633.127951	663.5626178
400	645.3805672	615.8754185	650.4217166	646.8054134	614.9719055	646.6834674	648.3519267	616.9609809	648.1646167	649.8620236	618.8689556	649.8261675	652.7809424	622.4650823	652.9272493	659.564129	630.3881134	659.9077084
405	641.1716175	612.3265128	646.1342809	642.6519306	611.4595551	642.592653	644.2568799	613.5515534	644.087327	645.8223453	615.5554253	645.8350813	648.8438373	619.3251943	649.050779	655.8451379	627.6011669	656.2785457
410	636.9272472	608.6879894	641.8599262	638.466297	607.8618275	638.4942516	640.1329684	610.0629658	639.999762	641.7567692	612.1682437	641.8299482	644.885967	616.1209581	645.1753628	652.1148201	624.7662821	652.6666398
415	632.6449332	604.9562103	637.5908479	634.2462783	604.1754705	634.3720424	635.9782312	606.4924575	635.891723	637.6635671	608.7050562	637.7973894	640.9059733	612.8506405	641.289388	648.3723827	621.8826169	649.0606985
