exp_Tr,P(MPa),exp_alpha_5Mpa,P(MPa),exp_alpha_4.5MPa,P(MPa),exp_alpha_4MPa,,,exp_Tr,exp_alpha_5Mpa,exp_alpha_4.5MPa,exp_alpha_4MPa
1.778783959,5,0.657411236,4.5,0.654660519,4,0.651918324,,,1.778783959,0.657411236,0.654660519,0.651918324
1.811125485,5,0.648302047,4.5,0.645729361,4,0.642999931,,,1.811125485,0.648302047,0.645729361,0.642999931
1.843467012,5,0.639340133,4.5,0.636907782,4,0.634312077,,,1.843467012,0.639340133,0.636907782,0.634312077
1.875808538,5,0.63060847,4.5,0.628157407,4,0.625681841,,,1.875808538,0.63060847,0.628157407,0.625681841
1.908150065,5,0.621901841,4.5,0.619653351,4,0.617191212,,,1.908150065,0.621901841,0.619653351,0.617191212
1.940491591,5,0.613399222,4.5,0.6112381,4,0.608877559,,,1.940491591,0.613399222,0.6112381,0.608877559
1.972833118,5,0.605132042,4.5,0.602981982,4,0.600724798,,,1.972833118,0.605132042,0.602981982,0.600724798
2.005174644,5,0.596939695,4.5,0.594742122,4,0.592654281,,,2.005174644,0.596939695,0.594742122,0.592654281
2.037516171,5,0.588719434,4.5,0.586658145,4,0.584748095,,,2.037516171,0.588719434,0.586658145,0.584748095
2.069857697,5,0.580771417,4.5,0.578854248,4,0.576811799,,,2.069857697,0.580771417,0.578854248,0.576811799
2.102199224,5,0.572922158,4.5,0.571025676,4,0.569078261,,,2.102199224,0.572922158,0.571025676,0.569078261
2.13454075,5,0.565090393,4.5,0.563402519,4,0.561516347,,,2.13454075,0.565090393,0.563402519,0.561516347
2.166882277,5,0.557506899,4.5,0.55577297,4,0.554045004,,,2.166882277,0.557506899,0.55577297,0.554045004
2.199223803,5,0.550028559,4.5,0.548317931,4,0.546526648,,,2.199223803,0.550028559,0.548317931,0.546526648
2.23156533,5,0.542446304,4.5,0.540971688,4,0.539074616,,,2.23156533,0.542446304,0.540971688,0.539074616
2.263906856,5,0.535115641,4.5,0.533620904,4,0.531792057,,,2.263906856,0.535115641,0.533620904,0.531792057
2.296248383,5,0.52776546,4.5,0.526372644,4,0.52476898,,,2.296248383,0.52776546,0.526372644,0.52476898
2.328589909,5,0.520741297,4.5,0.519325877,4,0.517718539,,,2.328589909,0.520741297,0.519325877,0.517718539
2.360931436,5,0.513695532,4.5,0.512269651,4,0.51064622,,,2.360931436,0.513695532,0.512269651,0.51064622
2.393272962,5,0.506697417,4.5,0.50523915,4,0.503926049,,,2.393272962,0.506697417,0.50523915,0.503926049
2.425614489,5,0.499539818,4.5,0.498251831,4,0.497150323,,,2.425614489,0.499539818,0.498251831,0.497150323
2.457956016,5,0.492789937,4.5,0.491645464,4,0.490239892,,,2.457956016,0.492789937,0.491645464,0.490239892
2.490297542,5,0.485935363,4.5,0.484726934,4,0.483526681,,,2.490297542,0.485935363,0.484726934,0.483526681
2.522639069,5,0.479256462,4.5,0.478140753,4,0.476912195,,,2.522639069,0.479256462,0.478140753,0.476912195
2.554980595,5,0.472748331,4.5,0.471466134,4,0.470257502,,,2.554980595,0.472748331,0.471466134,0.470257502
2.587322122,5,0.466057458,4.5,0.464992048,4,0.463883432,,,2.587322122,0.466057458,0.464992048,0.463883432
0.847347995,5,0.994992159,4.5,0.999345827,4,1.003732066,,,0.847347995,0.994992159,0.999345827,1.003732066
0.8538163,5,0.996982953,4.5,1.001353398,4,1.005762412,,,0.8538163,0.996982953,1.001353398,1.005762412
0.860284605,5,0.998925751,4.5,1.003317579,4,1.007747902,,,0.860284605,0.998925751,1.003317579,1.007747902
0.866752911,5,1.000813169,4.5,1.005224865,4,1.009670107,,,0.866752911,1.000813169,1.005224865,1.009670107
0.873221216,5,1.002646934,4.5,1.007071407,4,1.011527961,,,0.873221216,1.002646934,1.007071407,1.011527961
0.879689521,5,1.004422163,4.5,1.008855027,4,1.013329082,,,0.879689521,1.004422163,1.008855027,1.013329082
0.886157827,5,1.006128316,4.5,1.01057529,4,1.015055587,,,0.886157827,1.006128316,1.01057529,1.015055587
0.892626132,5,1.007771386,4.5,1.012226826,4,1.016706987,,,0.892626132,1.007771386,1.012226826,1.016706987
0.899094437,5,1.00933774,4.5,1.01379389,4,1.018273419,,,0.899094437,1.00933774,1.01379389,1.018273419
0.912031048,5,1.012228788,4.5,1.016671507,4,1.021120382,,,0.912031048,1.012228788,1.016671507,1.021120382
0.918499353,5,1.013542274,4.5,1.017954284,4,1.022370997,,,0.918499353,1.013542274,1.017954284,1.022370997
0.924967658,5,1.014740575,4.5,1.019125817,4,1.023488852,,,0.924967658,1.014740575,1.019125817,1.023488852
0.931435964,5,1.015831107,4.5,1.020160253,4,1.024450019,,,0.931435964,1.015831107,1.020160253,1.024450019
0.937904269,5,1.01678143,4.5,1.021035438,4,1.025214738,,,0.937904269,1.01678143,1.021035438,1.025214738
0.944372574,5,1.017582728,4.5,1.021732388,4,1.025743256,,,0.944372574,1.017582728,1.021732388,1.025743256
0.95084088,5,1.01820802,4.5,1.022200948,4,1.025960116,,,0.95084088,1.01820802,1.022200948,1.025960116
0.957309185,5,1.018626567,4.5,1.022391184,4,1.025741271,,,0.957309185,1.018626567,1.022391184,1.025741271
0.96377749,5,1.018782601,4.5,1.022209738,4,1.005325122,,,0.96377749,1.018782601,1.022209738,1.005325122
0.976714101,5,1.018018693,4.5,1.019860905,4,0.99146365,,,0.976714101,1.018018693,1.019860905,0.99146365
0.983182406,5,1.016792023,4.5,1.001031149,4,0.985452918,,,0.983182406,1.016792023,1.001031149,0.985452918
0.989650712,5,1.014485704,4.5,0.993439298,4,0.9797974,,,0.989650712,1.014485704,0.993439298,0.9797974
0.996119017,5,1.009336541,4.5,0.986859738,4,0.974419093,,,0.996119017,1.009336541,0.986859738,0.974419093
1.002587322,5,0.99476656,4.5,0.980853283,4,0.969304758,,,1.002587322,0.99476656,0.980853283,0.969304758
1.009055627,5,0.987556019,4.5,0.975237873,4,0.964294029,,,1.009055627,0.987556019,0.975237873,0.964294029
1.015523933,5,0.981251829,4.5,0.969924202,4,0.959492237,,,1.015523933,0.981251829,0.969924202,0.959492237
1.021992238,5,0.975462451,4.5,0.96481265,4,0.954864,,,1.021992238,0.975462451,0.96481265,0.954864
1.028460543,5,0.970010702,4.5,0.959927573,4,0.950343779,,,1.028460543,0.970010702,0.959927573,0.950343779
1.041397154,5,0.959848356,4.5,0.950554983,4,0.941515359,,,1.041397154,0.959848356,0.950554983,0.941515359
1.047865459,5,0.955050391,4.5,0.946087522,4,0.937333605,,,1.047865459,0.955050391,0.946087522,0.937333605
1.054333765,5,0.950387278,4.5,0.941666837,4,0.933194547,,,1.054333765,0.950387278,0.941666837,0.933194547
1.06080207,5,0.945862183,4.5,0.937400044,4,0.929130878,,,1.06080207,0.945862183,0.937400044,0.929130878
1.067270375,5,0.941457289,4.5,0.933169068,4,0.925050635,,,1.067270375,0.941457289,0.933169068,0.925050635
1.07373868,5,0.937131214,4.5,0.929074535,4,0.921174477,,,1.07373868,0.937131214,0.929074535,0.921174477
1.080206986,5,0.932898949,4.5,0.925053456,4,0.917261063,,,1.080206986,0.932898949,0.925053456,0.917261063
1.086675291,5,0.928775216,4.5,0.921080469,4,0.913522338,,,1.086675291,0.928775216,0.921080469,0.913522338
1.093143596,5,0.924730206,4.5,0.917190892,4,0.909653923,,,1.093143596,0.924730206,0.917190892,0.909653923
