exp_Tr,P(MPa),exp_alpha_5Mpa,P(MPa),exp_alpha_4.5MPa,P(MPa),exp_alpha_4MPa,,,exp_Tr,exp_alpha_5Mpa,exp_alpha_4.5MPa,exp_alpha_4MPa
0.388098318,5,0.762403097,4.5,0.76544542,4,0.768299046,,,0.388098318,0.762403097,0.76544542,0.768299046
0.420439845,5,0.785341042,4.5,0.788184156,4,0.791228242,,,0.420439845,0.785341042,0.788184156,0.791228242
0.452781371,5,0.806586852,4.5,0.809633762,4,0.812694287,,,0.452781371,0.806586852,0.809633762,0.812694287
0.485122898,5,0.826632127,4.5,0.829718158,4,0.832988621,,,0.485122898,0.826632127,0.829718158,0.832988621
0.517464424,5,0.845879717,4.5,0.849026747,4,0.852352153,,,0.517464424,0.845879717,0.849026747,0.852352153
0.549805951,5,0.864198679,4.5,0.867431014,4,0.870836181,,,0.549805951,0.864198679,0.867431014,0.870836181
0.582147477,5,0.881639955,4.5,0.88512787,4,0.888494622,,,0.582147477,0.881639955,0.88512787,0.888494622
0.614489004,5,0.898398237,4.5,0.901879045,4,0.905522997,,,0.614489004,0.898398237,0.901879045,0.905522997
0.64683053,5,0.914385451,4.5,0.917904633,4,0.921585833,,,0.64683053,0.914385451,0.917904633,0.921585833
0.679172057,5,0.929432345,4.5,0.933284035,4,0.937051086,,,0.679172057,0.929432345,0.933284035,0.937051086
0.711513583,5,0.943905139,4.5,0.947768979,4,0.951566746,,,0.711513583,0.943905139,0.947768979,0.951566746
0.74385511,5,0.957476615,4.5,0.961430537,4,0.965442646,,,0.74385511,0.957476615,0.961430537,0.965442646
0.776196636,5,0.970198676,4.5,0.974300563,4,0.978427022,,,0.776196636,0.970198676,0.974300563,0.978427022
0.808538163,5,0.982072602,4.5,0.986293275,4,0.990539127,,,0.808538163,0.982072602,0.986293275,0.990539127
0.84087969,5,0.992945243,4.5,0.997277666,4,1.001646444,,,0.84087969,0.992945243,0.997277666,1.001646444
0.873221216,5,1.002646934,4.5,1.007071407,4,1.011527961,,,0.873221216,1.002646934,1.007071407,1.011527961
0.905562743,5,1.01083048,4.5,1.015277987,4,1.01975009,,,0.905562743,1.01083048,1.015277987,1.01975009
0.937904269,5,1.01678143,4.5,1.021035438,4,1.025214738,,,0.937904269,1.01678143,1.021035438,1.025214738
0.970245796,5,1.018619193,4.5,1.021489505,4,0.998008892,,,0.970245796,1.018619193,1.021489505,0.998008892
1.002587322,5,0.99476656,4.5,0.980853283,4,0.969304758,,,1.002587322,0.99476656,0.980853283,0.969304758
1.034928849,5,0.964813424,4.5,0.955178341,4,0.945856827,,,1.034928849,0.964813424,0.955178341,0.945856827
1.067270375,5,0.941457289,4.5,0.933169068,4,0.925050635,,,1.067270375,0.941457289,0.933169068,0.925050635
1.099611902,5,0.920748416,4.5,0.913409424,4,0.905998794,,,1.099611902,0.920748416,0.913409424,0.905998794
1.131953428,5,0.901817216,4.5,0.895089195,4,0.888380426,,,1.131953428,0.901817216,0.895089195,0.888380426
1.164294955,5,0.884257547,4.5,0.877925108,4,0.871761,,,1.164294955,0.884257547,0.877925108,0.871761
1.196636481,5,0.867751088,4.5,0.861890924,4,0.855995545,,,1.196636481,0.867751088,0.861890924,0.855995545
1.228978008,5,0.852130377,4.5,0.846619711,4,0.841073037,,,1.228978008,0.852130377,0.846619711,0.841073037
1.261319534,5,0.83729604,4.5,0.832113571,4,0.826867566,,,1.261319534,0.83729604,0.832113571,0.826867566
1.293661061,5,0.823221487,4.5,0.818082195,4,0.813242533,,,1.293661061,0.823221487,0.818082195,0.813242533
1.326002587,5,0.809561415,4.5,0.804900483,4,0.800118584,,,1.326002587,0.809561415,0.804900483,0.800118584
1.358344114,5,0.796380555,4.5,0.792038668,4,0.787496046,,,1.358344114,0.796380555,0.792038668,0.787496046
1.39068564,5,0.783945697,4.5,0.779674162,4,0.775318986,,,1.39068564,0.783945697,0.779674162,0.775318986
1.423027167,5,0.771748189,4.5,0.76766558,4,0.763500176,,,1.423027167,0.771748189,0.76766558,0.763500176
1.455368693,5,0.759967001,4.5,0.756073829,4,0.752049043,,,1.455368693,0.759967001,0.756073829,0.752049043
1.48771022,5,0.748554048,4.5,0.744787078,4,0.740939163,,,1.48771022,0.748554048,0.744787078,0.740939163
1.520051746,5,0.737393885,4.5,0.733770554,4,0.730089505,,,1.520051746,0.737393885,0.733770554,0.730089505
1.552393273,5,0.726580127,4.5,0.723123315,4,0.719582545,,,1.552393273,0.726580127,0.723123315,0.719582545
1.584734799,5,0.716005223,4.5,0.712683595,4,0.70922566,,,1.584734799,0.716005223,0.712683595,0.70922566
1.617076326,5,0.70569674,4.5,0.702513874,4,0.699189751,,,1.617076326,0.70569674,0.702513874,0.699189751
1.649417853,5,0.695653299,4.5,0.692530982,4,0.68932241,,,1.649417853,0.695653299,0.692530982,0.68932241
1.681759379,5,0.685791141,4.5,0.682753626,4,0.679751402,,,1.681759379,0.685791141,0.682753626,0.679751402
1.714100906,5,0.676102393,4.5,0.673275283,4,0.670261463,,,1.714100906,0.676102393,0.673275283,0.670261463
1.746442432,5,0.666629289,4.5,0.663885281,4,0.661001963,,,1.746442432,0.666629289,0.663885281,0.661001963
