TITLE = "Decane T rho" 

  VARIABLES = T	Soave_error_01Mpa	new_error_01Mpa	Soave_error_1Mpa	new_error_1Mpa	Soave_error_2Mpa	new_error_2Mpa	Soave_error_3Mpa	new_error_3Mpa	Soave_error_5Mpa	new_error_5Mpa	Soave_error_10Mpa	new_error_10Mpa
700	0.10345595	0.146139798	0.989769273	1.505659744	1.586606099	3.157956161	0.494493665	4.1631146	14.38212987	9.50286437	8.295389793	5.603159779
710	0.098626129	0.133765649	0.964143622	1.368179133	1.580535612	2.759149882	0.777835084	3.359793088	12.60550107	8.699810958	8.755050666	6.389791389
720	0.093376085	0.122971989	0.928811752	1.252415298	1.553600083	2.464699416	0.956459514	2.859996772	10.52463043	7.384832908	9.187329752	7.087523226
730	0.089788441	0.11556989	0.894008253	1.16276002	1.513142673	2.247195532	1.072457314	2.550063183	8.545462143	5.969143028	9.575430616	7.676426427
740	0.085908479	0.109320402	0.852607679	1.08679815	1.460773186	2.083241628	1.136291016	2.350652337	6.870661967	4.684417133	9.910360959	8.14973516
750	0.079795049	0.101998916	0.810649174	1.025903942	1.403133067	1.960868227	1.16550649	2.223525324	5.526903539	3.594389741	10.17928785	8.500981436
760	0.073931126	0.09581723	0.767614709	0.975453973	1.337508093	1.863114207	1.169321901	2.14097279	4.460449936	2.681787056	10.37340002	8.730735269
770	0.071049792	0.093257697	0.719810306	0.928218066	1.271798297	1.786959973	1.155573308	2.085456602	3.624402658	1.931670824	10.48856641	8.845885169
780	0.065071865	0.088016198	0.677087347	0.891110171	1.201930212	1.719895178	1.128864408	2.043763634	2.966974645	1.317590594	10.52309581	8.8560917
790	0.058869689	0.082775027	0.633331189	0.855605586	1.131803539	1.659487532	1.090512678	2.004666313	2.444551726	0.814999177	10.47199869	8.766910059
800	0.055562329	0.080499475	0.587138528	0.818439707	1.06066099	1.600339395	1.045947413	1.964977616	2.021392069	0.401728922	10.34129038	8.593609302
810	0.049097104	0.075018137	0.546630067	0.786402069	0.990429317	1.541193129	0.995679257	1.919504019	1.686890748	0.076490101	10.13999325	8.352567523
820	0.047495529	0.074273976	0.502699273	0.749480183	0.921081724	1.480035849	0.94233306	1.867471004	1.414206954	0.182270805	9.873696992	8.054489749
830	0.039950996	0.067411242	0.460057104	0.711923068	0.852233769	1.415491997	0.885184503	1.806491065	1.199668189	0.375498077	9.553553995	7.71357599
840	0.039622265	0.067576646	0.419419422	0.674325904	0.785036171	1.348528809	0.827365376	1.739409243	1.022222318	0.524014396	9.196798205	7.348217827
850	0.035655385	0.06392357	0.377144663	0.633198455	0.719742451	1.279822908	0.768064287	1.666069591	0.875579037	0.635231393	8.805758802	6.959867572
860	0.026738182	0.055170231	0.339390841	0.595088103	0.657743122	1.211629135	0.708997894	1.5895303	0.763897432	0.707007397	8.401961038	6.568197972
870	0.026756315	0.055251662	0.303154658	0.557500795	0.596728958	1.142753951	0.651096431	1.512445526	0.669860935	0.759593101	7.986840281	6.171430667
880	0.019569663	0.048077273	0.265531232	0.518117511	0.535067221	1.072809381	0.592457639	1.434768741	0.588207149	0.801202504	7.569649449	5.77523145
890	0.019427497	0.047957471	0.233772583	0.4848165	0.479092962	1.00941409	0.534141187	1.359401676	0.528199033	0.825222139	7.16039216	5.385897268
900	0.015084565	0.043698569	0.20043552	0.450704361	0.42372986	0.948602614	0.478567997	1.290420466	0.48809068	0.835866443	6.765489714	5.006297326
910	0.010728433	0.039537186	0.168214995	0.418966636	0.369184546	0.891523351	0.422833631	1.22621424	0.444774768	0.858465376	6.382699042	4.631000497
920	0.005426701	0.034577833	0.134900875	0.38775125	0.316164068	0.839565944	0.36812464	1.168892512	0.419627893	0.872629496	6.017624872	4.26333198
930	0.003668521	0.033334661	0.103633757	0.360424944	0.268438828	0.796895569	0.316522183	1.12100888	0.394815619	0.896984154	5.671114886	3.902690881
940	0.000772885	0.029587404	0.077863014	0.340504472	0.219855212	0.75737593	0.265770866	1.080265071	0.384865478	0.916631595	5.343283359	3.548743329
950	0.003284767	0.027942345	0.050499171	0.320775505	0.174912399	0.725251411	0.21759421	1.047896312	0.37561015	0.94501692	5.03828797	3.206320425
960	0.004611287	0.027631208	0.025208443	0.304646632	0.130563637	0.696866332	0.169036818	1.019969628	0.370587086	0.976974092	4.750042991	2.870831889
970	0.005494252	0.027872948	0.000402506	0.290109813	0.08933834	0.673887161	0.122853792	0.997905835	0.368485143	1.011648292	4.481263014	2.547596495
980	0.012386611	0.022160004	0.025471782	0.275062873	0.048609832	0.652551961	0.078734168	0.979694163	0.369287723	1.046371205	4.229077941	2.237060599
990	0.014658483	0.021062413	0.048261144	0.263023282	0.011441486	0.634630491	0.036726517	0.963422305	0.373396785	1.077665286	3.995024317	1.944834993
1000	0.01869972	0.018116487	0.069267863	0.25196229	0.027252504	0.613559863	0.00278118	0.947342137	0.378423234	1.104631693	3.774796506	1.671052975
