Tr,Pr,bias uncorrected model,bias corrected model,bias,upper,lower,Nist,PR_alpha
0.38814602053292446,0.5,0.9586039371453123,0.7691006866014141,-0.1895032505438983,0.8365302520813191,0.701671121121509,0.7768568476443446,1.3319268119924457
0.41032739757437486,0.5,0.9539420173500943,0.7786759341286825,-0.17526608322141182,0.8470571369999202,0.7102947312574448,0.7929899823107273,1.3154164800489447
0.43250877461582526,0.5,0.9492800975548763,0.7939350527355968,-0.1553450448192795,0.8630620427734412,0.7248080626977524,0.808285899084329,1.2994455758795806
0.45469015165727567,0.5,0.9446181777596582,0.8105184250331453,-0.13409975272651287,0.8802747416214601,0.7407621084448305,0.8229666183800682,1.283973093448798
0.47687152869872607,0.5,0.9399562579644402,0.8257700677636771,-0.114186190200763,0.89595888543746,0.7555812500898942,0.8371446392835129,1.2689629728727354
0.49905290574017647,0.5,0.9352943381692221,0.8391226576875218,-0.09617168048170029,0.90955024729321,0.7686950680818336,0.8508786354484198,1.254383303405288
0.5212342827816269,0.5,0.9306324183740041,0.8513342662127531,-0.07929815216125101,0.9218480266937967,0.7808205057317095,0.8642006634585996,1.2402056843182034
0.5434156598230773,0.5,0.9259704985787861,0.8633381490598442,-0.06263234951894195,0.9338231048226049,0.7928531932970835,0.8771295844003114,1.2264047070481978
0.5655970368645277,0.5,0.9213085787835681,0.8755177794914002,-0.0457907992921679,0.9458994862819442,0.8051360727008562,0.8896776590440385,1.2129575316209227
0.5877784139059781,0.5,0.9166466589883501,0.8876933319834043,-0.02895332700494579,0.9579325997216983,0.8174540642451102,0.9018537070517101,1.199843537186156
0.6099597909474285,0.5,0.9119847391931319,0.8995183495440947,-0.012466389649037204,0.9695988396481597,0.8294378594400297,0.9136645142792271,1.1870440314062383
0.6321411679888789,0.5,0.9073228193979139,0.9108030197664347,0.0034802003685208472,0.9807250313427043,0.8408810081901652,0.9251153326242705,1.1745420070188757
0.6543225450303292,0.5,0.9026608996026959,0.9215411337379585,0.018880234135262634,0.9913200064479895,0.8517622610279276,0.9362098923065697,1.1623219365393676
0.6765039220717797,0.5,0.8979989798074779,0.9317776865791598,0.03377870677168191,1.0014447754442122,0.8621105977141074,0.9469501241910061,1.1503695980438082
0.69868529911323,0.5,0.8933370600122599,0.9415577997744633,0.04822073976220346,1.0111657009180854,0.8719498986308412,0.9573356653686671,1.1386719264685594
0.7208666761546805,0.5,0.8886751402170419,0.951001954306499,0.062326814089457186,1.0206330297317694,0.8813708788812287,0.9673631398908742,1.1272168860017524
0.7430480531961308,0.5,0.8840132204218238,0.960326472677957,0.07631325225613321,1.030103446789843,0.8905494985660711,0.9770251343414379,1.1159933600215741
0.7652294302375813,0.5,0.8793513006266058,0.9696585364626233,0.0903072358360175,1.0397560834604884,0.8995609894647584,0.9863086940814855,1.104991055719514
0.7874108072790316,0.5,0.8746893808313878,0.9787777492283336,0.10408836839694577,1.0494331914609372,0.9081223069957302,0.9951930043478137,1.0942004210825527
0.8095921843204821,0.5,0.8700274610361698,0.9871299634684081,0.11710250243223826,1.058650199938122,0.9156097269986943,1.0036455926305854,1.083612572331531
0.8317735613619324,0.5,0.8653655412409518,0.9942808239587407,0.128915282717789,1.0670318469555269,0.9215298009619545,1.0116156430113887,1.0732192302497505
0.8539549384033829,0.5,0.8607036214457336,1.0004712131542959,0.13976759170856215,1.0748248119978707,0.9261176143107211,1.01902110699915,1.0630126641057032
0.8761363154448332,0.5,0.8560417016505157,1.0066067213436414,0.1505650196931256,1.0828378623226769,0.9303755803646059,1.0257206400378236,1.0529856420913863
0.8983176924862836,0.5,0.8513797818552976,1.013346151121975,0.16196636926667735,1.0915107466271297,0.9351815556168204,1.020439783885318,1.0431313873741443
0.920499069527734,0.5,0.8467178620600796,1.019834755515485,0.17311689345540537,1.09966871576102,0.9400007952699498,0.9995460604522787,1.033443539003965
0.9426804465691844,0.5,0.8420559422648616,1.0232628547655358,0.18120691250067425,1.1041450345794657,0.9423806749516058,0.9814877119321227,1.0239161170362492
0.9648618236106348,0.5,0.8373940224696436,1.0200392908465679,0.18264526837692427,1.1010626991763408,0.9390158825167948,0.9651156317240843,1.0145434913274367
0.9870432006520852,0.5,0.8327321026744255,1.008062425041902,0.17533032236747625,1.0882183726460926,0.9279064774377113,0.9499314484677277,1.0053203535415332
1.0092245776935356,0.5,0.8280701828792075,0.9884505949103712,0.16038041203116368,1.0668699038174865,0.9100312860032561,0.9356768086474272,0.9962416919727269
1.031405954734986,0.5,0.8234082630839894,0.9652835830445479,0.14187531996055852,1.041448584615815,0.8891185814732807,0.9221951463461698,0.9873027688453911
1.0535873317764364,0.5,0.8187463432887714,0.9433970869009864,0.12465074361221505,1.0172304725478456,0.8695637012541273,0.9093787228099455,0.9784990997998961
1.0757687088178867,0.5,0.8140844234935534,0.9258073033259807,0.11172287983242736,0.9975879638756079,0.8540266427763535,0.897146342535812,0.9698264353123611
1.0979500858593372,0.5,0.8094225036983353,0.912573286250339,0.10315078255200358,0.9827490188669783,0.8423975536336996,0.8854331166219697,0.9612807438300695
1.1201314629007877,0.5,0.8047605839031173,0.9016728772440599,0.09691229334094259,0.9707003792897893,0.8326453751983305,0.874185292119653,0.9528581964328081
1.142312839942238,0.5,0.8000986641078993,0.8909169054417965,0.0908182413338972,0.9591804672772815,0.8226533436063115,0.8633573547026396,0.9445551528546995
1.1644942169836883,0.5,0.7954367443126813,0.8793647079630328,0.08392796365035145,0.9471493152181533,0.8115801007079123,0.8529102268319853,0.9363681487218822
