Tr,Pr,bias corrected model,Nist,bias uncorrected model, upper,lower,bias,PR_alpha
0.7233791539225892,0.01355,1.242764305724109,1.267729547414527,1.054055441706577,1.2599870453039328,1.225541566144285,0.18870886401753173,1.222365455670858
0.7426426942933468,0.01355,1.226330018692038,1.2308158686574893,1.0460547437420593,1.243552758271862,1.2091072791122142,0.18027527494997864,1.2048538789352747
0.7619062346641046,0.01355,1.2016502534227353,1.1967792568651907,1.0380540457775411,1.2188729930025592,1.1844275138429115,0.16359620764519422,1.187691895055314
0.7811697750348622,0.01355,1.1719107946135419,1.1652720524373237,1.0300533478130234,1.1891335341933658,1.154688055033718,0.14185744680051843,1.1708663263411199
0.8004333154056198,0.01355,1.140377796861973,1.1360003286573688,1.0220526498485052,1.157600536441797,1.1231550572821491,0.1183251470134679,1.1543648027443099
0.8196968557763775,0.01355,1.1096906145398338,1.1087138047096348,1.0140519518839872,1.1269133541196577,1.0924678749600099,0.09563866265584647,1.1381756942125267
0.8389603961471351,0.01355,1.0815070412856294,1.0831979574927257,1.0060512539194693,1.0987297808654533,1.0642843017058055,0.07545578736616004,1.12228805015879
0.8582239365178927,0.01355,1.0564614782200896,1.0592678066515502,0.9980505559549513,1.0736842177999135,1.0392387386402657,0.05841092226513837,1.106691545151851
0.8774874768886505,0.01355,1.0343373253866295,1.0367629742616316,0.9900498579904332,1.0515600649664534,1.0171145858068056,0.04428746739619628,1.0913764300635205
0.8967510172594082,0.01355,1.0143770177964873,1.0155437141711552,0.9820491600259152,1.0315997573763112,0.9971542782166634,0.03232785777057198,1.0763334880174091
0.9160145576301658,0.01355,0.9956648546064557,0.9954876859593216,0.9740484620613973,1.0128875941862796,0.9784421150266318,0.021616392545058385,1.0615539945746064
0.9352780980009234,0.01355,0.9774861181410514,0.9764873324777038,0.9660477640968793,0.9947088577208753,0.9602633785612275,0.01143835404417209,1.0470296816686202
0.9545416383716812,0.01355,0.9595417055762764,0.9584477736438745,0.9580470661323613,0.9767644451561003,0.9423189659964525,0.0014946394439150816,1.0327527048668803
0.9738051787424388,0.01355,0.9419420724826509,0.9412850902187962,0.9500463681678434,0.9591648120624748,0.924719332902827,-0.008104295685192477,1.0187156135912954
0.9930687191131964,0.01355,0.9250120327244149,0.9249248158742623,0.9420456702033254,0.9422347723042388,0.907789293144591,-0.017033637478910492,1.0049113239773992
1.0123322594839541,0.01355,0.9090358328499285,0.9093005543651093,0.9340449722388074,0.9262585724297524,0.8918130932701046,-0.02500913938887893,0.991333094091847
1.0315957998547116,0.01355,0.894088041143439,0.894352808225016,0.9260442742742895,0.9113107807232629,0.8768653015636151,-0.03195623313085048,0.9779745012625354
1.0508593402254693,0.01355,0.8800225301775557,0.8800280986881567,0.9180435763097715,0.8972452697573796,0.8627997905977318,-0.03802104613221581,0.9648294213053067
1.070122880596227,0.01355,0.8665871255142849,0.8662783056246252,0.9100428783452535,0.8838098650941087,0.849364385934461,-0.04345575283096871,0.9518920094568483
1.0893864209669846,0.01355,0.8535670824873224,0.8530600928450383,0.9020421803807356,0.8707898220671463,0.8363443429074985,-0.04847509789341317,0.9391566828455664
1.1086499613377423,0.01355,0.8408684930358462,0.8403343556456166,0.8940414824162176,0.8580912326156701,0.8236457534560223,-0.05317298938037139,0.9266181043514746
1.1279135017085,0.01355,0.8285114029996646,0.8280657060709631,0.8860407844516995,0.8457341425794885,0.8112886634198407,-0.057529381452034865,0.9142711677229018
1.1471770420792575,0.01355,0.8165631918204755,0.8162220244987372,0.8780400864871817,0.8337859314002994,0.7993404522406516,-0.06147689466670614,0.9021109838324278
1.1664405824500153,0.01355,0.8050682907125465,0.8047740829146707,0.8700393885226636,0.8222910302923704,0.7878455511327226,-0.06497109781011712,0.8901328679672462
1.185704122820773,0.01355,0.7940153005499357,0.7936952275965453,0.8620386905581456,0.8112380401297596,0.7767925609701118,-0.06802339000820995,0.8783323280603674
1.2049676631915307,0.01355,0.7833480370121908,0.7829611064807371,0.8540379925936276,0.8005707765920147,0.7661252974323669,-0.07068995558143676,0.8667050537789047
1.2242312035622884,0.01355,0.7729995316289018,0.7725494309132684,0.8460372946291096,0.7902222712087257,0.7557767920490779,-0.07303776300020785,0.8552469063943735
1.243494743933046,0.01355,0.7629216501288074,0.7624397656815347,0.8380365966645917,0.7801443897086313,0.7456989105489835,-0.07511494653578436,0.8439539093675722
1.2627582843038034,0.01355,0.7530946989188678,0.7526133434221584,0.8300358987000738,0.7703174384986917,0.7358719593390439,-0.0769411997812059,0.8328222395873858
1.2820218246745614,0.01355,0.7435183107280191,0.7430529003816315,0.8220352007355557,0.760741050307843,0.7262955711481952,-0.07851689000753662,0.8218482192088403
1.3012853650453189,0.01355,0.7341953139724503,0.733742530900097,0.8140345027710377,0.7514180535522742,0.7169725743926264,-0.07983918879858742,0.8110283080410656
1.3205489054160766,0.01355,0.7251202820797306,0.7246675582779426,0.8060338048065198,0.7423430216595545,0.7078975424999067,-0.0809135227267892,0.8003590964405428
1.3398124457868343,0.01355,0.7162776268010899,0.7158144199610276,0.7980331068420018,0.7335003663809138,0.699054887221266,-0.08175548004091192,0.7898372986692453
1.3590759861575918,0.01355,0.7076468372883811,0.7071705652506429,0.7900324088774838,0.724869576868205,0.6904240977085572,-0.0823855715891027,0.7794597466810298
1.3783395265283496,0.01355,0.69920918845546,0.698724363983159,0.7820317109129659,0.7164319280352839,0.6819864488756361,-0.08282252245750588,0.7692233843030057
