Tr,Pr,bias uncorrected model,bias corrected model,bias,upper,lower,Nist,PR_alpha
1.269476313,0.5,0.790038399,0.711577983,-0.078460416,0.749253056,0.67390291,0.707019796,0.748647505
1.272990604,0.5,0.785083249,0.708836999,-0.076246249,0.746576736,0.671097263,0.704420929,0.74578212
1.276504895,0.5,0.780128098,0.706109168,-0.07401893,0.743914669,0.668303668,0.701840458,0.74292617
1.280019186,0.5,0.775172948,0.703395591,-0.071777357,0.741267927,0.665523255,0.699278157,0.740079616
1.283533477,0.5,0.770217797,0.70069743,-0.069520367,0.738637644,0.662757216,0.696733801,0.73724242
1.287047768,0.5,0.765262647,0.698015873,-0.067246774,0.736024975,0.660006771,0.694207168,0.734414543
1.290562059,0.5,0.760307497,0.695352097,-0.0649554,0.733431064,0.65727313,0.691698043,0.731595947
1.29407635,0.5,0.755352346,0.692707237,-0.062645109,0.730857011,0.654557463,0.68920621,0.728786594
1.297590641,0.5,0.750397196,0.690082353,-0.060314843,0.728303838,0.651860867,0.68673146,0.725986447
1.301104932,0.5,0.745442045,0.687478401,-0.057963645,0.725772463,0.649184338,0.684273586,0.723195467
1.304619223,0.5,0.740486895,0.684896211,-0.055590683,0.723263676,0.646528747,0.681832382,0.720413619
1.308133514,0.5,0.735531745,0.682336467,-0.053195278,0.720778115,0.643894819,0.679407649,0.717640864
1.311647806,0.5,0.730576594,0.679799686,-0.050776908,0.718316252,0.641283119,0.676999188,0.714877167
1.315162097,0.5,0.725621444,0.677286212,-0.048335232,0.715878384,0.638694039,0.674606805,0.712122492
1.318676388,0.5,0.720666293,0.674796207,-0.045870087,0.713464623,0.636127791,0.672230308,0.709376801
1.322190679,0.5,0.715711143,0.672329651,-0.043381492,0.711074893,0.633584408,0.669869509,0.706640059
1.32570497,0.5,0.710755993,0.669886342,-0.040869651,0.708708938,0.631063745,0.66752422,0.703912231
1.329219261,0.5,0.705800842,0.667465906,-0.038334937,0.706366325,0.628565486,0.66519426,0.70119328
1.332733552,0.5,0.700845692,0.665067806,-0.035777886,0.704046455,0.626089157,0.662879447,0.698483173
1.336247843,0.5,0.695890541,0.66269136,-0.033199181,0.70174858,0.62363414,0.660579604,0.695781873
1.339762134,0.5,0.690935391,0.660335756,-0.030599635,0.699471821,0.621199691,0.658294557,0.693089346
1.343276425,0.5,0.685980241,0.658000074,-0.027980166,0.697215186,0.618784963,0.656024131,0.690405558
1.346790716,0.5,0.68102509,0.655683311,-0.02534178,0.694977595,0.616389026,0.653768159,0.687730475
1.350305007,0.5,0.67606994,0.6533844,-0.02268554,0.692757906,0.614010894,0.651526471,0.685064061
1.353819298,0.5,0.671114789,0.65110224,-0.020012549,0.690554933,0.611649547,0.649298904,0.682406284
1.357333589,0.5,0.666159639,0.648835721,-0.017323918,0.68836748,0.609303961,0.647085296,0.67975711
1.360847881,0.5,0.661204488,0.646583743,-0.014620746,0.686194358,0.606973127,0.644885485,0.677116506
1.364362172,0.5,0.656249338,0.644345245,-0.011904093,0.684034411,0.604656078,0.642699315,0.674484438
1.367876463,0.5,0.651294188,0.642119226,-0.009174962,0.68188654,0.602351911,0.640526629,0.671860873
1.371390754,0.5,0.646339037,0.639904761,-0.006434276,0.679749719,0.600059804,0.638367275,0.669245779
1.374905045,0.5,0.641383887,0.637701024,-0.003682863,0.677623012,0.597779035,0.636221103,0.666639123
1.378419336,0.5,0.636428736,0.635507294,-0.000921443,0.675505592,0.595508996,0.634087962,0.664040872
1.381933627,0.5,0.631473586,0.633322974,0.001849388,0.673396744,0.593249204,0.631967707,0.661450996
1.385447918,0.5,0.626518436,0.631147593,0.004629157,0.671295879,0.590999306,0.629860193,0.658869461
1.388962209,0.5,0.621563285,0.628980811,0.007417526,0.669202536,0.588759087,0.627765278,0.656296236
1.3924765,0.5,0.616608135,0.626822423,0.010214288,0.66711638,0.586528466,0.625682821,0.653731289
1.395990791,0.5,0.611652984,0.624672349,0.013019365,0.665037202,0.584307497,0.623612684,0.651174589
1.399505082,0.5,0.606697834,0.622530635,0.015832801,0.662964912,0.582096357,0.621554731,0.648626106
1.403019373,0.5,0.601742684,0.620397437,0.018654754,0.66089953,0.579895344,0.619508827,0.646085808
1.406533664,0.5,0.596787533,0.618273016,0.021485483,0.658841174,0.577704859,0.617474839,0.643553664
1.410047955,0.5,0.591832383,0.616157718,0.024325335,0.656790043,0.575525394,0.615452637,0.641029643
1.413562247,0.5,0.586877232,0.61405196,0.027174728,0.654746407,0.573357513,0.613442092,0.638513716
1.417076538,0.5,0.581922082,0.611956212,0.03003413,0.652710585,0.571201839,0.611443077,0.636005853
1.420590829,0.5,0.576966932,0.60987098,0.032904048,0.650682927,0.569059032,0.609455467,0.633506023
1.42410512,0.5,0.572011781,0.607796783,0.035785002,0.648663797,0.566929769,0.607479137,0.631014196
